	name	ori	ogt	d	sptid	name_alt	taxID_rank
0	Acidovorax avenae	27627	28	11.0	80867		species
1	Acaryochloris marina	3125510	25	45.0	155978		species
2	Actinobacillus pleuropneumoniae	1883252	37	0.75	715		species
3	Acinetobacter ADP1	3598158	30	0.5	202950	Acinetobacter baylyi ADP1	species
4	Aeromonas hydrophila	4729112	28	0.35	644		species
5	Aeropyrum pernix	-1	95	4.0	56636		species
6	Agrobacterium tumefaciens C58	2841174	26	3.0	358	Agrobacterium tumefaciens	species
7	Alcanivorax borkumensis	3119635	28	10.0	59754		species
8	Anaeromyxobacter dehalogenans	1396	30	9.2	161493		species
9	Anaplasma marginale	1147944	37	21.6	770		species
10	Anaplasma phagocytophilum	20557	37	7.0	948		species
11	Anabaena variabilis	1502	20	8.0	264691	Trichormus variabilis	species
12	Aquifex aeolicus	209842	95	1.8	63363		species
13	Arthrobacter aurescens	1420	30	2.0	43663	Paenarthrobacter aurescens	species
14	Arcobacter butzleri	2341023	37	0.66	28197	Aliarcobacter butzleri	species
15	Archaeoglobus fulgidus	-1	85	4.0	2234		species
16	Azoarcus sp EbN1	1677877	28	4.3	29544	Azoarcus sp.	species
17	Bacillus anthracis Ames	1748	37	0.5	1392	Bacillus anthracis	species
18	Bacillus cereus ATCC 14579	1622	30	0.3	1396	Bacillus cereus	species
19	Bacteroides fragilis	110151	37	0.63	817		species
20	Bacillus halodurans	4202339	30	0.6	86665	Halalkalibacterium halodurans	species
21	Bartonella henselae Houston-1	1930403	37	3.0	38323	Bartonella henselae	species
22	Bacillus licheniformis ATCC14580	1848	37	0.58	1402	Bacillus licheniformis	species
23	Bartonella quintana Toulouse	1580795	37	3.0	803	Bartonella quintana	species
24	Bacillus subtilis 168	1751	37	0.43	1423	Bacillus subtilis	species
25	Bacteroides thetaiotaomicron VPI5482	4171767	37	1.47	818	Bacteroides thetaiotaomicron	species
26	Bacillus thuringiensis konkukian 97-27	1750	30	0.42	1428	Bacillus thuringiensis	species
27	Bdellovibrio bacteriovorus	1417	30	1.4	959		species
28	Bifidobacterium longum NCC2705	1625766	37	1.51	216816	Bifidobacterium longum	species
29	Bordetella bronchiseptica RB50	5337389	37	1.42	518	Bordetella bronchiseptica	species
30	Borrelia burgdorferi	458037	30	4.0	139	Borreliella burgdorferi	species
31	Borrelia garinii PBi	460244	37	4.0	29519	Borreliella garinii	species
32	Bordetella pertussis 12822	4084466	37	3.8	520	Bordetella pertussis	species
33	Brucella abortus biovar1 9-941	2010519	37	2.0	235	Brucella abortus	species
34	Bradyrhizobium japonicum USDA110	680553	26	20.0	375	Bradyrhizobium japonicum	species
35	Brucella melitensis 16M	2116944	37	2.0	29459	Brucella melitensis	species
36	Brucella suis 1330	1993857	37	2.0	29461	Brucella suis	species
37	Buchnera aphidicola Sg	641022	22	36.0	9	Buchnera aphidicola	species
38	Buchnera aphidicola Baizongia pistaciae	1	22	36.0	9	Buchnera aphidicola	species
39	Burkholderia mallei ATCC23344	3006500	37	0.75	13373	Burkholderia mallei	species
40	Burkholderia pseudomallei K96243	2376	37	1.0	28450	Burkholderia pseudomallei	species
41	Candidatus Blochmannia floridanus	704749	30	36.0	203907		species
42	Caulobacter crescentus	4016703	30	1.5	155892	Caulobacter vibrioides	species
43	Carboxydothermus hydrogenoformans	2399734	68	2.0	129958		species
44	Campylobacter jejuni	1324	37	1.5	197		species
45	Caldivirga maquilingensis	-1	83	8.0	76887		species
46	Candidatus Pelagibacter ubique	335453	-1	30.0	198252		species
47	Chlamydophila abortus S26/3	1144232	37	24.0	83555	Chlamydia abortus	species
48	Chloroflexus aurantiacus	5258006	49	6.0	1108		species
49	Chlamydophila caviae GPIC	1173153	37	24.0	83557	Chlamydia caviae	species
