taxid	length_gmean	width_gmean	volume_gmean	surface_gmean	length_amean	width_amean	volume_amean	surface_amean	shape	length_ranges	width_ranges	sources	species	genus	family	order	class	phylum	superkingdom
11	2.3717082451262845	1.0606601717798212	1.7831870057271044	7.902916572420815	2.625	1.125	2.2365439887372647	9.277515805132358	rod-shaped	['1.5', ' 3.75']	['0.75', ' 1.5']	['bacdive']	Cellulomonas gilvus	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
14	9.999999999999998	0.4898979485566356	1.8541743962299917	15.39059796194237	12.5	0.5	2.421644337142132	19.634954084936208	rod-shaped	['5.0', ' 20.0']	['0.4', ' 0.6']	['bacdive']	Dictyoglomus thermophilum	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria
23	1.5	0.7	0.4874704600820161	3.2986722862692828	1.5	0.7	0.4874704600820161	3.2986722862692828	rod-shaped	['1.5', ' 1.5']	['0.7', ' 0.7']	['bacdive']	Shewanella colwelliana	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
104	1.0392304845413265	0.3464101615137754	0.08706236948324242	1.1309733552923251	1.05	0.35	0.0897971900151082	1.154535300194249	ring-shaped	['0.9', ' 1.2']	['0.3', ' 0.4']	['bacdive']	Cyclobacterium marinum	Cyclobacterium	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
114	2.04939015319192	2.04939015319192	4.5068443347248985	13.194689145077138	2.2	2.2	5.575279762570688	15.205308443374602	spherical	['1.4', ' 3.0']	['1.4', ' 3.0']	['bm4']	Gemmata obscuriglobus	Gemmata	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria
119	1.1224972160321824	1.1224972160321824	0.7405500915879567	3.95840674352314	1.25	1.25	1.0226538585904277	4.908738521234052	spherical	['0.7', ' 1.8']	['0.7', ' 1.8']	['bm4']	Rubinisphaera brasiliensis	Rubinisphaera	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
120	1.284523257866513	1.284523257866513	1.1097484283266326	5.183627878423159	1.3	1.3	1.1503465099894628	5.309291584566751	spherical	['1.1', ' 1.5']	['1.1', ' 1.5']	['bm4']	Planctopirus limnophila	Planctopirus	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
122	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	1.25	1.25	1.0226538585904277	4.908738521234052	spherical	['1.0', ' 1.5']	['1.0', ' 1.5']	['bm4']	Gimesia maris	Gimesia	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
124	1.414213562373095	1.0246950765959597	0.8845790003462648	4.552600272623069	1.5	1.1	1.0770426814057008	5.18362787842316	oval	['1.0', ' 2.0']	['0.7', ' 1.5']	['bm4']	Blastopirellula marina	Blastopirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
125	2.23606797749979	1.2247448713915892	2.1533493378295736	8.603605814318218	3.0	1.75	5.812764532227989	16.493361431346415	tear-drop	['1.0', ' 5.0']	['0.5', ' 3.0']	['bm4']	Pirellula staleyi	Pirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
128	2.23606797749979	2.23606797749979	5.854012275867273	15.707963267948964	2.25	2.25	5.964117303299373	15.904312808798329	spherical	['2.0', ' 2.5']	['2.0', ' 2.5']	['bm4']	Isosphaera pallida	Isosphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria
139	10.95445115010332	0.2449489742783178	0.5123686993686072	8.429777677248868	17.0	0.25	0.8303949331754271	13.351768777756622	helical	['4.0', ' 30.0']	['0.2', ' 0.3']	['bm4']	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
140	11.999999999999995	0.4242640687119284	1.6764670597167743	15.99437857737011	13.0	0.4499999999999999	2.0437041959305846	18.378317023500287	helical	['8.0', ' 18.0']	['0.3', ' 0.6']	['bm4']	Borrelia hermsii	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
141	11.999999999999995	0.4242640687119284	1.6764670597167743	15.99437857737011	13.0	0.4499999999999999	2.0437041959305846	18.378317023500287	helical	['8.0', ' 18.0']	['0.3', ' 0.6']	['bm4']	Borrelia parkeri	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
142	11.999999999999995	0.4242640687119284	1.6764670597167743	15.99437857737011	13.0	0.4499999999999999	2.0437041959305846	18.378317023500287	helical	['8.0', ' 18.0']	['0.3', ' 0.6']	['bm4']	Borrelia turicatae	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
143	12.649110640673515	0.2449489742783178	0.5922276464572803	9.733868822336664	14.0	0.25	0.6831327775384055	10.995574287564276	helical	['8.0', ' 20.0']	['0.2', ' 0.3']	['bm4']	Borrelia anserina	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
144	9.486832980505138	0.316227766016838	0.7368152963798779	9.424777960769381	16.5	0.35	1.5762613890152035	18.14269757448105	helical	['3.0', ' 30.0']	['0.2', ' 0.5']	['bm4']	Borrelia coriaceae	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
147	15.811388300841893	0.3	1.110572596431484	14.901882398694147	27.5	0.3	1.9367918709381076	25.918139392115798	helical	['5.0', ' 50.0']	['0.3', ' 0.3']	['bm4']	Spirochaeta aurantia	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
148	41.747365255706114	0.2449489742783178	1.9630087556246023	32.1258457310467	93.75	0.25	4.597851748222562	73.63107781851079	helical	['15.0', ' 300.0', '15.0', ' 45.0']	['0.2', ' 0.3', '0.2', ' 0.3']	['bacdive', 'bm4']	Sediminispirochaeta bajacaliforniensis	Sediminispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
149	21.213203435596427	0.4	2.6489746020758744	26.657297628950204	22.5	0.4	2.8106782274116684	28.274333882308134	helical	['15.0', ' 30.0']	['0.4', ' 0.4']	['bm4']	Spirochaeta halophila	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
150	12.247448713915889	0.4	1.5223046353750913	15.390597961942364	12.5	0.4	1.5540411659757511	15.707963267948966	helical	['10.0', ' 15.0']	['0.4', ' 0.4']	['bm4']	Spirochaeta isovalerica	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
151	6.2048368229954285	0.447213595499958	0.9512374398888244	8.717565823576447	6.25	0.45	0.970163081336698	8.835729338221293	helical	['5.5', ' 7.0']	['0.4', ' 0.5']	['bm4']	Oceanispirochaeta litoralis	Oceanispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
152	25.980762113533164	0.2449489742783178	1.2204669213676114	19.992973221712646	30.0	0.25	1.4685309409358538	23.561944901923447	helical	['15.0', ' 45.0']	['0.2', ' 0.3']	['bm4']	Treponema stenostreptum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
154	28.2842712474619	0.223606797749979	1.107793728401658	19.869176531592203	33.0	0.225	1.3091237480742124	23.32632545290421	helical	['16.0', ' 50.0']	['0.2', ' 0.25']	['bm4']	Spirochaeta thermophila	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
156	11.31370849898476	0.264575131106459	0.6171550188276325	9.403810686831198	12.0	0.275	0.707304224140049	10.36725575684632	helical	['8.0', ' 16.0']	['0.2', ' 0.35']	['bm4']	Treponema zuelzerae	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
158	8.289525201649111	0.17738169422210556	0.203362469916381	4.619429330939323	9.120000000000001	0.1875	0.2461081960544813	5.317930964364122	helical	['6.8', ' 8.68', '5.0', ' 16.0']	['0.18', ' 0.22', '0.1', ' 0.25']	['bm4']	Treponema denticola	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
159	4.69041575982343	0.282842712474619	0.2887836699493171	4.167793630437726	6.5	0.3	0.4523893421169303	6.1261056745000975	helical	['2.0', ' 11.0']	['0.2', ' 0.4']	['bm4']	Brachyspira hyodysenteriae	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria
160	10.95445115010332	0.15540120384668107	0.2067798967193107	5.348042803869422	13.0	0.16	0.2643419834534547	6.53451271946677	helical	['6.0', ' 20.0', '6.0', ' 20.0']	['0.1', ' 0.18', '0.18', ' 0.18']	['pubmed', 'bm4']	Treponema pallidum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
