taxid	length_gmean	width_gmean	volume_gmean	surface_gmean	length_amean	width_amean	volume_amean	surface_amean	shape	length_ranges	width_ranges	species	genus	family	order	class	phylum	superkingdom	source
11	2.3717082451262845	1.0606601717798212	1.7831870057271044	7.902916572420815	2.625	1.125	2.2365439887372647	9.277515805132358	rod-shaped	['1.5', ' 3.75']	['0.75', ' 1.5']	Cellulomonas gilvus	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	bacdive
14	9.999999999999998	0.4898979485566356	1.8541743962299917	15.39059796194237	12.5	0.5	2.421644337142132	19.634954084936208	rod-shaped	['5.0', ' 20.0']	['0.4', ' 0.6']	Dictyoglomus thermophilum	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria	bacdive
23	1.5	0.7	0.4874704600820161	3.2986722862692828	1.5	0.7	0.4874704600820161	3.2986722862692828	rod-shaped	['1.5', ' 1.5']	['0.7', ' 0.7']	Shewanella colwelliana	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	bacdive
104	1.0392304845413265	0.3464101615137754	0.08706236948324242	1.1309733552923251	1.05	0.35	0.0897971900151082	1.154535300194249	ring-shaped	['0.9', ' 1.2']	['0.3', ' 0.4']	Cyclobacterium marinum	Cyclobacterium	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	bacdive
148	67.0820393249937	0.2449489742783178	3.157318979477841	51.62163488590928	157.5	0.25	7.727172555509269	123.70021073509812		['15.0', ' 300.0']	['0.2', ' 0.3']	Sediminispirochaeta bajacaliforniensis	Sediminispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	bacdive
198	1.7320508075688774	0.316227766016838	0.1277561287627363	1.7207211628636434	1.85	0.35	0.1667662100280581	2.034181243199391	rod-shaped	['1.2', ' 2.5']	['0.2', ' 0.5']	Campylobacter hyointestinalis	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	bacdive
204	3.162277660168379	0.6324555320336759	0.9272282381409692	6.283185307179585	3.5	0.65	1.0895108772496351	7.147123286916779	rod-shaped	['2.0', ' 5.0']	['0.5', ' 0.8']	Campylobacter showae	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	bacdive
210	3.5355339059327378	0.7071067811865476	1.2958408569628572	7.853981633974482	3.75	0.75	1.5462526341887264	8.835729338221293	rod-shaped	['2.5', ' 5.0']	['0.5', ' 1.0']	Helicobacter pylori	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	bacdive
287	7.415443344804141	0.6587867636800241	2.4527968357665784	15.347295621083548	7.805	0.6599999999999999	2.5949759522174163	16.183286236437098	rod-shaped	['5.37', ' 10.24']	['0.62', ' 0.7']	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	bacdive
436	2.449489742783178	0.1414213562373095	0.03773601441516279	1.0882796185405308	2.5	0.15	0.0432950737572843	1.1780972450961726	rod-shaped	['2.0', ' 3.0']	['0.1', ' 0.2']	Komagataeibacter hansenii	Komagataeibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	bacdive
446	1.55	0.7	0.5067127150852536	3.408628029144926	1.55	0.7	0.5067127150852536	3.408628029144926	ovoid-shaped	['1.55', ' 1.55']	['0.7', ' 0.7']	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria	bacdive
521	1.414213562373095	0.447213595499958	0.1987280978044492	1.9869176531592203	1.5	0.45	0.2147082229187774	2.1205750411731104	rod-shaped	['1.0', ' 2.0']	['0.4', ' 0.5']	Bordetella avium	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	bacdive
536	1.75	0.4	0.20315632493213986	2.199114857512855	1.75	0.4	0.2031563249321399	2.199114857512855	rod-shaped	['1.75', ' 1.75']	['0.4', ' 0.4']	Chromobacterium violaceum	Chromobacterium	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	bacdive
562	2.85	0.65	0.8738209066266112	5.819800390775091	2.85	0.65	0.8738209066266112	5.819800390775092	rod-shaped	['2.85', ' 2.85']	['0.65', ' 0.65']	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	bacdive
781	1.095445115010332	0.4	0.12090253220994582	1.376576930290914	1.3	0.4	0.1466076571675237	1.6336281798666925	rod-shaped	['0.6', ' 2.0']	['0.4', ' 0.4']	Rickettsia conorii	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria	bacdive
873	3.5	0.5	0.6544984694978736	5.497787143782138	3.5	0.5	0.6544984694978736	5.497787143782138	vibrio-shaped	['3.5', ' 3.5']	['0.5', ' 0.5']	Desulfocurvibacter africanus	Desulfocurvibacter	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria	bacdive
923	1.0	0.5	0.1636246173744683	1.5707963267948966	1.0	0.5	0.1636246173744683	1.5707963267948966	rod-shaped	['1.0', ' 1.0']	['0.5', ' 0.5']	Guyparkeria hydrothermalis	Guyparkeria	Thioalkalibacteraceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria	bacdive
927	1.224744871391589	0.3872983346207417	0.1290776858583086	1.490188239869415	1.25	0.4	0.1403244718603441	1.5707963267948966	rod-shaped	['1.0', ' 1.5']	['0.3', ' 0.5']	Halothiobacillus neapolitanus	Halothiobacillus	Halothiobacillaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria	bacdive
940	2.449489742783178	0.3872983346207417	0.2733645417515183	2.98037647973883	2.5	0.4	0.2974041045398338	3.141592653589793	rod-shaped	['2.0', ' 3.0']	['0.3', ' 0.5']	Hydrogenobacter thermophilus	Hydrogenobacter	Aquificaceae	Aquificales	Aquificae	Aquificae	Bacteria	bacdive
