taxid	length_gmean	width_gmean	volume_gmean	surface_gmean	length_amean	width_amean	volume_amean	surface_amean	shape	length_ranges	width_ranges	species	genus	family	order	class	phylum	superkingdom	source
2161	12.247448713915889	0.7071067811865476	4.717001801895358	27.206990463513257	12.5	0.75	5.411884219660542	29.45243112740431	rod	['10.0', ' 15.0']	['0.5', ' 1.0']	Methanobacterium bryantii	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
2162	5.477225575051661	0.565685424949238	1.3291861789505588	9.73386882233667	8.5	0.6000000000000001	2.346769712231576	16.022122533307947	rod	['2.0', ' 15.0']	['0.4', ' 0.8']	Methanobacterium formicicum	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
2163	3.872983346207417	0.6324555320336759	1.150503014353443	7.6952989809711845	8.0	0.65	2.582749135409034	16.336281798666924	rod	['1.0', ' 15.0']	['0.5', ' 0.8']	Methanobacterium ivanovii	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
2171	3.5355339059327378	0.5	0.6614755356123511	5.553603672697958	3.75	0.5	0.7035858547102141	5.890486225480862	rod	['2.5', ' 5.0']	['0.5', ' 0.5']	Methanobacterium palustre	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
2173	1.0	0.648074069840786	0.2586077628391434	2.035984736793852	1.0	0.6499999999999999	0.2599340671610804	2.042035224833365	rod	['1.0', ' 1.0']	['0.6', ' 0.7']	Methanobrevibacter smithii	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
2177	1.0	1.0	0.5235987755982988	3.141592653589793	1.25	1.25	1.0226538585904277	4.908738521234052	spherical	['0.5', ' 2.0']	['0.5', ' 2.0']	Methanohalophilus halophilus	Methanohalophilus	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2180	1.7320508075688774	0.3464101615137754	0.15235914659567426	1.884955592153876	2.0	0.35	0.1811979012804862	2.199114857512855	rod	['1.0', ' 3.0']	['0.3', ' 0.4']	Methanothermus fervidus	Methanothermus	Methanothermaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
2181	1.7320508075688774	0.3464101615137754	0.15235914659567426	1.884955592153876	2.0	0.35	0.1811979012804862	2.199114857512855	rod	['1.0', ' 3.0']	['0.3', ' 0.4']	Methanothermus sociabilis	Methanothermus	Methanothermaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
2186	1.414213562373095	1.414213562373095	1.4809609793861214	6.283185307179585	1.5	1.5	1.7671458676442586	7.0685834705770345	spherical	['1.0', ' 2.0']	['1.0', ' 2.0']	Methanothermococcus thermolithotrophicus	Methanothermococcus	Methanococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea	bm1
2187	1.414213562373095	1.414213562373095	1.4809609793861214	6.283185307179585	1.5	1.5	1.7671458676442586	7.0685834705770345	spherical	['1.0', ' 2.0']	['1.0', ' 2.0']	Methanococcus vannielii	Methanococcus	Methanococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea	bm1
2188	1.414213562373095	1.414213562373095	1.4809609793861214	6.283185307179585	1.5	1.5	1.7671458676442586	7.0685834705770345	spherical	['1.0', ' 2.0']	['1.0', ' 2.0']	Methanococcus voltae	Methanococcus	Methanococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea	bm1
2189	1.2	1.2	0.9047786842338604	4.523893421169302	1.2	1.2	0.9047786842338604	4.523893421169302	spherical	['1.2', ' 1.2']	['1.2', ' 1.2']	Methanotorris igneus	Methanotorris	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea	bm1
2190	1.224744871391589	1.224744871391589	0.961912372621398	4.71238898038469	1.25	1.25	1.1453723216212788	5.105088062083414	spherical	['1.5', ' 1.5', '1.0', ' 1.0']	['1.5', ' 1.5', '1.0', ' 1.0']	Methanocaldococcus jannaschii	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea	bm1
2193	1.0	1.0	0.5235987755982988	3.141592653589793	1.0	1.0	0.5235987755982988	3.141592653589793	spherical	['1.0', ' 1.0']	['1.0', ' 1.0']	Methanocorpusculum parvum	Methanocorpusculum	Methanocorpusculaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2197	2.6	2.6	9.202772079915704	21.237166338267002	2.6	2.6	9.202772079915702	21.237166338267	spherical	['2.6', ' 2.6']	['2.6', ' 2.6']	Methanogenium cariaci	Methanogenium	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2198	1.3	1.3	1.1503465099894628	5.309291584566751	1.3	1.3	1.1503465099894628	5.309291584566751	spherical	['1.3', ' 1.3']	['1.3', ' 1.3']	Methanoculleus marisnigri	Methanoculleus	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2199	0.8660254037844387	0.8660254037844387	0.34008738079391587	2.3561944901923453	1.0	1.0	0.5235987755982988	3.141592653589793	spherical	['0.5', ' 1.5']	['0.5', ' 1.5']	Methanogenium organophilum	Methanogenium	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2200	1.3426748071413253	1.3426748071413253	1.2673925299287734	5.66358669956949	1.45	1.45	1.8012452379050978	6.88794189299562	spherical	['1.0', ' 1.3', '1.0', ' 2.5']	['1.0', ' 1.3', '1.0', ' 2.5']	Methanoculleus thermophilus	Methanoculleus	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2201	1.5811388300841898	1.5811388300841898	2.0697058887075217	7.8539816339744855	1.625	1.625	2.246770527323169	8.295768100885548	spherical	['1.25', ' 2.0']	['1.25', ' 2.0']	Methanofollis liminatans	Methanofollis	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2203	8.602325267042628	0.447213595499958	1.32783404403308	12.085948251424984	8.7	0.45	1.3598187451522572	12.29933523880404	rod	['7.4', ' 10.0']	['0.4', ' 0.5']	Methanospirillum hungatei	Methanospirillum	Methanospirillaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2205	1.7320508075688772	0.7	0.5767740763409667	3.808978664891857	1.75	0.7	0.5836817350982035	3.848451000647497	rod	['1.5', ' 2.0']	['0.7', ' 0.7']	Methanomicrobium mobile	Methanomicrobium	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2208	1.7320508075688772	1.7320508075688772	2.7206990463513265	9.424777960769376	1.75	1.75	2.806162187972133	9.62112750161874	spherical	['1.5', ' 2.0']	['1.5', ' 2.0']	Methanosarcina barkeri	Methanosarcina	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2210	1.7320508075688774	1.7320508075688774	2.720699046351327	9.424777960769381	2.0	2.0	4.188790204786391	12.566370614359172	spherical	['1.0', ' 3.0']	['1.0', ' 3.0']	Methanosarcina thermophila	Methanosarcina	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2214	1.8314207507423532	1.8314207507423532	3.2163478671371375	10.53722209656109	2.0	2.0	4.188790204786391	12.566370614359172	spherical	['1.5', ' 2.5', '1.0', ' 3.0']	['1.5', ' 2.5', '1.0', ' 3.0']	Methanosarcina acetivorans	Methanosarcina	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2215	1.414213562373095	1.414213562373095	1.4809609793861214	6.283185307179585	1.5	1.5	1.7671458676442586	7.0685834705770345	spherical	['1.0', ' 2.0']	['1.0', ' 2.0']	Methanosarcina vacuolata	Methanosarcina	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2221	1.0	1.0	0.5235987755982988	3.141592653589793	1.025	1.025	0.5638586127032866	3.300635781677776	spherical	['0.8', ' 1.25']	['0.8', ' 1.25']	Methanolobus tindarius	Methanolobus	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2223	3.464101615137755	0.8	1.6072061031116849	8.706236948324246	4.0	0.8	1.8765780117443036	10.053096491487338	rod	['2.0', ' 6.0']	['0.8', ' 0.8']	Methanothrix soehngenii	Methanothrix	Methanotrichaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2224	3.464101615137755	1.019803902718557	2.551863609302203	11.098318022366959	4.0	1.05	3.1605403842817568	13.194689145077133	rod	['2.0', ' 6.0']	['0.8', ' 1.3']	Methanothrix thermoacetophila	Methanothrix	Methanotrichaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2226	1.2	1.2	0.9047786842338604	4.523893421169302	1.3	1.3	1.1503465099894628	5.309291584566751	spherical	['0.8', ' 1.8']	['0.8', ' 1.8']	Methanococcoides methylutens	Methanococcoides	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
2238	2.449489742783178	1.414213562373095	3.10716900079253	10.882796185405308	2.5	1.5	3.5342917352885173	11.780972450961723	disk	['2.0', ' 3.0']	['1.0', ' 2.0']	Haloarcula marismortui	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	bm1
2242	2.449489742783178	0.7071067811865476	0.8693523114097657	5.441398092702653	3.5	0.75	1.43580601746096	8.246680715673207	rod	['1.0', ' 6.0']	['0.5', ' 1.0']	Halobacterium salinarum	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	bm1
2269	10.000000000000002	0.229128784747792	0.4091847825660183	7.198293068896205	50.5	0.25	2.4748223377888343	39.66260725157114	rod	['1.0', ' 100.0']	['0.15', ' 0.35']	Thermofilum pendens	Thermofilum	Thermofilaceae	Thermofilales	Thermoprotei	Crenarchaeota	Archaea	bm1
2271	10.000000000000002	0.4	1.239881900616772	12.566370614359172	50.5	0.4	6.329261999432237	63.460171602513824	rod	['1.0', ' 100.0']	['0.4', ' 0.4']	Thermoproteus tenax	Thermoproteus	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	bm1
2275	1.0	1.0	0.5235987755982988	3.141592653589793	2.6	2.6	9.202772079915702	21.237166338267	spherical	['0.2', ' 5.0']	['0.2', ' 5.0']	Desulfurococcus mucosus	Desulfurococcus	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	bm1
2277	3.464101615137754	0.6324555320336759	1.0220490301018896	6.882884651454572	4.75	0.65	1.5042992822939123	9.699667317958486	rod	['1.5', ' 8.0']	['0.5', ' 0.8']	Pyrobaculum islandicum	Pyrobaculum	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	bm1
2278	3.464101615137754	0.6324555320336759	1.0220490301018896	6.882884651454572	4.75	0.65	1.5042992822939123	9.699667317958486	rod	['1.5', ' 8.0']	['0.5', ' 0.8']	Pyrobaculum organotrophum	Pyrobaculum	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	bm1
2280	2.7386127875258306	2.7386127875258306	10.754507267897766	23.561944901923454	7.75	7.75	243.72704881013937	188.69190875623696	spherical	['0.5', ' 15.0']	['0.5', ' 15.0']	Staphylothermus marinus	Staphylothermus	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	bm1
2285	1.1832159566199232	1.1832159566199232	0.8673425966163862	4.39822971502571	1.35	1.35	1.288249337512665	5.725552611167398	spherical	['0.7', ' 2.0']	['0.7', ' 2.0']	Sulfolobus acidocaldarius	Sulfolobus	Sulfolobaceae	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea	bm1
2309	0.8660254037844386	0.1414213562373095	0.012863014742063502	0.3847649490485592	1.4	0.15	0.0238564692131975	0.6597344572538566	disk	['0.3', ' 2.5']	['0.1', ' 0.2']	Pyrodictium occultum	Pyrodictium	Pyrodictiaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	bm1
2317	1.0	1.0	0.5235987755982988	3.141592653589793	1.0	1.0	0.5235987755982988	3.141592653589793	spherical	['1.0', ' 1.0']	['1.0', ' 1.0']	Methanosphaera stadtmanae	Methanosphaera	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
2322	0.6324555320336759	0.6324555320336759	0.13246117687728132	1.2566370614359177	1.1	1.1	0.696909970321336	3.8013271108436495	spherical	['0.2', ' 2.0']	['0.2', ' 2.0']	Methanohalobium evestigatum	Methanohalobium	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
13773	3.464101615137754	0.6324555320336759	1.0220490301018896	6.882884651454572	4.75	0.65	1.5042992822939123	9.699667317958486	rod	['1.5', ' 8.0']	['0.5', ' 0.8']	Pyrobaculum aerophilum	Pyrobaculum	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	bm1
28442	3.872983346207417	0.7745966692414834	1.703427043908917	9.424777960769381	4.0	0.8	1.8765780117443036	10.053096491487338	rod	['3.0', ' 5.0']	['0.6', ' 1.0']	Haloarcula vallismortis	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	bm1
29282	3.162277660168379	0.316227766016838	0.24008588309007248	3.141592653589794	3.5	0.35	0.3255148138047674	3.848451000647497	triangular	['2.0', ' 5.0']	['0.2', ' 0.5']	Haloarcula japonica	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	bm1
29291	1.2	1.2	0.9047786842338604	4.523893421169302	1.3	1.3	1.1503465099894628	5.309291584566751	spherical	['0.8', ' 1.8']	['0.8', ' 1.8']	Methanococcoides burtonii	Methanococcoides	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
33865	1.8708286933869709	1.414213562373095	2.198210349941688	8.31187288206608	2.25	1.5	3.0925052683774528	10.602875205865551	disk	['1.0', ' 3.5']	['1.0', ' 2.0']	Methanoplanus endosymbiosus	Methanoplanus	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
35616	0.8660254037844386	0.2	0.025112595361119996	0.5441398092702653	1.4	0.2	0.0418879020478639	0.879645943005142	disk	['0.3', ' 2.5']	['0.2', ' 0.2']	Pyrodictium brockii	Pyrodictium	Pyrodictiaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	bm1
38023	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	1.25	1.25	1.0226538585904277	4.908738521234052	spherical	['1.0', ' 1.5']	['1.0', ' 1.5']	Methanolobus bombayensis	Methanolobus	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
38024	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	1.25	1.25	1.0226538585904277	4.908738521234052	spherical	['1.0', ' 1.5']	['1.0', ' 1.5']	Methanolobus oregonensis	Methanolobus	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
38025	0.7071067811865476	0.7071067811865476	0.18512012242326534	1.5707963267948968	0.75	0.75	0.2208932334555323	1.7671458676442586	spherical	['0.5', ' 1.0']	['0.5', ' 1.0']	Methanolobus taylorii	Methanolobus	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
38026	1.0	1.0	0.5235987755982988	3.141592653589793	1.025	1.025	0.5638586127032866	3.300635781677776	spherical	['0.8', ' 1.25']	['0.8', ' 1.25']	Methanolobus vulcani	Methanolobus	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
