taxid	length_gmean	width_gmean	volume_gmean	surface_gmean	length_amean	width_amean	volume_amean	surface_amean	shape	length_ranges	width_ranges	species	genus	family	order	class	phylum	superkingdom	source
160	10.95445115010332	0.1341640786499874	0.1542326713319342	4.61717938858271	13.0	0.14	0.1994010745135489	5.717698629533424	spiral	['6.0', ' 20.0']	['0.1', ' 0.18']	Treponema pallidum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	pubmed
173	12.649110640673515	0.10000000000000002	0.0990840832701618	3.973835306318439	14.0	0.1	0.1096939434878436	4.39822971502571	spiral	['8.0', ' 20.0']	['0.1', ' 0.1']	Leptospira interrogans	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	pubmed
195	0.316227766016838	0.316227766016838	0.016557647109660102	0.31415926535897937	0.35	0.35	0.022449297503777	0.3848451000647496	sphere/rod	['0.2', ' 0.5']	['0.2', ' 0.5']	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	pubmed
197	1.118033988749895	1.118033988749895	0.7317515344834091	3.9269908169872423	1.5	1.5	1.7671458676442586	7.0685834705770345	sphere/spiral	['0.5', ' 2.5']	['0.5', ' 2.5']	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	pubmed
199	4.0	0.7071067811865476	1.4782362655832644	8.885765876316732	4.0	0.75	1.6566992509164924	9.42477796076938	spiral	['4.0', ' 4.0']	['0.5', ' 1.0']	Campylobacter concisus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	pubmed
294	2.23606797749979	0.5	0.4063259972151518	3.512407365520364	2.25	0.5	0.409061543436171	3.5342917352885173	rod	['2.0', ' 2.5']	['0.5', ' 0.5']	Pseudomonas fluorescens	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	pubmed
305	1.5	0.5	0.2617993877991494	2.356194490192345	1.5	0.5	0.2617993877991494	2.356194490192345	rod	['1.5', ' 1.5']	['0.5', ' 0.5']	Ralstonia solanacearum	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	pubmed
316	1.7320508075688774	0.5	0.3073624573190222	2.720699046351327	2.0	0.5	0.3599741582238304	3.141592653589793	rod	['1.0', ' 3.0']	['0.5', ' 0.5']	Pseudomonas stutzeri	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	pubmed
317	1.5	0.916515138991168	0.788049479951691	4.318975841337722	1.5	0.95	0.8387725135849998	4.476769531365456	rod	['1.5', ' 1.5']	['0.7', ' 1.2']	Pseudomonas syringae	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	pubmed
346	1.7320508075688772	0.6123724356957946	0.4500115479020364	3.3321622036187755	1.75	0.625	0.4729774095980726	3.436116964863836	rod	['1.5', ' 2.0']	['0.5', ' 0.75']	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	pubmed
347	1.1832159566199232	0.529150262212918	0.2214140388686074	1.9669481246914031	1.35	0.55	0.2771801018323495	2.332632545290422	rod	['0.7', ' 2.0']	['0.4', ' 0.7']	Xanthomonas oryzae	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	pubmed
384	1.43	0.84	0.6373034857072254	3.773681095492059	1.43	0.84	0.6373034857072254	3.773681095492059	rod	['1.43', ' 1.43']	['0.84', ' 0.84']	Rhizobium leguminosarum	Rhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	pubmed
485	0.7745966692414834	0.7745966692414834	0.2433467205584167	1.884955592153876	0.8	0.8	0.268082573106329	2.010619298297468	sphere	['0.6', ' 1.0']	['0.6', ' 1.0']	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	pubmed
487	0.9486832980505138	0.9486832980505138	0.4470564719608244	2.827433388230814	1.05	1.05	0.6061310326019806	3.463605900582747	sphere	['0.6', ' 1.5']	['0.6', ' 1.5']	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	pubmed
520	0.8	0.4	0.0837758040957278	1.005309649148734	0.8	0.4	0.0837758040957278	1.005309649148734	rod	['0.8', ' 0.8']	['0.4', ' 0.4']	Bordetella pertussis	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	pubmed
550	7.372923436466706	0.6	2.028096321548927	13.897633262090288	9.35	0.6	2.587101550231195	17.624334786638737	rod	['3.6', ' 15.1']	['0.6', ' 0.6']	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	pubmed
573	2.0	0.5	0.3599741582238304	3.141592653589793	2.0	0.5	0.3599741582238304	3.141592653589793	rod	['2.0', ' 2.0']	['0.5', ' 0.5']	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	pubmed
615	1.3416407864998738	0.6324555320336759	0.35525829542380294	2.66572976289502	1.45	0.65	0.4092578929770203	2.96095107600838	rod	['0.9', ' 2.0']	['0.5', ' 0.8']	Serratia marcescens	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	pubmed
666	3.07408522978788	0.3794733192202055	0.3333650415760313	3.664772526228933	3.1	0.38	0.3372101778559188	3.700796145928776	rod	['2.7', ' 3.5']	['0.36', ' 0.4']	Vibrio cholerae	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	pubmed
670	1.833030277982336	0.6324555320336759	0.5096328570730556	3.6420802180984566	1.9	0.65	0.5585817187929603	3.8798669271833934	rod	['1.4', ' 2.4']	['0.5', ' 0.8']	Vibrio parahaemolyticus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	pubmed
672	3.0000000000000004	0.7	1.0647381101791404	6.5973445725385655	3.0	0.7	1.0647381101791404	6.5973445725385655	rod	['3.0', ' 3.0']	['0.7', ' 0.7']	Vibrio vulnificus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	pubmed
727	1.0	0.3	0.0636172512351933	0.942477796076938	1.0	0.3	0.0636172512351933	0.942477796076938	oval	['1.0', ' 1.0']	['0.3', ' 0.3']	Haemophilus influenzae	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	pubmed
747	0.8660254037844387	0.3535533905932738	0.07345183754702489	0.961912372621398	1.0	0.375	0.0966407896367954	1.1780972450961724	oval	['0.5', ' 1.5']	['0.25', ' 0.5']	Pasteurella multocida	Pasteurella	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	pubmed
1218	0.5916079783099616	0.5916079783099616	0.10841782457704821	1.0995574287564276	0.6	0.6	0.1130973355292325	1.1309733552923256	sphere	['0.5', ' 0.7']	['0.5', ' 0.7']		Prochlorococcus	Prochlorococcaceae	Synechococcales		Cyanobacteria	Bacteria	pubmed
1280	1.0	1.0	0.5235987755982988	3.141592653589793	1.0	1.0	0.5235987755982988	3.141592653589793	sphere	['1.0', ' 1.0']	['1.0', ' 1.0']	Staphylococcus aureus	Staphylococcus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	pubmed
