	Name	Shape	Length	Width	Diameter	Subspecies	File #	Notes	length_gmean	width_gmean	length_amean	width_amean	volume_gmean	surface_gmean	volume_amean	surface_amean	length_ranges	width_ranges	length_ranges_fix	width_ranges_fix
0	Thermoproteus tenax	rod	1-100	0.4		No	7		10.000000000000002	0.4	50.5	0.4	1.239881900616772	12.566370614359174	6.329261999432237	63.460171602513824	[1.0, 100.0]	[0.4, 0.4]	[1.0, 100.0]	[0.4, 0.4]
1	Thermoproteus neutrophilus	rod	1-100	0.4		No	7		10.000000000000002	0.4	50.5	0.4	1.239881900616772	12.566370614359174	6.329261999432237	63.460171602513824	[1.0, 100.0]	[0.4, 0.4]	[1.0, 100.0]	[0.4, 0.4]
2	Thermoproteus uzoniensis	rod	1.0-20.0	0.3-0.4		No	7		4.472135954999579	0.34641016151377546	10.5	0.35	0.41060608767703816	4.866934411168333	0.9989937389180791	11.54535300194249	[1.0, 20.0]	[0.3, 0.4]	[1.0, 20.0]	[0.3, 0.4]
3	Caldivirga maquilingensis	rod	3.0-20.0	0.4-0.7		No	7		7.745966692414833	0.529150262212918	11.5	0.55	1.6646383037926078	12.876698099213987	2.68864698777379	19.870573533955444	[3.0, 20.0]	[0.4, 0.7]	[3.0, 20.0]	[0.4, 0.7]
4	Pyrobaculum islandicum	rod	1.5-8	0.5-0.8		No	7		3.464101615137754	0.6324555320336759	4.75	0.65	1.0220490301018896	6.882884651454571	1.5042992822939125	9.699667317958486	[1.5, 8.0]	[0.5, 0.8]	[1.5, 8.0]	[0.5, 0.8]
5	Pyrobaculum aerophilum	rod	1.5-8	0.5-0.8		No	7		3.464101615137754	0.6324555320336759	4.75	0.65	1.0220490301018896	6.882884651454571	1.5042992822939125	9.699667317958486	[1.5, 8.0]	[0.5, 0.8]	[1.5, 8.0]	[0.5, 0.8]
6	Pyrobaculum organotrophum	rod	1.5-8	0.5-0.8		No	7		3.464101615137754	0.6324555320336759	4.75	0.65	1.0220490301018896	6.882884651454571	1.5042992822939125	9.699667317958486	[1.5, 8.0]	[0.5, 0.8]	[1.5, 8.0]	[0.5, 0.8]
7	Thermocladium modestius	rod	5.0-20.0	1.0-3.0		No	7		9.999999999999998	1.7320508075688774	12.5	2.0	22.20159537874779	54.41398092702653	37.17551306747922	78.53981633974483	[5.0, 20.0]	[1.0, 3.0]	[5.0, 20.0]	[1.0, 3.0]
8	Thermofilum pendens	rod	1-100	0.15-0.35		No	7		10.000000000000002	0.229128784747792	50.5	0.25	0.4091847825660183	7.198293068896205	2.4748223377888343	39.66260725157114	[1.0, 100.0]	[0.15, 0.35]	[1.0, 100.0]	[0.15, 0.35]
9	Desulfurococcus mucosus	spherical	0.2-5	0.2-5		No	7		1.0	1.0	2.6	2.6	0.5235987755982988	3.141592653589793	9.202772079915702	21.237166338267002	[0.2, 5.0]	[0.2, 5.0]	[0.2, 5.0]	[0.2, 5.0]
10	Staphylothermus marinus	spherical	0.5-15	0.5-15		No	7		2.7386127875258306	2.7386127875258306	7.75	7.75	10.754507267897766	23.56194490192345	243.72704881013937	188.69190875623696	[0.5, 15.0]	[0.5, 15.0]	[0.5, 15.0]	[0.5, 15.0]
11	Stetteria hydrogenophila	spherical	0.5-15	0.5-15		No	7		2.7386127875258306	2.7386127875258306	7.75	7.75	10.754507267897766	23.56194490192345	243.72704881013937	188.69190875623696	[0.5, 15.0]	[0.5, 15.0]	[0.5, 15.0]	[0.5, 15.0]
12	Sulfophobococcus zilligii	spherical	40	3.0-5.0		No	7		40.0	3.872983346207417	40.0	4.0	456.0297280035679	486.69344111683347	485.8996637552213	502.6548245743669	[40.0, 40.0]	[3.0, 5.0]	[40.0, 40.0]	[3.0, 5.0]
13	Pyrodictium occultum	disk	0.1-0.2	0.3-2.5		No	7		0.8660254037844386	0.14142135623730953	1.4	0.15000000000000002	0.012863014742063575	0.38476494904855923	0.0238564692131975	0.6597344572538566	[0.1, 0.2]	[0.3, 2.5]	[0.3, 2.5]	[0.1, 0.2]
14	Pyrodietium broekü	disk	0.2	0.3-2.5		No	7		0.8660254037844386	0.2	1.4	0.2	0.025112595361120073	0.5441398092702653	0.04188790204786391	0.879645943005142	[0.2, 0.2]	[0.3, 2.5]	[0.3, 2.5]	[0.2, 0.2]
15	Hyperthermus butylicus	spherical	1.5	1.5		No	7		1.5	1.5	1.5	1.5	1.7671458676442586	7.0685834705770345	1.7671458676442586	7.0685834705770345	[1.5, 1.5]	[1.5, 1.5]	[1.5, 1.5]	[1.5, 1.5]
16	Pyrolobus fumarii	spherical	0.7-2.5	0.7-2.5		No	7		1.3228756555322954	1.3228756555322954	1.6	1.6	1.2121481286346372	5.497787143782139	2.1446605848506324	8.042477193189871	[0.7, 2.5]	[0.7, 2.5]	[0.7, 2.5]	[0.7, 2.5]
17	Sulfolobus acidocaldarius	spherical	0.7-2.0	0.7-2.0		No	7		1.1832159566199232	1.1832159566199232	1.35	1.35	0.8673425966163862	4.39822971502571	1.2882493375126647	5.725552611167398	[0.7, 2.0]	[0.7, 2.0]	[0.7, 2.0]	[0.7, 2.0]
18	MetaIlosphaera sedula	spherical	0.6-1.5	0.6-1.5		No	8		0.9486832980505138	0.9486832980505138	1.05	1.05	0.4470564719608244	2.827433388230814	0.6061310326019806	3.463605900582747	[0.6, 1.5]	[0.6, 1.5]	[0.6, 1.5]	[0.6, 1.5]
19	Metallosphaera prunae	spherical	0.6-1.5	0.6-1.5		No	8		0.9486832980505138	0.9486832980505138	1.05	1.05	0.4470564719608244	2.827433388230814	0.6061310326019806	3.463605900582747	[0.6, 1.5]	[0.6, 1.5]	[0.6, 1.5]	[0.6, 1.5]
20	Stygiolobus azoricus	spherical	0.5-1.8	0.5-1.8		No	8		0.9486832980505139	0.9486832980505139	1.15	1.15	0.4470564719608246	2.8274333882308142	0.7963282878380625	4.1547562843725006	[0.5, 1.8]	[0.5, 1.8]	[0.5, 1.8]	[0.5, 1.8]
21	Sulfurisphaera ohwakuensis	spherical	1.2-1.5	1.2-1.5		No	8		1.3416407864998738	1.3416407864998738	1.35	1.35	1.2644666515873306	5.654866776461628	1.2882493375126647	5.725552611167398	[1.2, 1.5]	[1.2, 1.5]	[1.2, 1.5]	[1.2, 1.5]
22	Sulfurococcus mirabilis	spherical	0.8-2.5	0.8-2.5		No	8		1.4142135623730951	1.4142135623730951	1.65	1.65	1.4809609793861225	6.283185307179587	2.3520711498345075	8.552985999398212	[0.8, 2.5]	[0.8, 2.5]	[0.8, 2.5]	[0.8, 2.5]
