	rank	Name	shape	Length	Width	diameter	Unnamed: 6	length_gmean	width_gmean	length_amean	width_amean	volume_gmean	surface_gmean	volume_amean	surface_amean	length_ranges	width_ranges	length_ranges_fix	width_ranges_fix
0	species	Actinomyces denticolens	rods	5	0.7			5.0	0.7	5.0	0.7	1.8344283103086396	10.995574287564276	1.8344283103086396	10.995574287564276	[5.0, 5.0]	[0.7, 0.7]	[5.0, 5.0]	[0.7, 0.7]
1	species	Actinomyces georgiae	rods	3.3-6.1	0.9-1.0			4.486646854834912	0.9486832980505138	4.699999999999999	0.95	2.9478955436598366	13.371896759044168	3.1070024094768303	14.027211198278424	[3.3, 6.1]	[0.9, 1.0]	[3.3, 6.1]	[0.9, 1.0]
2	species	Actinomyces howellii	rods	1.5-5.0	0.8			2.7386127875258306	0.8	3.25	0.8	1.24253564373775	6.882884651454572	1.4995868933135281	8.168140899333462	[1.5, 5.0]	[0.8, 0.8]	[1.5, 5.0]	[0.8, 0.8]
3	species	Actinomyces meyeri	rods	0.5-0.9	0.9-3.0			1.6431676725154984	0.6708203932499369	1.95	0.7	0.5017142267422714	3.4628845414370333	0.6606507551111535	4.288273972150067	[0.5, 0.9]	[0.9, 3.0]	[0.9, 3.0]	[0.5, 0.9]
4	species	Actinomyces radingae	rods	1	0.65			1.0	0.65	1.0	0.65	0.2599340671610805	2.0420352248333655	0.2599340671610805	2.0420352248333655	[1.0, 1.0]	[0.65, 0.65]	[1.0, 1.0]	[0.65, 0.65]
5	species	Actinomyces ruminicola	rods	2.5-4.0	0.5-1.0			3.1622776601683795	0.7071067811865476	3.25	0.75	1.1492634720128805	7.024814731040727	1.325359400733194	7.6576320931251205	[2.5, 4.0]	[0.5, 1.0]	[2.5, 4.0]	[0.5, 1.0]
6	species	Actinomyces slackii	rods	0.56	0.8			0.8	0.56	0.8	0.56	0.15106452994541641	1.4074335088082277	0.15106452994541641	1.4074335088082277	[0.56, 0.56]	[0.8, 0.8]	[0.8, 0.8]	[0.56, 0.56]
7	species	Actinomyces turcensis	rods	1.3-4.0	0.5-0.8			2.280350850198276	0.6324555320336759	2.65	0.65	0.6501627594203736	4.530869359655592	0.8074547618195267	5.411393345808419	[1.3, 4.0]	[0.5, 0.8]	[1.3, 4.0]	[0.5, 0.8]
8	species	Actinobaculum suis	rods	1.0-3.0	0.5			1.7320508075688774	0.5	2.0	0.5	0.3073624573190222	2.720699046351327	0.35997415822383044	3.141592653589793	[1.0, 3.0]	[0.5, 0.5]	[1.0, 3.0]	[0.5, 0.5]
9	species 	Arcanobacterium pyogenes	rods	0.2-0.9	0.3-2.5			0.8660254037844386	0.4242640687119285	1.4	0.55	0.10243848386409705	1.1542948471456778	0.28905924905373587	2.419026343264141	[0.2, 0.9]	[0.3, 2.5]	[0.3, 2.5]	[0.2, 0.9]
10	species	Bifidobacterium choerinum	coccus	10.0-12.0	10.0-12.0			10.954451150103326	10.954451150103326	11.0	11.0	688.2884651454578	376.9911184307754	696.9099703213358	380.1327110843649	[10.0, 12.0]	[10.0, 12.0]	[10.0, 12.0]	[10.0, 12.0]
11	species	Bifidobacterium gallicum	rods	0.7-0.9	1.5-3.0			2.121320343559643	0.7937253933193772	2.25	0.8	0.9187190962473732	5.2896435113425495	0.9969320687391612	5.654866776461628	[0.7, 0.9]	[1.5, 3.0]	[1.5, 3.0]	[0.7, 0.9]
