	Length	taxID	Name	Width	shape	length_gmean	width_gmean	length_amean	width_amean	volume_gmean	surface_gmean	volume_amean	surface_amean	length_ranges	width_ranges	length_ranges_fix	width_ranges_fix
5	1-1.2	269084	Synechococcus elongatus PCC 6301	1-1.2	sphere/spheroid	1.0954451150103321	1.0954451150103321	1.1	1.1	0.6882884651454569	3.7699111843077513	0.696909970321336	3.8013271108436504	[1.0, 1.2]	[1.0, 1.2]	[1.0, 1.2]	[1.0, 1.2]
8	4-5	118323	Oscillatoria acuminata	4-5	sphere/spheroid	4.472135954999579	4.472135954999579	4.5	4.5	46.83209820693815	62.83185307179584	47.712938426394985	63.61725123519331	[4.0, 5.0]	[4.0, 5.0]	[4.0, 5.0]	[4.0, 5.0]
10	1.8-2.3	1184	Leptolyngbya boryana	1.8-2.3	sphere/spheroid	2.0346989949375804	2.0346989949375804	2.05	2.05	4.410614836186082	13.006193585861745	4.510868901626293	13.202543126711102	[1.8, 2.3]	[1.8, 2.3]	[1.8, 2.3]	[1.8, 2.3]
11	0.8-1	59930	Cyanobium gracile	0.8-1	sphere/spheroid	0.8944271909999159	0.8944271909999159	0.9	0.9	0.37465678565550536	2.5132741228718345	0.3817035074111599	2.5446900494077327	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]
12	3.5-4-4-5	113355	Geminocystis herdmanii PCC 6308	3.5-4-4-5	sphere/spheroid	4.090623489235048	4.090623489235048	4.125	4.125	35.83992942722275	52.568899858233884	36.75111171616419	53.456162496238825	[3.5, 5.0]	[3.5, 5.0]	[3.5, 5.0]	[3.5, 5.0]
14	1-1.2	1129	Synechococcus	1-1.2	sphere/spheroid	1.0954451150103321	1.0954451150103321	1.1	1.1	0.6882884651454569	3.7699111843077513	0.696909970321336	3.8013271108436504	[1.0, 1.2]	[1.0, 1.2]	[1.0, 1.2]	[1.0, 1.2]
15	1.3-1.5	195253	Synechococcus sp.	1.3-1.5	sphere/spheroid	1.396424004376894	1.396424004376894	1.4	1.4	1.4257735028702396	6.126105674500097	1.4367550402417317	6.157521601035994	[1.3, 1.5]	[1.3, 1.5]	[1.3, 1.5]	[1.3, 1.5]
16	2	270636	Spirulina major	2	sphere/spheroid	2.0	2.0	2.0	2.0	4.1887902047863905	12.566370614359172	4.1887902047863905	12.566370614359172	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.0, 2.0]
19	4 - 5	1158	Oscillatoria	4 - 5	sphere/spheroid	4.472135954999579	4.472135954999579	4.5	4.5	46.83209820693815	62.83185307179584	47.712938426394985	63.61725123519331	[4.0, 5.0]	[4.0, 5.0]	[4.0, 5.0]	[4.0, 5.0]
20	1.8 - 2.3	272136	Leptolyngbya sp. PCC 6402	1.8 - 2.3	sphere/spheroid	2.0346989949375804	2.0346989949375804	2.05	2.05	4.410614836186082	13.006193585861745	4.510868901626293	13.202543126711102	[1.8, 2.3]	[1.8, 2.3]	[1.8, 2.3]	[1.8, 2.3]
21	0.8 - 1.3	1173264	Leptolyngbya sp.	0.8 - 1.3	sphere/spheroid	1.019803902718557	1.019803902718557	1.05	1.05	0.5553267978063552	3.2672563597333855	0.6061310326019806	3.463605900582747	[0.8, 1.3]	[0.8, 1.3]	[0.8, 1.3]	[0.8, 1.3]
22	4 - 5	402777	Kamptonema formosum	4 - 5	sphere/spheroid	4.472135954999579	4.472135954999579	4.5	4.5	46.83209820693815	62.83185307179584	47.712938426394985	63.61725123519331	[4.0, 5.0]	[4.0, 5.0]	[4.0, 5.0]	[4.0, 5.0]
23	1.8 - 2.3	47251	Leptolyngbya	1.8 - 2.3	sphere/spheroid	2.0346989949375804	2.0346989949375804	2.05	2.05	4.410614836186082	13.006193585861745	4.510868901626293	13.202543126711102	[1.8, 2.3]	[1.8, 2.3]	[1.8, 2.3]	[1.8, 2.3]
24	3 - 3.5	1177	Nostoc	3 - 3.5	sphere/spheroid	3.2403703492039306	3.2403703492039306	3.25	3.25	17.814866446946212	32.98672286269284	17.97416421858535	33.18307240354219	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]
25	3 - 3.5	1177	Nostoc	3 - 3.5	sphere/spheroid	3.2403703492039306	3.2403703492039306	3.25	3.25	17.814866446946212	32.98672286269284	17.97416421858535	33.18307240354219	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]
26	4 - 5	1158	Oscillatoria	4 - 5	sphere/spheroid	4.472135954999579	4.472135954999579	4.5	4.5	46.83209820693815	62.83185307179584	47.712938426394985	63.61725123519331	[4.0, 5.0]	[4.0, 5.0]	[4.0, 5.0]	[4.0, 5.0]
27	5 -6	44473	Gloeothece membranacea	5 -6	sphere/spheroid	5.47722557505166	5.47722557505166	5.5	5.5	86.03605814318209	94.24777960769376	87.11374629016697	95.03317777109123	[5.0, 6.0]	[5.0, 6.0]	[5.0, 6.0]	[5.0, 6.0]
28	4 - 5	272129	Kamptonema sp.	4 - 5	sphere/spheroid	4.472135954999579	4.472135954999579	4.5	4.5	46.83209820693815	62.83185307179584	47.712938426394985	63.61725123519331	[4.0, 5.0]	[4.0, 5.0]	[4.0, 5.0]	[4.0, 5.0]
30	4 - 5	1158	Oscillatoria	4 - 5	sphere/spheroid	4.472135954999579	4.472135954999579	4.5	4.5	46.83209820693815	62.83185307179584	47.712938426394985	63.61725123519331	[4.0, 5.0]	[4.0, 5.0]	[4.0, 5.0]	[4.0, 5.0]
31	1.2 - 1.4	1129	Synechococcus	1.2 - 1.4	sphere/spheroid	1.296148139681572	1.296148139681572	1.2999999999999998	1.2999999999999998	1.1401514526045566	5.277875658030852	1.150346509989462	5.309291584566749	[1.2, 1.4]	[1.2, 1.4]	[1.2, 1.4]	[1.2, 1.4]
32	2.5 - 3	1173032	Chamaesiphon minutus	2.5 - 3	sphere/spheroid	2.738612787525831	2.738612787525831	2.75	2.75	10.754507267897774	23.561944901923457	10.889218286270872	23.758294442772808	[2.5, 3.0]	[2.5, 3.0]	[2.5, 3.0]	[2.5, 3.0]
33	3.5 - 4	1144	Synechocystis sp. PCC 6701	3.5 - 4	sphere/spheroid	3.7416573867739418	3.7416573867739418	3.75	3.75	27.427781169924337	43.98229715025711	27.61165418194154	44.178646691106465	[3.5, 4.0]	[3.5, 4.0]	[3.5, 4.0]	[3.5, 4.0]
34	2.3 - 2.5	1142	Synechocystis	2.3 - 2.5	sphere/spheroid	2.3979157616563596	2.3979157616563596	2.4	2.4	7.219388101549008	18.064157758141306	7.2382294738708834	18.09557368467721	[2.3, 2.5]	[2.3, 2.5]	[2.3, 2.5]	[2.3, 2.5]
35	1.8 - 2.3	47251	Leptolyngbya	1.8 - 2.3	sphere/spheroid	2.0346989949375804	2.0346989949375804	2.05	2.05	4.410614836186082	13.006193585861745	4.510868901626293	13.202543126711102	[1.8, 2.3]	[1.8, 2.3]	[1.8, 2.3]	[1.8, 2.3]
36	3 - 3.5	1177	Nostoc	3 - 3.5	sphere/spheroid	3.2403703492039306	3.2403703492039306	3.25	3.25	17.814866446946212	32.98672286269284	17.97416421858535	33.18307240354219	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]
37	0.8 - 1	1129	Synechococcus	0.8 - 1	sphere/spheroid	0.8944271909999159	0.8944271909999159	0.9	0.9	0.37465678565550536	2.5132741228718345	0.3817035074111599	2.5446900494077327	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]
38	1 - 1.2	1129	Synechococcus	1 - 1.2	sphere/spheroid	1.0954451150103321	1.0954451150103321	1.1	1.1	0.6882884651454569	3.7699111843077513	0.696909970321336	3.8013271108436504	[1.0, 1.2]	[1.0, 1.2]	[1.0, 1.2]	[1.0, 1.2]
39	0.8 - 1	1129	Synechococcus	0.8 - 1	sphere/spheroid	0.8944271909999159	0.8944271909999159	0.9	0.9	0.37465678565550536	2.5132741228718345	0.3817035074111599	2.5446900494077327	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]
