pair	KS_statistic	pvalue	pvalue_corrected
Spirochaetes_Bacteroidetes	0.5718423785319998	4.3386488854443975e-32	1.1388953324291544e-31
Spirochaetes_Actinobacteria	0.5921459277332404	1.2689906146673908e-33	3.8069718440021726e-33
Spirochaetes_Proteobacteria	0.6827542489035088	1.2212453270876722e-15	1.8318679906315083e-15
Spirochaetes_Firmicutes	0.7901307576056246	4.012011734895396e-67	2.808408214426778e-66
Spirochaetes_Euryarchaeota	0.7668615984405458	1.0839250415417796e-38	3.793737645396229e-38
Spirochaetes_Cyanobacteria	0.954603002351239	2.927122083026417e-70	3.073478187177738e-69
Bacteroidetes_Actinobacteria	0.06344274583427892	0.06272440649313382	0.06272440649313382
Bacteroidetes_Proteobacteria	0.20093052310488058	1.1753744758716738e-23	2.7425404437005725e-23
Bacteroidetes_Firmicutes	0.3240575448913158	2.39314998738718e-41	1.0051229947026156e-40
Bacteroidetes_Euryarchaeota	0.3734164070612669	3.1086244689504383e-15	4.352074256530613e-15
Bacteroidetes_Cyanobacteria	0.877027330828275	1.8257324254346504e-80	3.834038093412766e-79
Actinobacteria_Proteobacteria	0.15588330401490066	3.607003584704671e-12	4.455710310517535e-12
Actinobacteria_Firmicutes	0.281227935279576	4.440892098500626e-16	7.771561172376096e-16
Actinobacteria_Euryarchaeota	0.34392935982339956	1.4453993557594913e-12	1.8970866544343323e-12
Actinobacteria_Cyanobacteria	0.8618966341230286	5.551115123125783e-16	8.967185968126264e-16
Proteobacteria_Firmicutes	0.14042627379837702	2.2808621658043648e-10	2.6610058601050923e-10
Proteobacteria_Euryarchaeota	0.24182942708333333	5.28824633860836e-07	5.844903847935556e-07
Proteobacteria_Cyanobacteria	0.8343518443943299	2.220446049250313e-16	4.662936703425658e-16
Firmicutes_Euryarchaeota	0.14207240948813982	0.016820203276433965	0.017661213440255664
Firmicutes_Cyanobacteria	0.8263510817663487	3.921338293301132e-66	2.0587026039830946e-65
Euryarchaeota_Cyanobacteria	0.7802978235967927	3.3306690738754696e-16	6.358550050125896e-16
