pair	MW_statistic	pvalue	pvalue_corrected
Tenericutes_Spirochaetes	4914.0	9.528263969395788e-14	1.1599625701873134e-13
Tenericutes_Bacteroidetes	5243.5	2.7158033881870953e-86	2.5347498289746223e-85
Tenericutes_Actinobacteria	3810.5	9.839135129743286e-84	6.8873945908203e-83
Tenericutes_Proteobacteria	6782.5	1.569222923675036e-98	4.3938241862901007e-97
Tenericutes_Firmicutes	1525.5	4.3695756389364144e-91	6.117405894510981e-90
Tenericutes_Euryarchaeota	786.5	1.0805326683381642e-46	2.52124289278905e-46
Tenericutes_Cyanobacteria	4.5	8.060054398121119e-45	1.7360117165183948e-44
Spirochaetes_Bacteroidetes	17589.5	7.713281288282564e-33	1.3498242254494488e-32
Spirochaetes_Actinobacteria	12235.0	3.132824788758832e-35	5.847939605683153e-35
Spirochaetes_Proteobacteria	23225.0	2.0908145768404217e-47	5.322073468321073e-47
Spirochaetes_Firmicutes	6298.0	1.4642163828700696e-50	5.124757340045244e-50
Spirochaetes_Euryarchaeota	1333.0	1.3239845624875024e-29	1.9511351447184244e-29
Spirochaetes_Cyanobacteria	51.0	1.316984383672707e-35	2.633968767345414e-35
Bacteroidetes_Actinobacteria	340779.0	0.012890696934953337	0.013368130154766424
Bacteroidetes_Proteobacteria	741085.5	1.6577564950290439e-28	2.3208590930406616e-28
Bacteroidetes_Firmicutes	231321.5	6.82465042020406e-48	1.9109021176571368e-47
Bacteroidetes_Euryarchaeota	37087.5	2.9861605169141238e-16	3.9815473558854985e-16
Bacteroidetes_Cyanobacteria	2066.0	1.0409004006907413e-54	5.829042243868151e-54
Actinobacteria_Proteobacteria	626973.5	7.434167921300105e-15	9.46166826347286e-15
Actinobacteria_Firmicutes	198319.0	3.651593385388248e-32	6.01438910534535e-32
Actinobacteria_Euryarchaeota	31379.5	5.459287016908061e-13	6.369168186392738e-13
Actinobacteria_Cyanobacteria	2034.0	3.3898559772579766e-52	1.3559423909031906e-51
Proteobacteria_Firmicutes	687059.0	7.574858399799699e-12	8.483841407775663e-12
Proteobacteria_Euryarchaeota	105942.5	2.644632386019653e-06	2.848065646482703e-06
Proteobacteria_Cyanobacteria	7550.5	8.463601914016393e-54	3.94968089320765e-53
Firmicutes_Euryarchaeota	48497.0	0.027626786855571978	0.027626786855571978
Firmicutes_Cyanobacteria	3648.0	1.628084322615067e-48	5.0651512259135414e-48
Euryarchaeota_Cyanobacteria	801.5	2.2133719457117635e-30	3.4430230266627426e-30
