taxon,rank,SV.lambda,phylum,SV.pval0_corrected
Mycoplasma,genus,1.0,Tenericutes,0.9999999048847479
Mycoplasmataceae,family,1.0,Tenericutes,0.9861139122320179
Mycoplasmatales,order,1.0,Tenericutes,0.9861139122320179
Mollicutes,class,0.7326643474212671,Tenericutes,1.6127139582723078e-13
Tenericutes,phylum,0.7326643474200449,Tenericutes,1.6127139582723078e-13
Spirochaetales,order,0.9329410785548431,Spirochaetes,0.0003910075642662383
Spirochaetia,class,0.9606515185373941,Spirochaetes,3.904729607126689e-21
Spirochaetes,phylum,0.9606454732747379,Spirochaetes,3.904729607126689e-21
Xanthomonadaceae,family,0.49002786371019696,Proteobacteria,0.17941426904585808
Xanthomonadales,order,0.330441873118538,Proteobacteria,0.6012457632975502
Pseudomonadales,order,4.11386678196029e-16,Proteobacteria,0.9999999048847479
Halomonas,genus,0.5020315320856981,Proteobacteria,0.8943431627087521
Halomonadaceae,family,0.846971820263948,Proteobacteria,0.02920262278074588
Oceanospirillales,order,0.815762927797497,Proteobacteria,0.0015333699848659157
Enterobacterales,order,2.5891485775941e-31,Proteobacteria,0.9999999048847479
Alteromonadales,order,0.552369832840645,Proteobacteria,0.00013310092039394453
Gammaproteobacteria,class,0.9045639540386271,Proteobacteria,2.6970849745867832e-68
Deltaproteobacteria,class,0.850089456176867,Proteobacteria,1.1748303661320986e-06
Oxalobacteraceae,family,0.361503616415459,Proteobacteria,0.2620547073310749
Comamonadaceae,family,1.0,Proteobacteria,0.25127610846150494
Burkholderiaceae,family,0.678317128255026,Proteobacteria,0.005118590815924694
Burkholderiales,order,0.541404122298931,Proteobacteria,0.011522240984694801
Betaproteobacteria,class,0.318650592477643,Proteobacteria,0.00029248473668035525
Sphingomonas,genus,3.5863398849640995e-63,Proteobacteria,0.9999999048847479
Sphingomonadaceae,family,7.84668697448145e-16,Proteobacteria,0.9999999048847479
Sphingomonadales,order,5.0755850682804374e-179,Proteobacteria,0.9999999048847479
Acetobacteraceae,family,8.048860392354407e-202,Proteobacteria,0.9999999048847479
Rhodospirillales,order,0.512243576748424,Proteobacteria,0.04424024134641893
Roseobacteraceae,family,0.5204496874831621,Proteobacteria,0.8430897350938967
Rhodobacteraceae,family,0.62895622532938,Proteobacteria,0.48883149611292026
Rhodobacterales,order,0.320773120090237,Proteobacteria,0.9999999048847479
