#source,rank,lambda,phylum,pval
Mycoplasma,genus,1.0,Tenericutes,0.9999999048847479
Mycoplasmataceae,family,1.0,Tenericutes,0.9861139122319791
Mycoplasmatales,order,1.0,Tenericutes,0.9861139122319791
Mollicutes,class,0.7326643474197679,Tenericutes,1.6127139582722114e-13
Tenericutes,phylum,0.732664347419695,Tenericutes,1.6127139582722114e-13
Spirochaetales,order,0.9329410785548431,Spirochaetes,0.0003910075642662493
Spirochaetia,class,0.960657667893751,Spirochaetes,3.9047296413354706e-21
Spirochaetes,phylum,0.960641215242352,Spirochaetes,3.9047296413354706e-21
Xanthomonadaceae,family,0.490027863712302,Proteobacteria,0.17941426904586233
Xanthomonadales,order,0.330441873114539,Proteobacteria,0.6012457632975502
Pseudomonadales,order,3.64147615561297e-19,Proteobacteria,0.9999999048847479
Halomonas,genus,0.502031532078749,Proteobacteria,0.8943431627088031
Halomonadaceae,family,0.846971820151827,Proteobacteria,0.02920262278074588
Oceanospirillales,order,0.815762803897472,Proteobacteria,0.0015333699849015838
Enterobacterales,order,2.8411070781917786e-217,Proteobacteria,0.9999999048847479
Alteromonadales,order,0.5523698328425259,Proteobacteria,0.00013310092039395046
Gammaproteobacteria,class,0.9045742541384709,Proteobacteria,2.6970847634359414e-68
Deltaproteobacteria,class,0.8500904695539899,Proteobacteria,1.1748303659079703e-06
Oxalobacteraceae,family,0.36150361641504497,Proteobacteria,0.26205470733107133
Comamonadaceae,family,1.0,Proteobacteria,0.2512761084615068
Burkholderiaceae,family,0.678317128249977,Proteobacteria,0.005118590815924336
Burkholderiales,order,0.541404122299996,Proteobacteria,0.011522240984693679
Betaproteobacteria,class,0.318650592478845,Proteobacteria,0.00029248473668035525
Sphingomonas,genus,2.002002262402439e-129,Proteobacteria,0.9999999048847479
Sphingomonadaceae,family,2.6898312664844187e-215,Proteobacteria,0.9999999048847479
Sphingomonadales,order,2.70280737918829e-16,Proteobacteria,0.9999999048847479
Acetobacteraceae,family,8.538960057590888e-94,Proteobacteria,0.9999999048847479
Rhodospirillales,order,0.512251574060393,Proteobacteria,0.044240241350991916
Roseobacteraceae,family,0.5204496874831621,Proteobacteria,0.8430897350938464
Rhodobacteraceae,family,0.628951365971042,Proteobacteria,0.48883149606972615
Rhodobacterales,order,0.32077312009674896,Proteobacteria,0.9999999048847479
Hyphomicrobiales,order,0.7609664352422869,Proteobacteria,7.249103253987139e-17
Alphaproteobacteria,class,0.7576809234837041,Proteobacteria,7.774046061496812e-34
Proteobacteria,phylum,0.8486146629419741,Proteobacteria,2.6843739747446046e-115
Eubacteriales,order,0.9428163486607191,Firmicutes,0.00527928936828962
Clostridia,class,0.512954691158965,Firmicutes,0.0893027732632506
Lactobacillaceae,family,6.126236514846318e-160,Firmicutes,0.9999999048847479
Lactobacillales,order,0.16934374794691198,Firmicutes,0.06895396797631625
Paenibacillus,genus,2.6396659668276984e-214,Firmicutes,0.9999999048847479
Paenibacillaceae,family,0.101448701781612,Firmicutes,0.5266708570692378
