ko01110	Biosynthesis of secondary metabolites
ko01120	Microbial metabolism in diverse environments
ko01200	Carbon metabolism
ko01210	2-Oxocarboxylic acid metabolism
ko01212	Fatty acid metabolism
ko01230	Biosynthesis of amino acids
ko01232	Nucleotide metabolism
ko01250	Biosynthesis of nucleotide sugars
ko01240	Biosynthesis of cofactors
ko01220	Degradation of aromatic compounds
ko00010	Glycolysis / Gluconeogenesis
ko00020	Citrate cycle (TCA cycle)
ko00030	Pentose phosphate pathway
ko00040	Pentose and glucuronate interconversions
ko00051	Fructose and mannose metabolism
ko00052	Galactose metabolism
ko00053	Ascorbate and aldarate metabolism
ko00500	Starch and sucrose metabolism
ko00520	Amino sugar and nucleotide sugar metabolism
ko00620	Pyruvate metabolism
ko00630	Glyoxylate and dicarboxylate metabolism
ko00640	Propanoate metabolism
ko00650	Butanoate metabolism
ko00660	C5-Branched dibasic acid metabolism
ko00562	Inositol phosphate metabolism
ko00190	Oxidative phosphorylation
ko00195	Photosynthesis
ko00196	Photosynthesis - antenna proteins
ko00710	Carbon fixation in photosynthetic organisms
ko00720	Carbon fixation pathways in prokaryotes
ko00680	Methane metabolism
ko00910	Nitrogen metabolism
ko00920	Sulfur metabolism
ko00061	Fatty acid biosynthesis
ko00062	Fatty acid elongation
ko00071	Fatty acid degradation
ko00073	Cutin, suberine and wax biosynthesis
ko00100	Steroid biosynthesis
ko00120	Primary bile acid biosynthesis
ko00121	Secondary bile acid biosynthesis
ko00140	Steroid hormone biosynthesis
ko00561	Glycerolipid metabolism
ko00564	Glycerophospholipid metabolism
ko00565	Ether lipid metabolism
ko00600	Sphingolipid metabolism
ko00590	Arachidonic acid metabolism
ko00591	Linoleic acid metabolism
ko00592	alpha-Linolenic acid metabolism
ko01040	Biosynthesis of unsaturated fatty acids
ko00230	Purine metabolism
ko00240	Pyrimidine metabolism
ko00250	Alanine, aspartate and glutamate metabolism
ko00260	Glycine, serine and threonine metabolism
ko00270	Cysteine and methionine metabolism
ko00280	Valine, leucine and isoleucine degradation
ko00290	Valine, leucine and isoleucine biosynthesis
ko00300	Lysine biosynthesis
ko00310	Lysine degradation
ko00220	Arginine biosynthesis
ko00330	Arginine and proline metabolism
ko00340	Histidine metabolism
ko00350	Tyrosine metabolism
ko00360	Phenylalanine metabolism
ko00380	Tryptophan metabolism
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
ko00410	beta-Alanine metabolism
ko00430	Taurine and hypotaurine metabolism
ko00440	Phosphonate and phosphinate metabolism
ko00450	Selenocompound metabolism
ko00460	Cyanoamino acid metabolism
ko00470	D-Amino acid metabolism
ko00480	Glutathione metabolism
ko00510	N-Glycan biosynthesis
ko00513	Various types of N-glycan biosynthesis
ko00512	Mucin type O-glycan biosynthesis
ko00515	Mannose type O-glycan biosynthesis
ko00514	Other types of O-glycan biosynthesis
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate
ko00531	Glycosaminoglycan degradation
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series
ko00604	Glycosphingolipid biosynthesis - ganglio series
ko00511	Other glycan degradation
ko00540	Lipopolysaccharide biosynthesis
ko00542	O-Antigen repeat unit biosynthesis
ko00541	O-Antigen nucleotide sugar biosynthesis
ko00550	Peptidoglycan biosynthesis
ko00552	Teichoic acid biosynthesis
ko00571	Lipoarabinomannan (LAM) biosynthesis
ko00572	Arabinogalactan biosynthesis - Mycobacterium
ko00543	Exopolysaccharide biosynthesis
ko00730	Thiamine metabolism
ko00740	Riboflavin metabolism
ko00750	Vitamin B6 metabolism
ko00760	Nicotinate and nicotinamide metabolism
ko00770	Pantothenate and CoA biosynthesis
ko00780	Biotin metabolism
ko00785	Lipoic acid metabolism
ko00790	Folate biosynthesis
ko00670	One carbon pool by folate
ko00830	Retinol metabolism
ko00860	Porphyrin metabolism
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis
ko00900	Terpenoid backbone biosynthesis
ko00902	Monoterpenoid biosynthesis
ko00909	Sesquiterpenoid and triterpenoid biosynthesis
ko00904	Diterpenoid biosynthesis
ko00906	Carotenoid biosynthesis
