Pathway name,ko,Number of genes,Alpha,Standard error,P-value alpha,Beta,Standard error,P-value beta,R squared adj,AIC
Biosynthesis of secondary metabolites,ko01110,2116,390988.3893989776,10529.983404095188,6.337896371340197e-209,104254.07895021193,11601.921836644342,8.371093890960615e-19,0.0553895738647886,35237.3498677123
Microbial metabolism in diverse environments,ko01120,1281,250028.81594433717,9653.818713686132,1.5335387286883968e-120,58713.71582436304,10636.564735492575,4.055681666859368e-08,0.021209718861706306,35000.88104075945
Carbon metabolism,ko01200,365,124336.31737935732,3767.799177409108,6.890347255026845e-176,25380.941190944504,4151.356167899821,1.2683863509098229e-09,0.026052849437435466,32439.85331502067
2-Oxocarboxylic acid metabolism,ko01210,82,32455.339473948785,1040.6361136570918,1.6403561434965751e-161,8820.112432077754,1146.5714985214024,2.754142865052075e-14,0.04102173927990449,28937.567831390992
Fatty acid metabolism,ko01212,84,32966.27841844252,2347.1980969261235,6.085304807413338e-42,4311.524556050837,2586.1397697043385,0.09571178835302985,0.0013067041194844142,31151.615802545926
Biosynthesis of amino acids,ko01230,238,143621.05932647706,3373.779990721466,2.5061096077727534e-252,35697.48346198537,3717.2263473048197,3.5765986554323436e-21,0.06285911307953951,32139.18858882957
Nucleotide metabolism,ko01232,123,36291.71290928556,931.5611682336145,1.4973981698665266e-223,4488.632065145097,1026.392867409099,1.3177289459068667e-05,0.013151906012220382,28636.172751903836
Biosynthesis of nucleotide sugars,ko01250,211,43339.44195082898,1198.028147050803,2.8484749535101886e-201,11128.621467093904,1319.985833479821,8.640545247647104e-17,0.04900390118519171,29320.94743287657
Biosynthesis of cofactors,ko01240,375,160194.00563169483,3621.0264571650305,1.582074480399646e-265,52194.17609632569,3989.6421781739496,6.37306320755035e-37,0.11119808747028126,32331.6986706401
Degradation of aromatic compounds,ko01220,215,10395.684605071296,1235.4757277602948,9.882217018594741e-17,2277.911196569248,1361.245528551514,0.09447828961367816,0.001321981493852209,29404.728159736747
Glycolysis / Gluconeogenesis,ko00010,106,45423.30651979379,1066.5482139549215,1.761913510853164e-252,11133.564485065719,1175.121416478708,1.1459926829873585e-20,0.06126888227672844,29004.51621521772
Citrate cycle (TCA cycle),ko00020,67,26744.65063601896,1077.5246193597136,1.8369378645389612e-112,1533.4418142267918,1187.2152054873586,0.1967052152323376,0.0004911600876913447,29032.386571176114
Pentose phosphate pathway,ko00030,88,29324.341083417603,898.7251435812125,6.166338627849503e-173,7500.801518675626,990.214178723309,6.610882265412144e-14,0.039805390342557034,28538.49486452842
Pentose and glucuronate interconversions,ko00040,89,12988.240727150063,1092.1017772953182,4.236219694817766e-31,1803.680839803151,1203.2762988888478,0.13411241858859527,0.000916017074973241,29068.963947847693
Fructose and mannose metabolism,ko00051,112,20038.43211039571,970.2061387729269,1.2130479662087976e-82,3864.8250770384943,1068.9718450171888,0.0003107754793723657,0.008798048378763412,28746.81309339894
Galactose metabolism,ko00052,78,18390.790329464897,1293.8340892998147,7.487770834784279e-43,3991.6344822653377,1425.544694382376,0.005181363272249577,0.005004556035293373,29530.35899906957
Ascorbate and aldarate metabolism,ko00053,62,6809.422155494655,572.142640819367,3.853324130324609e-31,1417.0880068084407,630.3860075995965,0.024737965298402994,0.002971557663472457,27309.26982525717
Starch and sucrose metabolism,ko00500,106,44345.9722923957,2081.172659636108,3.7161770729319266e-87,17497.360279397726,2293.033293506326,4.373140750967938e-14,0.040379552008340425,30824.184233784104
Amino sugar and nucleotide sugar metabolism,ko00520,156,48157.13619710825,1750.9763934369728,9.422749648636273e-133,12039.374525141237,1929.223482590166,5.815029477153813e-10,0.02714285633239233,30353.93711547274
Pyruvate metabolism,ko00620,133,56441.96422463261,1937.009183697924,2.0363788023354752e-145,12785.293530647732,2134.194165717835,2.671578520942621e-09,0.02501157506764995,30628.781685891263
Glyoxylate and dicarboxylate metabolism,ko00630,104,44734.72989920844,2186.252973088395,2.4788887954319785e-81,9628.022045663705,2408.8106443774955,6.759462983872046e-05,0.010891847035175872,30958.263403922654
Propanoate metabolism,ko00640,97,27878.46729153041,1367.6352723394755,8.332350520351197e-81,2719.495828577879,1506.8587405892324,0.07133587374057943,0.0016568859351230314,29681.357042354397
Butanoate metabolism,ko00650,114,31320.507784343215,2085.0573488633845,2.665886219474236e-47,3648.0516332743987,2297.3134389771144,0.11252703455645152,0.0011175955301930829,30829.260346778105
C5-Branched dibasic acid metabolism,ko00660,29,10282.598102098007,445.62583556691766,1.1294271051929754e-99,2327.463374315542,490.98995831522456,2.3577586157513665e-06,0.015542058262433489,26629.018436019178
Inositol phosphate metabolism,ko00562,76,6410.296014173691,551.7133039492701,8.049571429705031e-30,1071.3340235805917,607.8769911609606,0.0782232775741375,0.0015462239498599262,27210.29845536551
Oxidative phosphorylation,ko00190,223,45986.41470833497,1584.89059566887,1.8582851697552308e-144,13184.207294192169,1746.230369501986,7.940468556007398e-14,0.03955070370192715,30082.66751870029
Photosynthesis,ko00195,63,17691.622891796185,602.2794488240115,2.944774253001e-147,12005.45861699523,663.5907029403189,1.0206631496378581e-65,0.1935044990795649,27448.99881185786
Photosynthesis - antenna proteins,ko00196,42,7724.395319631058,403.187040743717,1.3075356387911772e-72,7871.066609108158,444.23095011121603,2.314936426565161e-63,0.18706092349552073,26356.60315036138
Carbon fixation in photosynthetic organisms,ko00710,36,20926.905597240224,564.6237085597431,2.201414184021813e-208,5405.628490606905,622.1016579455169,1.029992459729344e-17,0.05193708248329976,27273.260961880096
Carbon fixation pathways in prokaryotes,ko00720,117,39506.34443091316,1411.1108995752668,1.4864736299048868e-136,6753.581494694085,1554.7601293789403,1.5043622797898797e-05,0.012968347001199643,29766.53957263372
Methane metabolism,ko00680,195,41753.47118991954,1982.371117671527,1.878275341039888e-85,14763.117590811124,2184.173884785206,2.054352915775928e-11,0.03181199047086636,30691.792003065213
Nitrogen metabolism,ko00910,68,29729.122057531597,1226.8745351576285,4.159178429024983e-108,10761.483721584835,1351.7687458778348,3.573361891030203e-15,0.04385482334629398,29385.711741283983
Sulfur metabolism,ko00920,109,22343.675452312276,1196.1374321242984,1.7253357423886222e-69,6411.649816185285,1317.9026462656655,1.277866380150304e-06,0.016394831878679184,29316.64820884244
Fatty acid biosynthesis,ko00061,39,21056.964599428837,1086.342094167443,4.299564091357278e-74,6260.61458262805,1196.930287609527,1.955047162042762e-07,0.019012934646445045,29054.57028436037
Fatty acid elongation,ko00062,24,39.617900349084934,17.351824378701387,0.022571658908270446,13.585414381587835,19.118217231622662,0.47745377091447627,-0.00036413766182863405,17793.999794355474
Fatty acid degradation,ko00071,59,18466.241131747975,1916.6222646124613,2.684496879945717e-21,-729.095789351418,2111.7318851384043,0.7299526164205334,-0.0006480636713901422,30599.980949646804
"Cutin, suberine and wax biosynthesis",ko00073,14,75.57259436866163,35.40972328104877,0.03300227426624317,19.30465027781161,39.01438644282782,0.6208152818927,-0.0005555765395963697,19735.571905250607
Steroid biosynthesis,ko00100,34,338.03089629982577,86.2474178123647,9.322131815311862e-05,74.04453757398562,95.027291275911,0.43600208175932265,-0.0002889505972287765,22158.787943216987
Primary bile acid biosynthesis,ko00120,18,220.50541561972156,89.79434399008271,0.014186624043027684,-154.630675421322,98.93528986385064,0.11829773523737361,0.0010597619264586244,22268.489638116047
Secondary bile acid biosynthesis,ko00121,15,236.60630015814763,49.724032275018544,2.1597008143390423e-06,46.085507586417044,54.78587322684547,0.4003876584096614,-0.00021504174079156613,20659.69610871093
Steroid hormone biosynthesis,ko00140,47,118.95969790042233,65.21532015503952,0.06835545973965244,-110.51065619230289,71.85415379631546,0.1242849115989624,0.0010029635002818393,21397.918976869645
Glycerolipid metabolism,ko00561,91,14933.080311344274,860.3069788258177,4.084679845556807e-61,2760.150130851048,947.8850954290211,0.003650970378731469,0.005469321462106658,28419.576198431172
Glycerophospholipid metabolism,ko00564,115,17301.451541915652,750.6065052766321,1.697861203872364e-99,2301.2698459733947,827.017258252227,0.0054669060901491595,0.004933583904562111,28048.274373032964
Ether lipid metabolism,ko00565,31,627.1729984180042,214.0121127150935,0.003440169518558477,-563.3247789245693,235.79826373230517,0.017029502207101258,0.003449366755684302,24632.575562327962
Sphingolipid metabolism,ko00600,51,6968.5794835681845,1260.2634020642895,3.8472040214602224e-08,239.19783136252124,1388.556555430749,0.8632559030046508,-0.000713983844651267,29458.799731051422
Arachidonic acid metabolism,ko00590,51,432.2651389220884,96.32221681003396,7.807935818920845e-06,-36.47395461697063,106.12769153346537,0.7311401904040977,-0.0006488649622993226,22459.51145265544
Linoleic acid metabolism,ko00591,25,240.81846647111342,82.56112791612837,0.0035939261283432014,-194.96852160288955,90.96574192658221,0.032264656276289876,0.0026355447393002773,22039.887843005643
alpha-Linolenic acid metabolism,ko00592,26,1220.865896420359,182.71136352690746,3.430526158932369e-11,-339.56697998812314,201.3111395295726,0.09187576336051782,0.0013549383514599445,24202.15943290241
Biosynthesis of unsaturated fatty acids,ko01040,32,1776.6762121658228,265.3819728609585,3.1509898110529905e-11,-183.33238977386557,292.39750793813107,0.530766451507533,-0.0004464305609599428,25218.180055867346
Purine metabolism,ko00230,220,62501.10144498865,1693.9929411937796,4.856742254820725e-207,13270.089390477151,1866.4391900099356,1.871532548086428e-12,0.03515297118169525,30263.879358467628
