Pathway name,ko,Number of genes,Alpha,Standard error,P-value alpha,Beta,Standard error,P-value beta,R squared adj,AIC
Biosynthesis of secondary metabolites,ko01110,2116,332.499815160198,8.435547224385376,3.2287455637632374e-227,84.85956095742827,9.29427481420146,2.4032859436979304e-19,0.05710247310296113,15830.776176772613
Microbial metabolism in diverse environments,ko01120,1281,206.40849134759532,8.056213843980316,1.9137715806855008e-118,47.867256479436485,8.876325795613454,8.176789933183339e-08,0.02023014738563733,15705.53453530669
Carbon metabolism,ko01200,365,100.85439954387179,2.8272757996630644,3.08015990331166e-197,21.83502393592972,3.115088749861669,3.757289256045288e-12,0.03418161386521734,12855.246493844752
2-Oxocarboxylic acid metabolism,ko01210,82,25.87243719689718,0.8112405690838245,4.347251731164778e-167,6.911703183744569,0.8938237898423496,2.037425883044358e-14,0.04144023200251479,9456.817872860502
Fatty acid metabolism,ko01212,84,27.8231380612297,1.9051240469527362,5.573767182669087e-45,2.499979405477384,2.099063164074991,0.23386246095815963,0.0003076079416033384,11780.692053313149
Biosynthesis of amino acids,ko01230,238,123.97238881037691,2.7660032324700783,4.313820873886398e-270,30.104513965786467,3.047578716082594,2.852189473525734e-22,0.06630493326805897,12795.606844524857
Nucleotide metabolism,ko01232,123,35.82681426999737,0.7941943789049697,2.2423816047517064e-272,3.5246976348826986,0.8750423199693074,5.935825304914236e-05,0.011070940218250613,9399.012387176454
Biosynthesis of nucleotide sugars,ko01250,211,38.34609469241269,1.1241052467191723,9.158341232136942e-185,9.272781614037726,1.2385376793210896,1.2630174016734392e-13,0.038905498082448364,10344.674441005347
Biosynthesis of cofactors,ko01240,375,154.89025350166958,3.5082422377760576,8.032625021245744e-265,46.10685764217902,3.8653766738950996,2.8878812067226454e-31,0.09410706421015247,13442.6581550686
Degradation of aromatic compounds,ko01220,215,11.458475361622567,1.3003800747967351,3.690857583552911e-18,2.4703734021635055,1.4327570525756037,0.08489742363072356,0.0014485593631778926,10741.186014310439
Glycolysis / Gluconeogenesis,ko00010,106,33.42050881785835,0.7470745553039377,2.0042774943284267e-269,7.886042775939472,0.8231257604272445,4.393311959588069e-21,0.06257840060396203,9232.526008317167
Citrate cycle (TCA cycle),ko00020,67,18.90577702135399,0.7185842739249545,1.211219831198674e-123,1.2458950969613067,0.7917352059526366,0.11580670143303906,0.0010843367280547467,9126.68921429765
Pentose phosphate pathway,ko00030,88,26.289809018752656,0.8356859080663519,1.180424380428822e-163,6.227477578326346,0.9207576321155727,1.996242645229402e-11,0.031852034498072945,9537.629130531082
Pentose and glucuronate interconversions,ko00040,89,11.213831447446506,0.8688842666363584,4.9547873300834346e-36,1.61256383736738,0.9573355398342416,0.09232839168207972,0.0013491342729468059,9643.670362248215
Fructose and mannose metabolism,ko00051,112,17.764281591718948,0.871268841097972,7.760030587781185e-81,2.921686158420196,0.9599628608332984,0.0023830018886512607,0.006039145916868716,9651.130413571813
Galactose metabolism,ko00052,78,14.387785252462933,0.804771817208585,2.2931847553727348e-64,3.679395711586402,0.8866965275516999,3.538124443623275e-05,0.011785047453695574,9435.025915323084
Ascorbate and aldarate metabolism,ko00053,62,5.9925884748958325,0.514320049636427,5.687641878313051e-30,1.2359585338189798,0.5666771528414959,0.029349711625123794,0.0027549155940786996,8216.351009524993
Starch and sucrose metabolism,ko00500,106,26.707096883240972,1.202014923879908,1.4995154103117216e-93,10.540949979295696,1.3243784589357581,3.625377584042288e-15,0.04383479427593939,10527.080748288125
Amino sugar and nucleotide sugar metabolism,ko00520,156,39.058769892207636,1.2793747789758636,2.56193545475787e-156,10.090332590885573,1.4096134453240892,1.333426526113869e-12,0.03562528500571327,10696.858020313182
Pyruvate metabolism,ko00620,133,39.82543824849279,1.348371366320704,1.6089903564749633e-148,8.760748060229638,1.4856337943266076,4.665269291384768e-09,0.02423228412672085,10839.833694805102
Glyoxylate and dicarboxylate metabolism,ko00630,104,34.48768394958597,1.696883021369416,2.138987081102758e-80,7.104865257194186,1.8696234765384714,0.00015099697026288016,0.00978651537221542,11465.60947015089
Propanoate metabolism,ko00640,97,22.127741037798845,1.0715523519055536,1.2841557181743429e-82,2.2547559858741066,1.1806349690775129,0.056371572598861754,0.0019427398435325482,10214.347831042365
Butanoate metabolism,ko00650,114,25.305312471734247,1.6821709957123536,2.0095149668640248e-47,1.8637161206375668,1.853413786059229,0.3148069650693759,8.197022791422981e-06,11441.906749400185
C5-Branched dibasic acid metabolism,ko00660,29,9.512918995485823,0.4155264393234194,2.266002486680337e-98,1.9866085826655322,0.4578264832036264,1.5356989034034663e-05,0.012939783544615668,7635.749793596964
Inositol phosphate metabolism,ko00562,76,5.699681831416305,0.45447403720712465,3.213097643313161e-34,0.7079651446205852,0.5007388952209206,0.1576376413573811,0.00073398012120518,7879.626140489003
Oxidative phosphorylation,ko00190,223,45.27568172967297,1.583837049378615,4.061009029084309e-141,12.727773220787,1.745069573587904,5.110117972711546e-13,0.03696090745219638,11277.947614856092
Photosynthesis,ko00195,63,27.44340299968263,0.9881846886795496,8.095486663543208e-135,20.866184583119747,1.0887805876094825,1.1871304377304207e-72,0.21218190442766505,9993.881999446901
Photosynthesis - antenna proteins,ko00196,42,8.374864295285025,0.4069227232190066,3.816852313599472e-82,8.607098477752988,0.4483469201390487,7.239273167134917e-73,0.21275360028630486,7578.797532832
Carbon fixation in photosynthetic organisms,ko00710,36,16.675306225704915,0.42077975811188906,6.408887694933799e-229,3.922003419813215,0.4636145829211527,6.838557081744774e-17,0.04932678335383789,7669.947129138196
Carbon fixation pathways in prokaryotes,ko00720,117,29.11029801843413,1.0710239410797306,2.83704137425353e-130,4.154303417534955,1.1800527667260399,0.0004450722885169465,0.008307964616112051,10213.005209730105
Methane metabolism,ko00680,195,34.14296221383602,1.8445209741939066,2.1400789528997173e-68,12.132707661325995,2.03229077838111,3.0241349089654747e-09,0.024838299793278784,11692.696560828623
