taxid	length	width	volume	surface	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas
txid1236	1.8850282492956325	0.6221823527632975	0.5011858499771331	3.6845582310781526	Gammaproteobacteria	Proteobacteria	Bacteria	class	N1641	3509726.6539674	47.89480909912587	3277.3512646975814	88.45642802492299	2.8663226126393826
txid1760	1.3030073422253787	0.5855664420571712	0.28944252525447584	2.3970269428601245	Actinomycetia	Actinobacteria	Bacteria	class	N1804	4765607.054657121	66.16742479859383	4372.961727828898	90.20391420731661	2.456677323846364
txid28211	1.7235722334785952	0.6408720716957123	0.4774529788768239	3.4701696552046406	Alphaproteobacteria	Proteobacteria	Bacteria	class	N970	3821618.483180041	56.85602438552207	3649.492138607246	88.36974614869844	2.2513771290830906
txid29547	1.8649384418857948	0.4601550959878978	0.2809764738393064	2.6959920661778645	Epsilonproteobacteria	Proteobacteria	Bacteria	class	N1154	2025569.3796292208	37.61053831187819	2081.4069019482417	93.02421634758106	2.2887201300599997
txid32061	2.519881573914738	0.648074069840786	0.7318136894710898	5.130440423018476	Chloroflexia	Chloroflexi	Bacteria	class	N1532	5497590.9983541975	57.60085419657499	4921.498354196576	87.30838464705067	2.4983541965750002
txid67799	1.4217842556092035	0.5240921009721671	0.2660863837585448	2.340944877914135	Thermodesulfobacteria	Thermodesulfobacteria	Bacteria	class	N3841	1946657.327898609	39.33880769955454	1914.509716790464	93.41141094574708	1.5097167904636364
txid68337	2.308667154536208	0.4045391320890647	0.2781350157885499	2.9340785426920477	Deferribacteres	Deferribacteres	Bacteria	class	N964	2666200.006175273	38.981889559414284	2498.577603845129	91.60239981940619	2.1490324165571426
txid84992	1.1025456661427564	0.4752649522728906	0.1652950661644268	1.6461986766426209	Acidimicrobiia	Actinobacteria	Bacteria	class	N1550	2507463.428289401	55.37543225823809	2497.333051305857	91.17872862400662	1.1425751153809525
txid84998	1.425229673736672	0.4973084028370402	0.2429571487938033	2.2266939340762244	Coriobacteriia	Actinobacteria	Bacteria	class	N923	2063385.3504112568	57.118536256753124	1790.787911256753	88.53578727323557	2.037911256753125
txid117743	2.1880048981985842	0.4679294223746627	0.3433743307672529	3.2164626755445487	Flavobacteriia	Bacteroidetes	Bacteria	class	N4526	3616635.281415931	36.74949153199484	3244.783134143678	90.47009688862266	2.113031050895189
