taxid	length	width	volume	surface	family	order	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
txid31	4.242640687119285	0.648074069840786	1.3282486597321002	8.637951682675443	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	family	N3818	9610191.0	69.545	7716.5	90.78486056636984	3.0	-0.2854667105395785	0.10979590951926
txid39	7.869506442680768	0.8467731452101834	4.263051656240985	20.934589250781272	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	family	N3817	10723469.5	67.715	8596.5	91.2716025700046	1.5	-0.2482279799359085	0.08972974621232616
txid49	4.450366701536198	1.0738057663070295	3.7007919033894976	15.013135418392544	Polyangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	family	N2790	11577721.0	68.71	9664.0	87.56475572772352	3.0	-0.136401902632581	0.0703616975436278
txid126	1.3587578145006554	1.2339288839360183	1.1218018685938518	5.267227272413621	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	family	N2737	6317004.0	55.66	5066.0	85.85617485757489	2.0	-0.215807653011797	0.0927114737337082
txid137	21.112287818337236	0.28666138562258914	1.3540949686655377	19.01316277739805	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	family	N769	3445611.5	56.625	2933.0	92.79106131371033	2.0	-0.11467652270312051	0.0478183767558875
txid170	9.011631050735595	0.11607023265101213	0.09489156796879246	3.2860497208057797	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	family	N328	4395904.0	40.2	3982.0	83.4372947128101	1.0	-0.19122140617762398	0.0903319036339301
txid403	2.124076826380524	1.2659670602152426	2.1192686297791163	8.447778131564696	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria	family	N6242	4848329.0	51.29	4422.0	86.94865287135293	3.0	-0.334706927088625	0.165267669955897
txid433	1.5386867856556643	0.7564391033842136	0.5586646174821275	3.656571482855121	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N4940	3505604.0	59.34	3351.0	89.68015674917137	1.0	-0.39644752703891906	0.143390456712581
txid444	1.4182181902032591	0.6245847735921135	0.3671700895305783	2.7828148784573536	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria	family	N4625	3436178.0	38.28	3077.0	88.60901457973387	1.0	-0.152873906371018	0.068148969750527
txid468	1.3527882119521102	0.8124284745468521	0.5485370486899579	3.4527474989785056	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	family	N4626	2514722.5	41.585	2278.5	86.32402890347464	1.0	-0.49056501258586954	0.2140834578667855
txid481	1.0488957405092545	0.7298835718675298	0.3248989466393929	2.4051146471696287	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	family	N3861	2339227.5	50.795	2214.0	84.94285086926268	1.0	-0.6949462003282645	0.276270354374335
txid506	1.3842958855392926	0.6555501946023607	0.3848058940031962	2.8509181666715766	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	family	N4238	3920893.5	56.87	3566.5	90.19077055144558	3.0	-0.4726660237201	0.19304481652217198
txid641	1.96630363211104	0.7461329248919657	0.7420098741821771	4.609105604108051	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	family	N6722	4715710.0	45.205	4361.5	86.80906611029903	1.0	-0.8570245078017515	0.297795325907512
txid712	0.9306048591020996	0.3256777812163153	0.06835791104850766	0.952145499893453	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	family	N7149	2277540.0	39.91	2161.0	88.94097854273498	1.0	-0.627519828406875	0.242032716745667
txid772	1.2728803992068294	0.5121069099588174	0.22667973138521635	2.0478498352658128	Bartonellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N9990	1810183.0	38.21	1598.0	81.53943783515949	2.0	-0.18189582992547698	0.0804340970471012
txid775	1.1762057847982872	0.37837050802802574	0.11710844765453393	1.3981393593369753	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N3495	1437566.0	31.62	1516.0	78.52038081003363	1.0	-0.0699461096778424	0.0343914283410447
txid809	0.5477225575051662	0.5477225575051662	0.08603605814318219	0.9424777960769384	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria	family	N1867	1171629.0	39.08	1003.0	90.59595238950679	1.0	-0.0619114716022424	0.0290173242581921
txid815	2.2021439736613817	0.7963357445659011	0.9492300974812178	5.5092412677826825	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	family	N7799	4421924.0	42.7	3687.0	90.11660981907025	1.0	-0.519864024742383	0.20102579558119896
txid972	6.499999999999999	0.65	2.085003049355901	13.273228961416875	Halanaerobiaceae	Halanaerobiales	Clostridia	Firmicutes	Bacteria	family	N585	2595631.5	34.22	2422.5	89.79139203813807	1.5	-0.10698753197782729	0.0571238511843446
txid1106	5.2915026221291805	0.6	1.4395884510072787	9.9742474584793	Chloroflexaceae	Chloroflexales	Chloroflexia	Chloroflexi	Bacteria	family	N2056	4830626.0	56.555	4030.0	85.7758194730862	3.0	-0.11749635492708951	0.0506027909369767
txid1268	1.1400030942179535	0.7672793558556912	0.39238080712789497	2.747953732420356	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	family	N4012	3603936.5	64.47999999999999	3399.0	89.57970183598096	1.0	-0.508548584657327	0.167077808864732
txid1300	0.7575389960501921	0.7169027770887086	0.2075757853793445	1.7061418246613995	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	family	N4488	2086959.0	38.98	1998.0	87.31993050789117	1.0	-0.861382281831567	0.299878979533519
txid1653	1.5549453302492533	0.6325920013967795	0.4152673638932217	3.09021497986713	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	family	N4707	2374587.0	55.269999999999996	2218.5	89.0181343808822	4.0	-0.8095607536521319	0.2525844143235105
txid1762	1.7749404838671636	0.5842495826945138	0.4116294619914014	3.257857459093259	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	family	N4708	5938797.0	66.92	5597.0	92.30033700022008	1.0	-0.21465622835842102	0.0789884909028585
txid2004	1.440405636023682	0.7756451401163524	0.5497603057267776	3.5099243846070207	Streptosporangiaceae	Streptosporangiales	Actinomycetia	Actinobacteria	Bacteria	family	N4360	8675987.5	71.36	7990.0	88.54954072272113	1.0	-0.35880157989205896	0.139109218715919
txid2012	1.374327325239069	0.7305506138422769	0.4587743643029618	3.1542082563339005	Thermomonosporaceae	Streptosporangiales	Actinomycetia	Actinobacteria	Bacteria	family	N4359	6710579.0	72.64	6264.0	89.77034207758963	0.0	-0.23047524046726603	0.0791762393396312
txid2049	1.6488710746644857	0.5900673517652735	0.3886702603904871	3.0565968279975437	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	family	N4377	2225110.0	56.57	1933.0	89.62339779677353	1.0	-0.378394046278075	0.127202937760315
txid2062	0.8801576558777033	0.6261839017961628	0.20511291366220655	1.7314591191648965	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Bacteria	family	N4362	8384669.0	72.01	7459.0	87.44223653977043	1.0	-0.471752073883681	0.17667399032552897
txid2092	0.4930099783374665	0.17592971133661725	0.010422296716391563	0.27248636294287765	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	family	N3035	1260528.5	28.13	2157.0	69.3182582758846	1.0	-0.1282521456372355	0.0575193925043883
txid2131	3.4331180826118346	0.14499813255852173	0.05517313920575116	1.5638713481370905	Spiroplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria	family	N3740	1175131.0	25.01	2111.0	69.44053906956971	1.0	-0.131422572240413	0.0718506860963892
txid2146	3.1622776601683795	0.3	0.2164596525098353	2.9803764797388297	Acholeplasmataceae	Acholeplasmatales	Mollicutes	Tenericutes	Bacteria	family	N4451	788531.0	27.595	760.5	81.18144771412537	2.0	-0.07396576504618815	0.0389672036183654
txid2159	2.819877638344209	0.487288235015331	0.4773762371736788	4.316841094136027	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	family	N253	2140433.0	33.24	2022.0	84.27565824298169	2.0	-0.25138401459695203	0.11706227064089501
