taxid	length	width	volume	surface	family	order	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas
txid1890422	1.095445115010332	1.095445115010332	0.6882884651454569	3.7699111843077513	Gloeobacteraceae	Gloeobacterales	Gloeobacteria	Cyanobacteria	Bacteria	family	N316	4691905.063253323	61.33325332255	4498.06325332255	89.70506236812145	1.06325332255
txid1890428	2.934197480175152	2.934197480175152	13.227161058410429	27.047588612108388	Merismopediaceae	Synechococcales		Cyanobacteria	Bacteria	family	N5451	3685716.768068356	47.63931835615	3429.7680683561503	87.13942949874419	2.0180683561499997
txid1890431	4.541589259952082	4.541589259952082	49.048099583628435	64.79859376470243	Chamaesiphonaceae	Synechococcales		Cyanobacteria	Bacteria	family	G000317145	6761765.0	45.67	6357.0	83.00891852940762	3.0
txid1890438	1.6981006867588608	1.6981006867588608	2.563828288917553	9.058926748841124	Leptolyngbyaceae	Pseudanabaenales		Cyanobacteria	Bacteria	family	N2346	6146157.812902652	49.15290265138889	5819.590680429167	86.47524979430264	1.8129026513888888
txid1890448	2.0	2.0	4.188790204786391	12.56637061435917	Spirulinaceae	Spirulinales		Cyanobacteria	Bacteria	family	N3278	5335262.77925952	49.239259519533334	4636.779259519534	84.93520599997123	1.7792595195333334
txid1890449	3.2403703492039297	3.2403703492039297	17.814866446946194	32.98672286269284	Microcystaceae	Chroococcales		Cyanobacteria	Bacteria	family	N6752	4940383.776765941	42.69248022685714	4826.633908798286	81.56626147476065	1.3481945125714287
txid1890464	6.572595735891493	6.572595735891493	148.66522225923984	135.71370724727078	Chroococcaceae	Chroococcales		Cyanobacteria	Bacteria	family	N5450	4288816.727197257	34.25053059066667	3847.0605305906665	83.54650078797727	2.393863924
txid1890498	22.304846489491702	22.304846489491702	5810.270319074417	1562.9617505267565	Dermocarpellaceae	Pleurocapsales		Cyanobacteria	Bacteria	family	G000317575	5544990.0	36.22	4986.0	83.81831166512472	2.0
txid1890499	16.622345273697967	16.622345273697967	2404.780931553495	868.0294718791517	Xenococcaceae	Pleurocapsales		Cyanobacteria	Bacteria	family	G000332055	5929641.0	39.68	5361.0	86.24307947142162	1.0
txid1890500	6.079629891596003	6.079629891596003	117.66032595188442	116.11923230510645	Hyellaceae	Pleurocapsales		Cyanobacteria	Bacteria	family	N5047	7228428.080844431	39.50084443120001	6573.080844431201	84.45703827775593	2.5808444312
txid1890528	5.146551493923857	5.146551493923857	71.37524134131945	83.21134036131201	Chroococcidiopsidaceae	Chroococcidiopsidales		Cyanobacteria	Bacteria	family	N4682	5551326.897357958	43.093357958860004	5139.89735795886	85.07107041674139	1.8973579588600002
txid1892251	2.983949608197233	2.983949608197233	13.911471690229346	27.972600446092702	Coleofasciculaceae	Oscillatoriales		Cyanobacteria	Bacteria	family	N2347	5406540.143840928	50.581340927424996	4613.143840927425	84.14465597348722	0.643840927425
txid1892252	6.616638985608321	6.616638985608321	151.67393032435862	137.5386482359945	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria	family	N3620	10100908.465403106	42.450903105505	5536.465403105505	82.33055608556009	1.9154031055049998
txid1892259	6.6537122903201436	6.6537122903201436	154.2377481012616	139.08423572114538	Aphanizomenonaceae	Nostocales		Cyanobacteria	Bacteria	family	N6336	4491831.157197903	39.428626474757145	4246.228626474757	83.38693734163034	2.3000550461857143
txid1892263	6.324555320336758	6.324555320336758	132.4611768772814	125.66370614359177	Hapalosiphonaceae	Nostocales		Cyanobacteria	Bacteria	family	N6332	7041260.761226456	41.30922645583	6035.46122645583	80.75545498701885	1.8612264558300002
txid2815910	1.9339079605813718	1.9339079605813718	3.7870934826479834	11.749556524425829	Geminocystaceae	Chroococcales		Cyanobacteria	Bacteria	family	N5449	3286815.0236547505	38.21865475035	3086.52365475035	86.0257451229717	2.02365475035
txid2881426	0.9888299771583008	0.9888299771583008	0.5062482023520575	3.0718013048527117	Prochlorococcaceae	Synechococcales		Cyanobacteria	Bacteria	family	N733	1909937.5424493116	43.81152825940921	2147.7529756278295	89.61787011181866	1.4240282594092106
