taxid	length	width	volume	surface	genus	family	order	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas
txid6	2.75	1.0	1.8980455615438327	8.639379797371927	Azorhizobium	Xanthobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N9369	5593643.032412714	68.14741271415	5075.53241271415	88.8198942593911	2.53241271415
txid10	2.006220914929266	0.6467843638084008	0.5882760570009087	4.076506493965471	Cellvibrio	Cellvibrionaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N8629	4612639.0635940395	49.083594038975	3904.3135940389748	90.17329434766913	2.313594038975
txid13	10.000000000000002	0.4898979485566356	1.854174396229992	15.39059796194237	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria	genus	N35	1907773.5379617135	33.88796171345	1854.03796171345	94.03622170751666	2.0379617134499997
txid16	1.5032912570449788	0.2840133325699614	0.08864264715032245	1.3413179366037948	Methylophilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria	genus	N5764	2944527.3698656596	49.4065323263	2757.703198992967	90.42335113728058	1.7031989929666669
txid20	1.3922079515121712	0.5308715925393103	0.264522656190687	2.3218997726586905	Phenylobacterium	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N7043	4407837.427599423	68.92093275629999	4260.0942660896335	91.15830781835739	1.0942660896333332
txid22	2.1229972082093256	0.6643427515784072	0.6524794822591237	4.430895388780677	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N6292	4946848.798004182	45.68508751522501	4299.131337515225	85.76128096029679	5.339670848558332
txid42	4.7	0.8	2.2284363889463603	11.812388377497625	Cystobacter	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	genus	G000335475	12282374.0	68.62	10038.0	90.16672184058227	1.0
txid53	2.5495097567963922	1.284523257866513	2.74905324874709	10.288416165848043	Nannocystis	Nannocystaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	genus	G900112715	11612870.0	72.2	9208.0	85.53614222840693	1.0
txid64	1.2	0.7	0.3720169300625912	2.638937829015426	Herpetosiphon	Herpetosiphonaceae	Herpetosiphonales	Chloroflexia	Chloroflexi	Bacteria	genus	N2054	6462921.015532879	50.84053287895	5531.01553287895	88.46191696208001	2.51553287895
txid68	2.0844753555825477	0.4938696795950441	0.3624181732126425	3.234141384446078	Lysobacter	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N7078	3970705.1273669503	67.73153361725	3470.127366950584	88.9388835646198	1.54403361725
txid75	1.9287301521985911	0.8470511463814236	0.9262794720669792	5.1325238624128815	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N7044	5085080.811871781	68.22687178165	4606.811871781651	89.52448402915064	2.0618717816500003
txid81	1.75	0.65	0.508807110187647	3.573561643458389	Hyphomicrobium	Hyphomicrobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N7443	4162087.328777363	61.55477736326001	3957.7287773632597	87.49258851761617	1.12877736326
txid99	1.125138085954425	0.5119317722322865	0.19574372082760488	1.809538312662131	Ancylobacter	Xanthobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	G900100155	4505084.0	67.85	4154.0	89.56767509773401	1.0
txid101	4.048658389661706	0.5474176738710271	0.9029441144003648	6.962734285567692	Flectobacillus	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	genus	G000427405	6221030.0	37.77	4969.0	85.87452560106607	2.0
txid105	6.766413615976419	1.0235546239926343	5.284724678597215	21.75802337625311	Runella	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	genus	N8819	7358776.387471859	44.33080519353333	6230.054138526866	90.25567371665393	1.3874718602
txid107	3.4329382923008764	0.9310953341146008	2.110495582617796	10.041764220980276	Spirosoma	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	genus	N9309	7857022.348662764	49.4843770495	6767.920091335215	88.47474420136156	1.6343770494999998
txid133	1.7735996572958743	0.8347144322764583	0.8158870792543947	4.6509684282022015	Methylocystis	Methylocystaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N9135	4371332.061613679	62.9516136794	4278.728280346067	86.7818971279044	1.3949470127333334
txid138	17.999999999999996	0.24	0.8106817010735391	13.571680263507902	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N596	1352503.3413117246	29.21964505808889	1364.896867280311	88.10982677904337	1.0635339469777776
txid146	11.465313506452404	0.2822664293680145	0.7113796092432624	10.167051811839046	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N949	2516433.5107800607	61.41078006075	2270.51078006075	94.2369379120047	2.01078006075
txid157	8.202725590249424	0.29257867054686393	0.5437535773563212	7.539641878010035	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N952	2788633.022742514	48.027117514112504	2584.428992514113	90.20131513827218	1.7414925141125
txid171	11.011963829446492	0.15874010519681994	0.21683620814582605	5.491630554322784	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	genus	N593	4343921.018249008	39.092832340279166	3991.226582340279	83.38334028098937	1.3515823402791665
txid187	7.020683727387241	0.99498743710662	5.201009553348113	21.945570690241752	Aquaspirillum	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	genus	G000420525	2612795.0	49.77	2484.0	91.44724327779257	0.0
txid191	2.8843630163047083	1.1368189533329636	2.531083259941119	10.301277740819364	Azospirillum	Azospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N8204	6888940.589567559	68.80706755934999	6124.33956755935	88.84547902962538	7.089567559350001
txid194	1.721919174586608	0.3780695857156253	0.1780339135593535	2.0451933704498986	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	genus	N2178	1736381.657732327	33.64677994635714	1791.2767799463572	92.57635800404829	2.5624942320714283
txid209	4.05118519672993	0.6653782476331052	1.3229639473891377	8.468384502141808	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	genus	N1621	1875328.3604681753	39.55046817525312	1848.1104681752531	91.61932343204018	2.110468175253125
txid222	1.4784020999978331	0.7516678957692213	0.5310347627860517	3.491149486210204	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	genus	N7851	6756717.52329519	67.52829519055	6175.52329519055	90.46950819170536	2.02329519055
