taxid	length	width	volume	surface	genus	family	order	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas
txid1125	3.2403703492039297	3.2403703492039297	17.814866446946194	32.98672286269284	Microcystis	Microcystaceae	Chroococcales		Cyanobacteria	Bacteria	genus	N6752	4940383.776765941	42.69248022685714	4826.633908798286	81.56626147476065	1.3481945125714287
txid1142	2.934197480175152	2.934197480175152	13.227161058410429	27.047588612108388	Synechocystis	Merismopediaceae	Synechococcales		Cyanobacteria	Bacteria	genus	N5451	3685716.768068356	47.63931835615	3429.7680683561503	87.13942949874419	2.0180683561499997
txid1152	1.9617803881404023	1.9617803881404023	3.953209115242667	12.090677853059685	Pseudanabaena	Pseudanabaenaceae	Pseudanabaenales		Cyanobacteria	Bacteria	genus	N911	4756803.312002499	44.39533583206667	4371.145335832066	83.92458678660496	1.4786691653999997
txid1154	2.0	2.0	4.188790204786391	12.56637061435917	Spirulina	Spirulinaceae	Spirulinales		Cyanobacteria	Bacteria	genus	N3616	5186876.587768758	50.52276875725	4509.58776875725	85.38499064133444	1.58776875725
txid1158	6.3204804932353245	6.3204804932353245	132.20531286017334	125.50183138924628	Oscillatoria	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria	genus	N3619	7821793.780370597	48.50370392946667	6281.447037262799	78.91260517226182	2.780370596133333
txid1177	3.4150042406947168	3.4150042406947168	20.853183470816642	36.638051377484324	Nostoc	Nostocaceae	Nostocales		Cyanobacteria	Bacteria	genus	N5459	6908536.213412478	41.07341247897143	5942.7848410504	82.62983789427167	3.499126764685714
txid1190	6.324555320336758	6.324555320336758	132.4611768772814	125.66370614359177	Fischerella	Hapalosiphonaceae	Nostocales		Cyanobacteria	Bacteria	genus	N6332	7041260.761226456	41.30922645583	6035.46122645583	80.75545498701885	1.8612264558300002
txid13034	5.656854249492381	5.656854249492381	94.78150268071181	100.53096491487341	Dactylococcopsis	Synechococcaceae	Synechococcales		Cyanobacteria	Bacteria	genus	G000317615	3781008.0	42.44	3600.0	83.42767325538587	3.0
txid28070	5.259585282553352	5.259585282553352	76.18213273707423	86.90662321584075	Gloeothece	Aphanothecaceae	Chroococcales		Cyanobacteria	Bacteria	genus	N6751	7198058.550599968	39.25559996775	6455.05059996775	83.98162412443259	3.05059996775
txid28073	12.452654941589369	12.452654941589369	1011.0775902429724	487.16242198256566	Lyngbya	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria	genus	G000478195	6867625.0	41.16	5949.0	84.1482608616516	1.0
txid33071	1.095445115010332	1.095445115010332	0.6882884651454569	3.7699111843077513	Gloeobacter	Gloeobacteraceae	Gloeobacterales	Gloeobacteria	Cyanobacteria	Bacteria	genus	N316	4691905.063253323	61.33325332255	4498.06325332255	89.70506236812145	1.06325332255
txid35823	8.866084564688924	8.866084564688924	364.917112852122	246.95260474199532	Arthrospira	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria	genus	N5454	6603697.671612188	44.261612187366666	6258.338278854033	81.86390522541642	2.0049455207
txid43988	3.3503689588345082	3.3503689588345082	19.691397137447158	35.264290075617	Cyanothece	Cyanothecaceae	Oscillatoriales		Cyanobacteria	Bacteria	genus	G000022045	5786110.0	50.65	5440.0	86.96936283617146	2.0
txid52605	6.687403049764219	6.687403049764219	156.592558187968	140.4962946208145	Myxosarcina	Hyellaceae	Pleurocapsales		Cyanobacteria	Bacteria	genus	G000756305	7069859.0	40.1	6515.0	84.92511661123652	2.0
txid52607	16.622345273697967	16.622345273697967	2404.780931553495	868.0294718791517	Xenococcus	Xenococcaceae	Pleurocapsales		Cyanobacteria	Bacteria	genus	G000332055	5929641.0	39.68	5361.0	86.24307947142162	1.0
txid54298	5.146551493923857	5.146551493923857	71.37524134131945	83.21134036131201	Chroococcidiopsis	Chroococcidiopsidaceae	Chroococcidiopsidales		Cyanobacteria	Bacteria	genus	G000317125	6689401.0	44.47	5973.0	84.39715304853155	3.0
txid63132	2.5112989078186527	2.5112989078186527	8.292659732649081	19.812837986344352	Geitlerinema	Coleofasciculaceae	Oscillatoriales		Cyanobacteria	Bacteria	genus	N2347	5406540.143840928	50.581340927424996	4613.143840927425	84.14465597348722	0.643840927425
txid76023	4.4721359549995805	4.4721359549995805	46.83209820693819	62.83185307179586	Halothece	Aphanothecaceae	Chroococcales		Cyanobacteria	Bacteria	genus	G000317635	4179170.0	42.92	3848.0	86.65792489896319	3.0
txid102115	25.508490012515825	25.508490012515825	8690.662321584063	2044.1811296521207	Stanieria	Dermocarpellaceae	Pleurocapsales		Cyanobacteria	Bacteria	genus	G000317575	5544990.0	36.22	4986.0	83.81831166512472	2.0
txid102234	1.9339079605813718	1.9339079605813718	3.7870934826479834	11.749556524425829	Cyanobacterium	Geminocystaceae	Chroococcales		Cyanobacteria	Bacteria	genus	N5449	3286815.0236547505	38.21865475035	3086.52365475035	86.0257451229717	2.02365475035
txid159191	7.483314773547884	7.483314773547884	219.4222493593946	175.92918860102844	Nodularia	Aphanizomenonaceae	Nostocales		Cyanobacteria	Bacteria	genus	G000340565	5462271.0	41.23	4771.0	81.43805021757434	6.0
txid167375	0.9888299771583008	0.9888299771583008	0.5062482023520575	3.0718013048527117	Cyanobium	Prochlorococcaceae	Synechococcales		Cyanobacteria	Bacteria	genus	N1518	2838809.431325704	68.52465903723333	3008.0979923705668	89.0839713856243	2.764659037233333
txid217161	4.541589259952082	4.541589259952082	49.048099583628435	64.79859376470243	Chamaesiphon	Chamaesiphonaceae	Synechococcales		Cyanobacteria	Bacteria	genus	G000317145	6761765.0	45.67	6357.0	83.00891852940762	3.0
