taxid	length	width	volume	surface	order	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
txid29	4.772786293262513	0.9859321078047492	3.3705644037254268	14.783214265299046	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	order	N1896	10338960.5	69.145	8312.5	90.14083391000378	2.0	-0.17696396349183352	0.07522875399217495
txid112	1.3587578145006554	1.2339288839360183	1.1218018685938518	5.267227272413621	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	order	N2737	6317004.0	55.66	5066.0	85.85617485757489	2.0	-0.215807653011797	0.0927114737337082
txid136	11.412834125441446	0.30171137398170234	0.8034034465531306	10.817703170626643	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	order	N330	1784411.5	39.55	1958.0	90.30018798297482	1.0	-0.08928521321265451	0.0368060647289105
txid766	1.1762057847982872	0.37837050802802574	0.11710844765453393	1.3981393593369753	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria	order	N2197	1298573.0	32.93000000000001	1276.0	80.82071221173376	1.0	-0.124473087805451	0.0551726969025691
txid1161	5.016334382799447	5.016334382799447	66.09339448131699	79.05381432459356	Nostocales		Cyanobacteria	Bacteria	order	N4683	6810911.5	40.66	5863.5	81.49217956877615	2.5	-0.122162832155712	0.06264053361194849
txid2037	1.6488710746644857	0.5900673517652735	0.3886702603904871	3.0565968279975437	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	order	N4377	2225110.0	56.57	1933.0	89.62339779677353	1.0	-0.378394046278075	0.127202937760315
txid2085	0.4930099783374665	0.17592971133661725	0.010422296716391563	0.27248636294287765	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria	order	N3035	1260528.5	28.13	2157.0	69.3182582758846	1.0	-0.1282521456372355	0.0575193925043883
txid2158	2.7198880646440715	0.4751256712146734	0.43865252042870795	4.059844505101647	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	order	N170	2091123.5	33.225	2013.0	84.3345720261934	2.0	-0.24907672070384101	0.11445216127295951
txid2182	1.3170279137956928	1.3170279137956928	1.1961442626354453	5.449288887984799	Methanococcales	Methanococci	Euryarchaeota	Archaea	order	N169	1720048.0	32.04	1727.0	88.03869357737423	2.0	-0.358876653999983	0.16618472694599098
txid2191	1.7308103222159652	0.8596915303725781	0.7547197726647541	4.674573550101284	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	order	N180	2476600.5	56.545	2457.0	87.956502576328	1.0	-0.1510803036043615	0.06523293955554316
txid2231	2.2	0.4	0.2597049926967563	2.7646015351590183	Archaeoglobales	Archaeoglobi	Euryarchaeota	Archaea	order	N179	2037571.0	43.24	2332.0	90.75824038890757	0.0	-0.0552831901329316	0.0292549890576331
txid2258	1.15	1.15	0.7963282878380625	4.1547562843725006	Thermococcales	Thermococci	Euryarchaeota	Archaea	order	N69	1954027.5	44.665	2129.0	91.78819779242181	1.0	-0.3540610184663945	0.13581315205292
txid2266	5.885661912765424	0.5802531803146307	1.4946453673865732	10.729085684655496	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	order	N471	2077567.0	48.47	2417.0	89.3636563768896	1.0	-0.049689457405528	0.0160429701218731
txid2281	1.0996977297284891	1.0996977297284891	0.6963356140893181	3.7992382557409146	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea	order	N624	2222815.0	36.71	2401.0	88.05357318304024	1.0	-0.0601095070242528	0.0209966546974008
txid2419	2.631053991430265	0.5573904351649864	0.5936582850035951	4.607222059006754	Thermotogales	Thermotogae	Thermotogae	Bacteria	order	N93	1915238.0	46.14	1929.0	95.27749915957537	1.0	-0.0690769943456846	0.0293592305224705
txid31932	0.7208434242404262	0.2736785217080362	0.03680294950362839	0.6197713966545495	Nitrosopumilales		Thaumarchaeota	Archaea	order	N468	1607695.0	33.59	1925.0	90.22044408171956	1.0	-0.0839576819994075	0.0442853754421448
txid32064	5.2915026221291805	0.6	1.4395884510072787	9.9742474584793	Chloroflexales	Chloroflexia	Chloroflexi	Bacteria	order	N1780	5258541.0	56.7	4336.0	86.38370743581758	2.0	-0.10896599482739501	0.0460892005252554
txid32069	2.028443348998134	0.4356461325496245	0.2789813928266541	2.7761735919719763	Aquificales	Aquificae	Aquificae	Bacteria	order	N1618	1600486.0	39.2	1710.0	95.71575217751466	1.5	-0.0567025739695367	0.031993237182725
txid51291	0.5477225575051662	0.5477225575051662	0.08603605814318219	0.9424777960769384	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria	order	N1867	1171629.0	39.08	1003.0	90.59595238950679	1.0	-0.0619114716022424	0.0290173242581921
txid52604	11.781335874600199	11.781335874600199	856.2138226453516	436.0526675882107	Pleurocapsales		Cyanobacteria	Bacteria	order	N4319	6499750.0	39.21	5938.0	84.37619384655594	2.0	-0.0685583358603237	0.0342332943617565
txid53433	8.205607902977762	0.6487154116716349	2.5896733463709034	16.72302539080645	Halanaerobiales	Clostridia	Firmicutes	Bacteria	order	N437	2718640.0	33.44	2590.0	88.37914810012627	1.0	-0.12224930070076499	0.0626927979539765
txid54526	0.5738466694161429	0.15491933384829668	0.009843368003314685	0.2792874102115765	Pelagibacterales	Alphaproteobacteria	Proteobacteria	Bacteria	order	N1904	952704.0	29.45	1125.0	96.61939845937471	1.0	-0.0328790517023529	0.0164828051392129
txid68933	3.06138889767603	0.42156396638791416	0.4053680213215913	4.054449146499526	Thermales	Deinococci	Deinococcus-Thermus	Bacteria	order	N577	2386081.0	67.44	2458.0	93.31772408112758	2.0	-0.144357556051047	0.0530549186965181
