taxid	length	width	volume	surface	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
txid1117	3.8452557186345406	3.8042865885168777	29.22121279043126	45.95664600681869	Cyanobacteria	Bacteria	phylum	N224	4694862.0	42.83	4470.0	84.63971732731758	1.0	-0.134580311466027	0.0694840862931633
txid1297	2.1038913264610497	1.00177025842021	1.30919236133426	6.621270181284902	Deinococcus-Thermus	Bacteria	phylum	N433	3190628.0	67.44	3117.0	89.72096605310608	2.0	-0.226746760023647	0.0839180850480706
txid28889	1.9652031693479093	0.9047943208253904	0.9509680420314098	5.586080558828059	Crenarchaeota	Archaea	phylum	N167	2216858.0	36.73	2389.0	88.21535460965475	1.0	-0.0597902038739409	0.0208313069718268
txid32066	2.7171431064822897	0.5960181201464558	0.6731091276568134	5.087704142369624	Fusobacteria	Bacteria	phylum	N65	2299989.5	29.58	2270.5	90.77298549168115	1.0	-0.341633517584511	0.1563769629794295
txid57723	1.8085354154908213	0.6235555448867068	0.4801889085423111	3.5428440504111283	Acidobacteria	Bacteria	phylum	N1158	3690947.5	57.915	3237.0	89.18535007800946	0.0	-0.127046264632163	0.059469439056183154
txid65842	1.2649110640673518	0.34641016151377546	0.1083322630041479	1.376576930290914	Fibrobacteres	Bacteria	phylum	N1876	3602172.0	48.42	3062.5	91.29217039053104	1.0	-0.42557597631032007	0.15923978964774949
txid67814	4.95	0.3	0.3428262983229862	4.665265090580842	Caldiserica	Bacteria	phylum	N59	1389820.0	35.465	1410.5	91.60068928165714	0.5	-0.045231886197455995	0.02709796424621575
txid67819	2.7386127875258306	0.5916079783099616	0.6986065964643196	5.089961841984629	Armatimonadetes	Bacteria	phylum	N1097	3437974.5	55.05	2881.0	90.80241446936553	2.0	-0.0496570155200027	0.02416262451536945
txid68297	13.160740129524925	0.4119534287814236	1.7339583919197203	17.032496497858244	Dictyoglomi	Bacteria	phylum	N21	1898865.0	33.87	1859.0	93.7772546450563	2.0	-0.0644293985559321	0.0302048386939695
txid74201	1.429305314919591	0.7292575936383813	0.4727702269658443	3.274581782643634	Verrucomicrobia	Bacteria	phylum	N1865	2721828.0	54.49	2488.0	90.04432649929541	1.0	-0.30222751794005104	0.118293742443274
txid142182	3.5341188430493964	0.6292692567291578	1.0300823158564931	6.986626661900559	Gemmatimonadetes	Bacteria	phylum	N2165	2292818.0	64.67500000000001	2378.5	93.04081205059308	0.5	-0.09863716567227315	0.03635752671849035
