	kingdom	phylum	class	order	family	genus	species
G000005825	Bacteria	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_3	Alkalihalobacillus	
G000006175	Archaea	Euryarchaeota_2	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	
G000006605	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium falsenii
G000006725	Bacteria	Proteobacteria_1	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	
G000006745	Bacteria	Proteobacteria_1	Gammaproteobacteria	Vibrionales	Vibrionaceae		
G000006785	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
G000006845	Bacteria	Proteobacteria_1	Betaproteobacteria_3	Neisseriales	Neisseriaceae	Neisseria	
G000006865	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Streptococcaceae	Lactococcus	
G000006925	Bacteria	Proteobacteria_1	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae_1	Escherichia	Escherichia coli
G000006965	Bacteria	Proteobacteria_1	Alphaproteobacteria	Hyphomicrobiales_1	Rhizobiaceae	Sinorhizobium	
G000006985	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	
G000007005	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus solfataricus
G000007025	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	
G000007085	Bacteria	Firmicutes_2	Clostridia_5	Thermoanaerobacterales_1	Thermoanaerobacteraceae_1	Caldanaerobacter	Caldanaerobacter subterraneus
G000007105	Bacteria	Proteobacteria_1	Alphaproteobacteria	Sphingomonadales	Zymomonadaceae	Zymomonas	Zymomonas mobilis
G000007145	Bacteria	Proteobacteria_1	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	
G000007185	Archaea	Euryarchaeota_2					
G000007205	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia pneumoniae
G000007225	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	
G000007265	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Streptococcaceae	Streptococcus	
G000007305	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
G000007325	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
G000007345	Archaea	Euryarchaeota_1	Methanomicrobia	Methanosarcinales_1	Methanosarcinaceae	Methanosarcina	
G000007365	Bacteria	Proteobacteria_1	Gammaproteobacteria	Enterobacterales	Erwiniaceae_2	Buchnera	Buchnera aphidicola
G000007385	Bacteria	Proteobacteria_1	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	
G000007465	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans
G000007485	Bacteria	Actinobacteria	Actinomycetia	Micrococcales_1	Microbacteriaceae		
G000007525	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
G000007565	Bacteria	Proteobacteria_1	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
G000007605	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	
G000007625	Bacteria	Firmicutes_2	Clostridia_2	Eubacteriales_2	Clostridiaceae_1	Clostridium	
G000007645	Bacteria	Firmicutes_1	Bacilli_1	Bacillales_3	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
G000007705	Bacteria	Proteobacteria_1	Betaproteobacteria_3	Neisseriales	Chromobacteriaceae_1	Chromobacterium	
G000007725	Bacteria	Proteobacteria_1	Gammaproteobacteria	Enterobacterales	Erwiniaceae_2	Buchnera	Buchnera aphidicola
G000007745	Bacteria	Proteobacteria_1	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Basfia	
G000007765	Bacteria	Proteobacteria_1	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Coxiella burnetii
G000007785	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Enterococcaceae	Enterococcus_1	Enterococcus faecalis
G000007805	Bacteria	Proteobacteria_1	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
G000007825	Bacteria	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Bacillus_2	
G000007845	Bacteria	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Bacillus_2	Bacillus anthracis
G000007865	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
G000007905	Bacteria	Proteobacteria_2	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	
G000007925	Bacteria	Cyanobacteria		Synechococcales_1	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
G000007945	Bacteria	Proteobacteria_1	Gammaproteobacteria	Pasteurellales	Pasteurellaceae		
G000007985	Bacteria	Proteobacteria_3	Deltaproteobacteria_1	Desulfuromonadales	Geobacteraceae	Geobacter	
G000008025	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	
G000008045	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	
G000008165	Bacteria	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Bacillus_2	Bacillus anthracis
G000008185	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	
G000008265	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			
G000008325	Bacteria	Proteobacteria_1	Gammaproteobacteria	Methylococcales			
G000008345	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
G000008385	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	
G000008465	Bacteria	Proteobacteria_1	Gammaproteobacteria	Alteromonadales_1	Idiomarinaceae	Idiomarina	Idiomarina loihiensis
G000008505	Bacteria	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Bacillus_2	
G000008525	Bacteria	Proteobacteria_2	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
G000008545	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima
G000008565	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	
