Taxon	Count	Consistency
k__Archaea	657	1.000
k__Bacteria	9609	1.000
p__Candidatus Adlerbacteria	5	1.000
p__Thermotogae	35	1.000
p__Atribacterota	4	0.750
p__Candidatus Abawacabacteria	1	1.000
p__Coprothermobacterota	3	1.000
p__Candidatus Bipolaricaulota	7	1.000
p__Nitrospirae	55	0.818
p__Synergistetes	30	0.967
p__Candidatus Thermoplasmatota	43	0.796
p__Nitrospinae	16	1.000
p__Candidatus Micrarchaeota	2	1.000
p__Candidatus Brennerbacteria	1	1.000
p__Candidatus Andersenbacteria	8	1.000
p__Candidatus Omnitrophica	37	0.973
p__Candidatus Pyropristinus	3	1.000
p__Candidatus Doudnabacteria	19	1.000
p__Candidatus Jorgensenbacteria	8	1.000
p__Cyanobacteria	295	1.000
p__Armatimonadetes	9	0.889
p__Candidatus Verstraetearchaeota	4	1.000
p__Candidatus Bathyarchaeota	14	0.778
p__Candidatus Campbellbacteria	1	1.000
p__Candidatus Wildermuthbacteria	11	0.545
p__Candidatus Riflebacteria	1	1.000
p__Candidatus Giovannonibacteria	46	0.958
p__candidate division WOR-3	2	1.000
p__Candidatus Zambryskibacteria	31	1.000
p__Candidatus Chisholmbacteria	4	1.000
p__Candidatus Curtissbacteria	17	0.944
p__Candidatus Korarchaeota	1	1.000
p__Candidatus Lloydbacteria	12	0.833
p__Candidatus Altiarchaeota	5	1.000
p__Candidatus Glassbacteria	3	1.000
p__Candidatus Buchananbacteria	10	0.800
p__Candidatus Yanofskybacteria	42	1.000
p__Candidatus Collierbacteria	30	0.968
p__Candidatus Wallbacteria	1	1.000
p__Chlorobi	16	0.812
p__Candidatus Lokiarchaeota	1	1.000
p__Candidatus Woykebacteria	10	1.000
p__Candidatus Diapherotrites	1	1.000
p__Candidatus Veblenbacteria	3	1.000
p__Candidatus Wirthbacteria	1	1.000
p__Fusobacteria	36	1.000
p__Candidatus Liptonbacteria	10	0.727
p__Candidatus Harrisonbacteria	9	0.778
p__Actinobacteria	1098	0.994
p__Kiritimatiellaeota	1	1.000
p__Candidatus Eisenbacteria	1	1.000
p__Candidatus Aerophobetes	3	1.000
p__Candidatus Azambacteria	23	0.783
p__Candidatus Ryanbacteria	11	0.909
p__Candidatus Nealsonbacteria	7	0.636
p__Euryarchaeota	361	0.761
p__Candidatus Spechtbacteria	6	1.000
p__candidate division Zixibacteria	8	1.000
p__Candidatus Dadabacteria	2	1.000
p__Candidatus Kryptonia	21	1.000
p__Candidatus Fraserbacteria	1	1.000
p__Spirochaetes	135	0.993
p__Bacteroidetes	834	0.993
p__Candidatus Moranbacteria	41	1.000
p__Candidatus Woesebacteria	82	1.000
p__Candidatus Amesbacteria	30	1.000
p__Candidatus Calescamantes	7	0.875
p__Gemmatimonadetes	8	1.000
p__candidate division KD3-62	1	1.000
p__Candidatus Peregrinibacteria	60	1.000
p__Caldiserica	2	1.000
p__Candidatus Tectomicrobia	2	1.000
p__Candidatus Microgenomates	5	0.200
p__Candidatus Sungbacteria	19	1.000
p__Candidatus Wolfebacteria	20	0.950
p__Candidatus Marinimicrobia	18	0.944
p__Candidatus Falkowbacteria	23	0.739
p__Candidatus Portnoybacteria	4	1.000
p__Candidatus Niyogibacteria	1	1.000
p__Candidatus Melainabacteria	17	0.630
p__Candidatus Saccharibacteria	18	1.000
p__Candidatus Lindowbacteria	1	1.000
p__Rhodothermaeota	1	1.000
p__Chrysiogenetes	2	1.000
p__Candidatus Heimdallarchaeota	3	1.000
p__Dictyoglomi	2	1.000
p__Candidatus Tagabacteria	2	0.500
p__Candidatus Firestonebacteria	1	1.000
p__Lentisphaerae	9	0.900
p__Candidatus Berkelbacteria	8	1.000
p__Crenarchaeota	167	0.976
p__Acidobacteria	56	0.965
p__Planctomycetes	63	1.000
p__Candidatus Margulisbacteria	1	1.000
p__Candidatus Coatesbacteria	1	1.000
p__Candidatus Shapirobacteria	6	1.000
p__Candidatus Kerfeldbacteria	4	1.000
p__Aquificae	17	0.941
p__Candidatus Poribacteria	3	1.000
p__Candidatus Taylorbacteria	37	0.974
p__candidate division CPR3	3	1.000
p__Candidatus Parcubacteria	10	0.400
p__Candidatus Magasanikbacteria	45	0.978
p__Candidatus Fermentibacteria	1	1.000
p__Deferribacteres	8	0.875
p__Candidatus Kuenenbacteria	6	1.000
p__Thaumarchaeota	48	0.939
p__Candidatus Uhrbacteria	57	0.810
p__Candidatus Fischerbacteria	1	1.000
p__Candidatus Hydrothermarchaeota	1	1.000
p__Candidatus Delongbacteria	1	1.000
p__Candidatus Blackburnbacteria	7	1.000
p__Thermodesulfobacteria	10	1.000
p__Candidatus Komeilibacteria	8	0.875
p__Fibrobacteres	25	0.962
p__Candidatus Sumerlaeota	2	1.000
p__Balneolaeota	5	0.833
p__Candidatus Beckwithbacteria	14	1.000
p__Tenericutes	66	0.600
p__Calditrichaeota	2	1.000
p__Candidatus Yonathbacteria	6	0.545
p__Candidatus Schekmanbacteria	8	0.875
p__Candidatus Pacebacteria	11	0.917
p__Proteobacteria	2977	0.936
p__candidate division WWE3	62	1.000
p__Candidatus Odinarchaeota	1	1.000
p__Firmicutes	1944	0.962
p__candidate division CPR2	6	1.000
p__Candidatus Desantisbacteria	1	1.000
p__Ignavibacteriae	26	0.808
p__Candidatus Nomurabacteria	63	0.937
p__Candidatus Vogelbacteria	2	1.000
p__Candidatus Staskawiczbacteria	24	1.000
p__Candidatus Gottesmanbacteria	23	0.957
p__Candidatus Edwardsbacteria	1	1.000
p__Candidatus Kaiserbacteria	48	0.810
p__Candidatus Levybacteria	37	1.000
p__Elusimicrobia	29	1.000
p__Candidatus Roizmanbacteria	69	0.903
p__Chlamydiae	106	1.000
p__Candidatus Cloacimonetes	10	1.000
p__candidate division NC10	3	1.000
p__Candidatus Latescibacteria	2	1.000
p__Deinococcus-Thermus	41	1.000
p__Candidatus Woesearchaeota	1	1.000
p__Candidatus Terrybacteria	6	1.000
p__Candidatus Colwellbacteria	7	1.000
p__Candidatus Aminicenantes	8	1.000
p__Candidatus Jacksonbacteria	8	1.000
p__Candidatus Hydrothermae	6	0.833
p__Candidatus Daviesbacteria	36	1.000
p__Candidatus Geothermarchaeota	1	1.000
p__Candidatus Raymondbacteria	1	1.000
p__Verrucomicrobia	55	1.000
p__Candidatus Thorarchaeota	3	1.000
p__Chloroflexi	148	0.980
p__Candidatus Hydrogenedentes	5	1.000
p__Candidatus Fervidibacteria	3	1.000
p__Candidatus Kapabacteria	1	1.000
c__Methanopyri	1	1.000
c__Hadesarchaea	2	1.000
c__Dehalococcoidia	42	1.000
c__Bacilli	1030	0.898
c__Methylacidiphilae	3	1.000
c__Epsilonproteobacteria	110	1.000
c__Synergistia	29	0.966
c__Opitutae	9	0.900
c__Halobacteria	100	0.990
c__Thermomicrobia	4	1.000
c__Thermodesulfovibrionia	3	0.667
c__Gammaproteobacteria	1295	0.994
c__Balneolia	5	0.833
c__Thermoprotei	156	1.000
c__Sphingobacteriia	77	0.857
c__Gemmatimonadetes	4	1.000
c__Ktedonobacteria	8	1.000
c__Coriobacteriia	58	0.921
c__Chitinispirillia	1	1.000
c__Ardenticatenia	1	1.000
c__Alphaproteobacteria	890	0.998
c__Thermodesulfobacteria	10	1.000
c__Planctomycetia	30	1.000
c__Nanohaloarchaea	1	1.000
c__Tepidiformia	1	1.000
c__Thermococci	38	1.000
c__Candidatus Brocadiae	4	1.000
c__Clostridia	710	0.776
c__Candidatus Methanofastidiosa	8	1.000
c__Caldisericia	2	1.000
c__Methanococci	19	1.000
c__Nitrospinia	6	1.000
c__Betaproteobacteria	330	0.991
c__Lentisphaeria	2	1.000
c__Spartobacteria	2	0.667
c__Bacteroidia	262	0.989
c__Holophagae	2	1.000
c__Erysipelotrichia	54	0.770
c__Candidatus Methanomethylia	4	1.000
c__Thermotogae	35	1.000
c__Kiritimatiellae	1	1.000
c__Thermoleophilia	9	1.000
c__Deferribacteres	8	0.875
c__Nitrososphaeria	5	1.000
c__Fibrobacteria	22	0.955
c__Gloeobacteria	2	1.000
c__Negativicutes	73	1.000
c__Methanomicrobia	124	0.976
c__Chrysiogenetes	2	1.000
c__Tissierellia	42	0.732
c__Fimbriimonadia	1	1.000
c__Hydrogenophilalia	2	1.000
c__Mollicutes	48	0.471
c__Saprospiria	9	1.000
c__Candidatus Lambdaproteobacteria	1	1.000
c__Chlamydiia	91	1.000
c__Ignavibacteria	26	1.000
c__Aquificae	17	1.000
c__Acidithiobacillia	19	0.950
c__Blastocatellia	2	1.000
c__Chitinivibrionia	1	1.000
c__Rhodothermia	1	1.000
c__Chitinophagia	44	0.796
c__Endomicrobia	1	1.000
c__Deinococci	41	1.000
c__Chlorobia	13	1.000
c__Chthonomonadetes	4	1.000
c__Limnochordia	1	1.000
c__Coprothermobacteria	3	1.000
c__Elusimicrobia	1	1.000
c__Methanobacteria	34	1.000
c__Candidatus Muproteobacteria	1	1.000
c__Fusobacteriia	36	1.000
c__Verrucomicrobiae	22	0.750
c__Spirochaetia	127	0.992
c__Archaeoglobi	21	1.000
c__Candidatus Poseidoniia	15	1.000
c__Calditrichia	2	1.000
c__Deltaproteobacteria	279	0.785
c__Actinomycetia	1004	0.984
c__Chloroflexia	11	1.000
c__Candidatus Peribacteria	34	1.000
c__Nitrospira	16	0.562
c__Rubrobacteria	3	1.000
c__Oligoflexia	39	1.000
c__Methanonatronarchaeia	1	1.000
c__Zetaproteobacteria	7	1.000
c__Cytophagia	105	1.000
c__Acidimicrobiia	13	0.619
c__Acidobacteriia	23	1.000
c__Phycisphaerae	8	1.000
c__Caldilineae	1	1.000
c__Nitriliruptoria	1	1.000
c__Dictyoglomia	2	1.000
c__Anaerolineae	20	0.833
c__Thermoplasmata	25	0.893
c__Flavobacteriia	291	1.000
c__Terrimicrobia	1	1.000
c__Thermoanaerobaculia	1	1.000
c__Candidatus Saccharimonia	1	1.000
o__Mycoplasmatales	6	0.667
o__Synergistales	29	0.966
o__Bifidobacteriales	43	1.000
o__Eubacteriales	634	0.809
o__Acidobacteriales	20	1.000
o__Herpetosiphonales	2	1.000
o__Sporichthyales	1	1.000
o__Rhodobacterales	180	0.989
o__Sneathiellales	1	1.000
o__Pirellulales	16	1.000
o__Hyphomicrobiales	317	0.975
o__Candidatus Nanosynbacterales	1	1.000
o__Rickettsiales	81	0.976
o__Micromonosporales	23	0.913
o__Nitrosopumilales	14	1.000
o__Oscillatoriales	40	0.575
o__Gemmatimonadales	4	1.000
o__Pleurocapsales	6	0.667
o__Acidimicrobiales	13	1.000
o__Methanocellales	3	1.000
o__Jatrophihabitantales	1	1.000
