N2	k__Archaea
N3	k__Bacteria
N17	p__Candidatus Micrarchaeota
N21	p__Dictyoglomi; c__Dictyoglomia; o__Dictyoglomales; f__Dictyoglomaceae
N25	p__Candidatus Heimdallarchaeota
N27	p__Euryarchaeota_3
N35	g__Dictyoglomus
N37	p__Thermotogae; c__Thermotogae
N40	p__Atribacterota
N43	p__Candidatus Thorarchaeota
N44	c__Hadesarchaea
N48	p__Candidatus Altiarchaeota
N49	p__Euryarchaeota_2
N50	p__Candidatus Thermoplasmatota
N51	p__Euryarchaeota_1
N54	p__candidate division WWE3
N56	p__Candidatus Peregrinibacteria
N59	p__Caldiserica; c__Caldisericia; o__Caldisericales; f__Caldisericaceae; g__Caldisericum
N60	p__Coprothermobacterota; c__Coprothermobacteria; o__Coprothermobacterales; f__Coprothermobacteraceae; g__Coprothermobacter
N65	p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales
N68	c__Candidatus Methanofastidiosa
N69	c__Thermococci; o__Thermococcales; f__Thermococcaceae
N70	p__Candidatus Bathyarchaeota
N71	p__Thaumarchaeota
N72	p__Candidatus Verstraetearchaeota; c__Candidatus Methanomethylia; o__Candidatus Methanomethyliales
N76	c__Candidatus Poseidoniia
N77	c__Thermoplasmata
N86	c__Candidatus Peribacteria
N89	p__Candidatus Andersenbacteria
N93	o__Thermotogales
N95	p__Synergistetes; c__Synergistia; o__Synergistales
N98	f__Leptotrichiaceae
N99	f__Fusobacteriaceae
N100	p__Candidatus Aerophobetes
N103	g__Thermococcus_2
N108	f__Candidatus Methanomethyliaceae
N114	o__Candidatus Poseidoniales
N117	c__Halobacteria
N119	c__Methanomicrobia
N124	p__candidate division CPR3
N125	p__Candidatus Woykebacteria
N131	p__Candidatus Berkelbacteria
N134	p__Candidatus Saccharibacteria
N139	o__Kosmotogales; f__Kosmotogaceae
N140	o__Petrotogales; f__Petrotogaceae
N141	f__Fervidobacteriaceae
N142	f__Thermotogaceae
N143	p__Candidatus Bipolaricaulota
N151	g__Fusobacterium
N153	p__Spirochaetes; c__Spirochaetia
N159	g__Pyrococcus
N163	c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae
N164	c__
N165	g__Candidatus Methanomethylicus
N167	p__Crenarchaeota
N169	c__Methanococci; o__Methanococcales
N170	c__Methanobacteria; o__Methanobacteriales
N172	o__; f__; g__Aciduliprofundum
N173	o__Thermoplasmatales
N176	o__Halobacteriales_2; f__Halobacteriaceae_1
N179	c__Archaeoglobi; o__Archaeoglobales
N180	o__Methanomicrobiales
N201	p__candidate division CPR2
N206	p__Candidatus Doudnabacteria
N208	p__Candidatus Moranbacteria
N211	g__Kosmotoga
N212	g__Marinitoga
N213	g__Petrotoga
N214	g__Thermosipho
N215	g__Fervidobacterium
N216	g__Pseudothermotoga
N217	g__Thermotoga
N221	f__Synergistaceae
N223	p__Candidatus Melainabacteria; c__
N224	p__Cyanobacteria
N229	g__Streptobacillus
N232	o__Leptospirales
N240	g__Thermococcus_1
N244	g__Candidatus Nitrosocosmicus
N248	s__Candidatus Methanomethylicus mesodigestum
N250	c__Thermoprotei
N251	f__Methanocaldococcaceae_1; g__Methanocaldococcus
N253	f__Methanobacteriaceae
N263	f__Archaeoglobaceae
N266	o__Methanosarcinales_2; f__; g__Candidatus Syntrophoarchaeum
N273	p__Candidatus Curtissbacteria
N274	p__Candidatus Daviesbacteria
N316	c__Gloeobacteria; o__Gloeobacterales; f__Gloeobacteraceae; g__Gloeobacter
N317	c__
N320	p__Firmicutes_8; c__Clostridia_8; o__Eubacteriales_7
N322	g__Leptotrichia
N323	g__Pseudoleptotrichia
N328	f__Leptospiraceae
N329	o__Brachyspirales; f__Brachyspiraceae
N330	o__Spirochaetales
N334	s__Thermococcus barophilus
N337	s__Pyrococcus furiosus
N345	g__Nitrososphaera
N348	o__; f__; g__Candidatus Nitrosotenuis
N351	o__Thermofilales; f__Thermofilaceae
N355	f__Methanocaldococcaceae_2; g__Methanotorris
N356	f__Methanococcaceae
N361	f__Thermoplasmataceae
N364	o__Methanomassiliicoccales
N365	g__Halobacterium
N366	o__Haloferacales
N367	o__Halobacteriales_1
N369	g__Archaeoglobus_1
N371	f__Methanocorpusculaceae
N374	o__Methanocellales; f__Methanocellaceae; g__Methanocella
N375	o__Methanosarcinales_1
N385	p__Candidatus Shapirobacteria
N414	s__Petrotoga mobilis
N417	s__Thermotoga neapolitana
N420	g__Acetomicrobium
N433	p__Deinococcus-Thermus; c__Deinococci
N434	p__Actinobacteria
N435	f__Clostridiales Family XVII. Incertae Sedis
N437	p__Firmicutes_6; c__Clostridia_6; o__Halanaerobiales
N440	s__Pseudoleptotrichia goodfellowii
N441	s__Streptobacillus notomytis
N443	s__Fusobacterium necrophorum
N447	f__Borreliaceae
N449	p__Elusimicrobia
N453	s__Thermococcus sibiricus
N467	o__; f__
N468	o__Nitrosopumilales
N470	g__Thermofilum
N471	o__Thermoproteales; f__Thermoproteaceae
N473	s__Methanocaldococcus villosus
N477	g__Methanothermobacter
N478	g__Methanobrevibacter
N482	f__Ferroplasmaceae
N487	f__Methanomassiliicoccaceae; g__Methanomassiliicoccus
N488	f__Candidatus Methanomethylophilaceae
N491	f__Halorubraceae
N492	f__Halococcaceae; g__Halococcus
N494	o__Halobacteriales_3; f__Halobacteriaceae_2
N495	o__Natrialbales; f__Natrialbaceae
N499	g__Archaeoglobus_2
N500	g__Methanocorpusculum
N501	f__Methanomicrobiaceae_2
N517	p__Candidatus Levybacteria
N542	p__Candidatus Kerfeldbacteria
N553	s__Pseudothermotoga lettingae
N555	s__Thermotoga maritima
N558	g__Jonquetella
N560	g__Thermovirga
N573	o__Synechococcales_1
N577	o__Thermales; f__Thermaceae
N578	o__Deinococcales; f__Deinococcaceae
N584	f__Halobacteroidaceae
N585	f__Halanaerobiaceae
N586	p__Firmicutes_4
N592	g__Leptonema; s__Leptonema illini
N593	g__Leptospira
N595	g__Brachyspira
N596	g__Borrelia
N597	g__Borreliella
N598	f__Sphaerochaetaceae
N610	s__Thermococcus thioreducens
N617	g__Candidatus Nitrosopelagicus
N620	s__Thermofilum adornatum
N624	o__Sulfolobales
N626	g__Methanothermococcus
N627	g__Methanococcus
N630	g__Methanosphaera
N631	g__Methanobacterium
N634	g__Acidiplasma
N637	g__Thermoplasma
N641	f__Haloferacaceae
N646	f__Haloarculaceae_2; g__Natronomonas
N648	g__Haladaptatus
N656	f__Methanoregulaceae
N657	f__Methanomicrobiaceae_1
N659	f__Methanotrichaceae; g__Methanothrix
N678	p__Candidatus Gottesmanbacteria
N682	p__Candidatus Beckwithbacteria
N699	p__Candidatus Jacksonbacteria
N708	p__Candidatus Portnoybacteria
N709	p__Candidatus Terrybacteria
N732	f__Synechococcaceae_1; g__Synechococcus_1; s__Candidatus Synechococcus spongiarum
N733	f__Prochlorococcaceae
N739	g__Deinococcus
N744	g__Thermaerobacter
N749	g__Halothermothrix
N751	c__Clostridia_3
N752	c__Negativicutes
N753	p__Firmicutes_2
N755	s__Fusobacterium nucleatum
N769	f__Spirochaetaceae
N770	f__Treponemataceae
N782	p__Proteobacteria_1
N791	f__Nitrosopumilaceae
N793	g__Thermoproteus
N794	g__Pyrobaculum
N796	g__Vulcanisaeta
N797	o__Desulfurococcales_4; f__Desulfurococcaceae_3; g__Ignicoccus
N799	f__Sulfolobaceae
N821	f__Haloarculaceae_1
N824	g__Geoglobus
N828	g__Methanofollis
N829	g__Methanoculleus
N832	s__Methanosaeta harundinacea
N833	f__Candidatus Methanoperedenaceae; g__Candidatus Methanoperedens
N834	f__Methanosarcinaceae
N890	p__Candidatus Spechtbacteria
N893	p__Candidatus Yanofskybacteria
N897	s__Jonquetella anthropi
N899	g__Aminobacterium
N900	s__Thermovirga lienii
N911	o__Pseudanabaenales_2; f__Pseudanabaenaceae_1; g__Pseudanabaena
N913	p__Candidatus Fervidibacteria
N916	p__Chloroflexi
N918	g__Thermus
N923	c__Coriobacteriia
N928	g__Candidatus Frackibacter
N929	g__Halanaerobium
N931	o__Veillonellales; f__Veillonellaceae
N933	c__Clostridia_9
N946	s__Borreliella burgdorferi
N948	g__Sphaerochaeta
N949	g__Spirochaeta; s__Spirochaeta thermophila
N952	g__Treponema
N963	p__Chrysiogenetes; c__Chrysiogenetes; o__Chrysiogenales; f__Chrysiogenaceae
N964	p__Deferribacteres; c__Deferribacteres; o__Deferribacterales; f__Deferribacteraceae
N966	p__Proteobacteria_2
N970	c__Alphaproteobacteria
N976	g__Nitrosarchaeum
N977	g__Nitrosopumilus
N981	g__Caldivirga
N985	g__Sulfolobus_1
N986	s__Methanococcus maripaludis
N992	s__Acidiplasma aeolicum
N995	g__Haloferax
N997	g__Halolamina
N1007	s__Archaeoglobus fulgidus
N1009	g__Methanoregula
N1016	g__Methanosarcina
N1040	p__Candidatus Chisholmbacteria
N1043	p__Candidatus Collierbacteria
N1045	p__Candidatus Amesbacteria
N1046	p__Candidatus Blackburnbacteria
N1047	p__Candidatus Woesebacteria
N1050	o__Candidatus Peribacterales
N1057	p__Candidatus Kuenenbacteria
N1058	p__Candidatus Veblenbacteria
N1059	p__Candidatus Komeilibacteria
N1061	p__Candidatus Falkowbacteria
N1083	g__Thermanaerovibrio
N1084	g__Cloacibacillus
N1088	o__Candidatus Gastranaerophilales
N1092	g__Prochlorococcus
N1094	o__Synechococcales_3; f__Synechococcaceae_2; g__Synechococcus_2
N1097	p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales; f__Chthonomonadaceae; g__Chthonomonas
N1108	c__Thermoleophilia; o__Solirubrobacterales_1; f__Conexibacteraceae; g__Conexibacter; s__Conexibacter woesei
N1116	o__Acidaminococcales; f__Acidaminococcaceae
N1117	o__Selenomonadales
N1118	o__Thermosediminibacterales
N1119	c__Clostridia_5; o__Thermoanaerobacterales_1
N1122	p__Firmicutes_7; c__Bacilli_3; o__Bacillales_5
N1130	s__Borreliella garinii
N1142	p__Candidatus Sumerlaeota
N1143	p__Candidatus Poribacteria
N1144	p__Candidatus Hydrogenedentes
N1153	c__Deltaproteobacteria_6; o__Desulfurellales; f__Desulfurellaceae
N1154	c__Epsilonproteobacteria
N1158	p__Acidobacteria
N1159	p__Proteobacteria_4
N1162	c__Zetaproteobacteria
N1166	s__Candidatus Nitrosarchaeum limnium
N1175	o__Desulfurococcales_1; f__Desulfurococcaceae_1
N1179	s__Sulfolobus acidocaldarius
N1182	s__Methanobrevibacter smithii
N1195	g__Halorhabdus
N1202	g__Methanolacinia
N1233	p__Candidatus Roizmanbacteria
N1239	p__Candidatus Pacebacteria
N1260	p__Candidatus Buchananbacteria
N1286	p__Candidatus Azambacteria
N1288	p__Candidatus Sungbacteria
N1295	s__Prochlorococcus marinus
N1298	s__Synechococcus elongatus
N1304	c__Anaerolineae
N1305	c__Ktedonobacteria
N1307	g__Calidithermus
N1308	g__Meiothermus
N1312	o__Eggerthellales; f__Eggerthellaceae
N1313	o__Coriobacteriales
N1320	g__Dialister
N1321	g__Veillonella
N1322	g__Megasphaera
N1324	f__Sporomusaceae
N1325	f__Selenomonadaceae
N1326	f__Tepidanaerobacteraceae; g__Tepidanaerobacter
N1327	f__Thermosediminibacteraceae
N1328	f__Thermoanaerobacterales Family III. Incertae Sedis; g__Caldicellulosiruptor
N1331	c__Clostridia_1; o__Eubacteriales_1
N1333	f__Alicyclobacillaceae
N1337	s__Borrelia duttonii
N1339	s__Borrelia hermsii
N1363	p__Candidatus Cloacimonetes
N1371	p__Candidatus Calescamantes
N1372	p__Aquificae; c__Aquificae
N1373	g__Hippea
N1374	o__Nautiliales; f__Nautiliaceae
N1375	o__Campylobacterales
N1379	p__Candidatus Aminicenantes
N1380	c__Holophagae; o__Holophagales
N1382	c__Deltaproteobacteria_4
N1383	c__Oligoflexia
N1386	o__Holosporales_2; f__Holosporaceae; g__Holospora
N1389	c__Acidithiobacillia
N1400	g__Staphylothermus
N1404	g__Metallosphaera
N1405	g__Sulfuracidifex
N1411	s__Methanobacterium formicicum
N1412	g__Candidatus Methanomethylophilus
N1414	g__Halogeometricum
N1415	g__Haloquadratum
N1418	g__Halostagnicola
N1420	s__Methanoculleus bourgensis
N1422	s__Methanoculleus marisnigri
N1491	p__Candidatus Magasanikbacteria
N1492	p__Candidatus Uhrbacteria
N1500	p__Candidatus Staskawiczbacteria
N1518	g__Cyanobium
N1525	o__Synechococcales_5; f__Acaryochloridaceae; g__Acaryochloris
N1526	o__Pseudanabaenales_3; f__Thermosynechococcaceae
N1527	o__Pseudanabaenales_4; f__Pseudanabaenaceae_2; g__Limnothrix
N1532	c__Chloroflexia
N1535	o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__Thermogemmatispora
N1536	o__Ktedonobacterales; f__Ktedonobacteraceae; g__Ktedonobacter
N1544	g__Slackia
N1546	f__Coriobacteriaceae
N1547	f__Atopobiaceae
N1549	o__Solirubrobacterales_2
N1550	c__Acidimicrobiia; o__Acidimicrobiales
N1553	o__Thermoanaerobacterales_2; f__Thermoanaerobacteraceae_2; g__Thermacetogenium
N1554	o__Eubacteriales_9; f__Syntrophomonadaceae
N1556	o__Eubacteriales_4; f__Peptococcaceae_1
N1563	g__Acidaminococcus
N1572	f__Thermoanaerobacteraceae_1
N1573	c__Clostridia_2; o__Eubacteriales_2; f__Clostridiaceae_1
N1579	p__Firmicutes_3; c__Bacilli_2; o__Bacillales_2
N1582	s__Leptospira noguchii
N1591	g__Alkalispirochaeta
N1592	s__Treponema primitia
N1602	p__Planctomycetes
N1604	p__Chlamydiae; c__Chlamydiia
N1617	o__Desulfurobacteriales; f__Desulfurobacteriaceae; g__Desulfurobacterium
N1618	o__Aquificales
N1621	f__Helicobacteraceae; g__Helicobacter
N1627	f__Holophagaceae
N1634	p__Nitrospirae_2; c__Nitrospira_2; o__Nitrospirales_2; f__Nitrospiraceae_2; g__Leptospirillum
N1639	o__Acidithiobacillales; f__Acidithiobacillaceae
N1641	c__Gammaproteobacteria
N1648	o__Desulfurococcales_2; f__Pyrodictiaceae
N1650	g__Acidianus
N1651	g__Candidatus Aramenus; s__Candidatus Aramenus sulfurataquae
N1661	s__Haloquadratum walsbyi
N1662	g__Halorubrum
N1663	g__Haloarcula
N1667	g__Methanolobus
N1668	g__Methanococcoides
N1669	g__Methanohalophilus
N1759	p__Candidatus Ryanbacteria
N1777	s__Chthonomonas calidirosea
N1779	o__Herpetosiphonales; f__Herpetosiphonaceae
N1780	o__Chloroflexales
N1798	g__Collinsella
N1800	f__Solirubrobacteraceae
N1801	f__Patulibacteraceae
N1802	f__Acidimicrobiaceae_1; g__Ferrimicrobium
N1804	c__Actinomycetia
N1808	o__Thermoanaerobacterales_4; f__Thermoanaerobacteraceae_4; g__Moorella
N1817	g__Phascolarctobacterium
N1822	g__Megamonas
N1829	g__Caldanaerobius
N1833	c__Clostridia_10; o__Eubacteriales_8; f__Eubacteriaceae
N1835	f__Christensenellaceae
N1838	f__Lachnospiraceae
N1843	p__Firmicutes_1; c__Bacilli_1
N1844	s__Leptospira santarosai
N1847	s__Leptospira kirschneri
N1848	s__Leptospira interrogans
N1862	c__Candidatus Brocadiae; o__Candidatus Brocadiales
N1864	p__Lentisphaerae
N1865	p__Verrucomicrobia
N1867	o__Chlamydiales; f__Chlamydiaceae; g__Chlamydia
N1871	p__Candidatus Pyropristinus; c__; o__; f__; g__Candidatus Caldipriscus
N1876	p__Fibrobacteres
N1883	f__Hydrogenothermaceae
N1884	f__Aquificaceae
N1888	f__Campylobacteraceae
N1896	o__Myxococcales
N1897	o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio
N1899	p__Candidatus Tectomicrobia
N1904	o__Pelagibacterales; f__Pelagibacteraceae; g__Candidatus Pelagibacter
N1909	g__Acidithiobacillus
N1919	s__Vulcanisaeta distributa
N1920	g__Desulfurococcus
N1922	o__Desulfurococcales_3; f__Desulfurococcaceae_2; g__Aeropyrum
N1923	o__Acidilobales; f__Acidilobaceae
N1925	g__Saccharolobus; s__Saccharolobus solfataricus
N1926	g__Sulfolobus_2; s__Sulfolobus islandicus
N1940	s__Methanococcoides methylutens
N1946	s__Methanosarcina mazei
N2012	p__Candidatus Wildermuthbacteria
N2014	p__Candidatus Nealsonbacteria
N2023	p__Candidatus Jorgensenbacteria
N2032	p__Candidatus Giovannonibacteria
N2047	g__Thermosynechococcus
N2050	o__Pseudanabaenales_1
N2053	c__Thermomicrobia; o__Sphaerobacterales
N2054	g__Herpetosiphon
N2055	f__Roseiflexaceae
N2056	f__Chloroflexaceae
N2066	g__Eggerthella
