	kingdom	phylum	class	order	family	genus	species
N1							
N2	Archaea						
N3	Bacteria						
N4							
N5							
N6							
N7							
N8							
N9							
N10							
N12							
N13							
N14							
N15							
N16							
N17		Candidatus Micrarchaeota					
N18							
N19							
N20							
N21		Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae		
N22							
N25		Candidatus Heimdallarchaeota					
N26							
N27		Euryarchaeota_3					
N28							
N29							
N31							
N32							
N33							
N34							
N35						Dictyoglomus	
N36							
N37		Thermotogae	Thermotogae				
N38							
N39							
N40		Atribacterota					
N41							
N43		Candidatus Thorarchaeota					
N44			Hadesarchaea				
N45							
N46							
N48		Candidatus Altiarchaeota					
N49		Euryarchaeota_2					
N50		Candidatus Thermoplasmatota					
N51		Euryarchaeota_1					
N52							
N53							
N54		candidate division WWE3					
N55							
N56		Candidatus Peregrinibacteria					
N58							
N59		Caldiserica	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum	
N60		Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Coprothermobacter	
N61							
N62							
N64							
N65		Fusobacteria	Fusobacteriia	Fusobacteriales			
N66							
N67							
N68			Candidatus Methanofastidiosa				
N69			Thermococci	Thermococcales	Thermococcaceae		
N70		Candidatus Bathyarchaeota					
N71		Thaumarchaeota					
N72		Candidatus Verstraetearchaeota	Candidatus Methanomethylia	Candidatus Methanomethyliales			
N73							
N74							
N75							
N76			Candidatus Poseidoniia				
N77			Thermoplasmata				
N79							
N80							
N81							
N82							
N83							
N84							
N85							
N86			Candidatus Peribacteria				
N87							
N89		Candidatus Andersenbacteria					
N91							
N92							
N93				Thermotogales			
N94							
N95		Synergistetes	Synergistia	Synergistales			
N96							
N98					Leptotrichiaceae		
N99					Fusobacteriaceae		
N100		Candidatus Aerophobetes					
N101							
N102							
N103						Thermococcus_2	
N104							
N105							
N106							
N107							
N108					Candidatus Methanomethyliaceae		
N109							
N110							
N111							
N112							
N113							
N114				Candidatus Poseidoniales			
N115							
N116							
N117			Halobacteria				
N118							
N119			Methanomicrobia				
N120							
N121							
N122							
N123							
N124		candidate division CPR3					
N125		Candidatus Woykebacteria					
N126							
N127							
N128							
N129							
N130							
N131		Candidatus Berkelbacteria					
N132							
N133							
N134		Candidatus Saccharibacteria					
N135							
N136							
N137							
N138							
N139				Kosmotogales	Kosmotogaceae		
N140				Petrotogales	Petrotogaceae		
N141					Fervidobacteriaceae		
N142					Thermotogaceae		
N143		Candidatus Bipolaricaulota					
N144							
N145							
N146							
N148							
N149							
N150							
N151						Fusobacterium	
N152							
N153		Spirochaetes	Spirochaetia				
N154							
N155							
N156							
N157							
N159						Pyrococcus	
N160							
N161							
N163			Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae		
N164							
N165						Candidatus Methanomethylicus	
N166							
N167		Crenarchaeota					
N168							
N169			Methanococci	Methanococcales			
N170			Methanobacteria	Methanobacteriales			
N171							
N172						Aciduliprofundum	
N173				Thermoplasmatales			
N174							
N175							
N176				Halobacteriales_2	Halobacteriaceae_1		
N177							
N178							
N179			Archaeoglobi	Archaeoglobales			
N180				Methanomicrobiales			
N181							
N182							
N183							
N184							
N185							
N186							
N187							
N188							
N189							
N190							
N191							
N193							
N194							
N195							
N196							
N197							
N198							
N199							
N200							
N201		candidate division CPR2					
N202							
N203							
N204							
N205							
N206		Candidatus Doudnabacteria					
N207							
N208		Candidatus Moranbacteria					
N209							
N210							
N211						Kosmotoga	
N212						Marinitoga	
N213						Petrotoga	
N214						Thermosipho	
N215						Fervidobacterium	
N216						Pseudothermotoga	
N217						Thermotoga	
N218							
N219							
N220							
N221					Synergistaceae		
N222							
N223		Candidatus Melainabacteria					
N224		Cyanobacteria					
N225							
N226							
N227							
N228							
N229						Streptobacillus	
N230							
N231							
N232				Leptospirales			
N233							
N234							
N236							
N237							
N238							
N239							
N240						Thermococcus_1	
N241							
N242							
N244						Candidatus Nitrosocosmicus	
N245							
N246							
N247							
N248							Candidatus Methanomethylicus mesodigestum
N249							
N250			Thermoprotei				
N251					Methanocaldococcaceae_1	Methanocaldococcus	
N252							
N253					Methanobacteriaceae		
N254							
N255							
N256							
