rank	taxon	splits
phylum	Bacteroidetes	2
phylum	Euryarchaeota	3
phylum	Firmicutes	9
phylum	Nitrospirae	2
phylum	Proteobacteria	7
phylum	Tenericutes	2
class	Bacilli	3
class	Betaproteobacteria	7
class	Clostridia	10
class	Deltaproteobacteria	6
class	Erysipelotrichia	2
class	Mollicutes	2
class	Nitrospira	2
class	Verrucomicrobiae	2
order	Acholeplasmatales	2
order	Aeromonadales	2
order	Alteromonadales	3
order	Bacillales	6
order	Bacteroidales	3
order	Chromatiales	4
order	Chroococcales	2
order	Desulfobacterales	2
order	Desulfurococcales	4
order	Erysipelotrichales	2
order	Eubacteriales	9
order	Halobacteriales	3
order	Holosporales	2
order	Hyphomicrobiales	2
order	Methanosarcinales	2
order	Micrococcales	4
order	Nitrosomonadales	2
order	Nitrospirales	2
order	Oceanospirillales	3
order	Oscillatoriales	3
order	Pseudanabaenales	4
order	Pseudonocardiales	3
order	Rhodocyclales	2
order	Solirubrobacterales	1
order	Synechococcales	5
order	Syntrophobacterales	2
order	Thermoanaerobacterales	4
order	Thiotrichales	6
order	Verrucomicrobiales	2
family	Acidimicrobiaceae	2
family	Alteromonadaceae	3
family	Aphanothecaceae	2
family	Aurantimonadaceae	2
family	Bacillaceae	8
family	Carnobacteriaceae	3
family	Chromatiaceae	4
family	Chromobacteriaceae	2
family	Clostridiaceae	2
family	Cytophagaceae	2
family	Desulfurococcaceae	3
family	Enterobacteriaceae	3
family	Erwiniaceae	3
family	Erysipelotrichaceae	2
family	Haloarculaceae	2
family	Halobacteriaceae	2
family	Intrasporangiaceae	2
family	Methanocaldococcaceae	2
family	Methanomicrobiaceae	2
family	Methylocystaceae	2
family	Nitrospiraceae	2
family	Nocardiaceae	2
family	Nostocaceae	2
family	Oceanospirillaceae	3
family	Oscillatoriaceae	2
family	Oscillospiraceae	2
family	Peptococcaceae	3
family	Phyllobacteriaceae	3
family	Piscirickettsiaceae	4
family	Prevotellaceae	2
family	Pseudanabaenaceae	2
family	Pseudonocardiaceae	3
family	Sphingomonadaceae	5
family	Synechococcaceae	2
family	Syntrophaceae	2
family	Thermoanaerobacteraceae	4
family	Thiotrichaceae	2
genus	Archaeoglobus	2
genus	Bacillus	4
genus	Butyrivibrio	2
genus	Desulfovibrio	4
genus	Enterococcus	2
genus	Erysipelatoclostridium	2
genus	Legionella	3
genus	Moraxella	2
genus	Olsenella	2
genus	Paenibacillus	2
genus	Pedobacter	2
genus	Selenomonas	2
genus	Sulfolobus	2
genus	Synechococcus	2
genus	Thermococcus	2
