rank	taxon	count	V.lambda	V.pval0	V.pval1	V.sigsq	V.sigsq_unb	V.lnL	S.lambda	S.pval0	S.pval1	S.sigsq	S.sigsq_unb	S.lnL	SV.lambda	SV.pval0	SV.pval1	SV.sigsq	SV.sigsq_unb	SV.lnL
1	genus	Flavobacterium	119	0.374034938719599	0.342542846567635	0.00188727068422607	1.36540889339182	1.37698015520022	-88.0964272366999	0.206266923591602	0.692543368698608	0.000582243021646139	0.658367040456494	0.663946422155278	-45.1430636488329	0.55061437626572	0.0969806859707341	0.0164934426063449	0.15531982081062	0.156636090478506	41.9097555492162
2	genus	Halomonas	53	0.767287233034834	0.351953863353714	0.540172669511093	1.36020203912758	1.38635977064926	-34.7166369695028	0.867369324678036	0.279803750439878	0.727166649595168	0.60875235771565	0.620459133825567	-13.276752280716	0.502031532085698	0.61637163916414	0.248798312813853	0.160766206703217	0.163857864524432	21.6166632348673
3	genus	Microbacterium	55	0.303620505915043	0.568487920965693	0.0791965611120563	1.30599227682992	1.33017731899344	-45.094276237604	0.269958995899026	0.720248746241695	0.106883239880953	0.61098033835855	0.622294789068894	-24.2642084373603	0.338062144141935	0.360490366190051	0.0451732804908526	0.138149409369823	0.140707731765561	16.7478745669586
4	genus	Mycoplasma	73	1	0.738385539614948	1	0.0409248240804002	0.0414932244148502	28.9342772259613	1	0.740633020884308	1	0.0144960940175822	0.0146974286567153	66.8160792472111	1	0.735080642188897	1	0.00686749125402971	0.00696287307700235	94.0845127370482
5	genus	Nocardioides	74	1	0.13199073388637	1	0.781374372542092	0.792078131070066	-34.6082471687848	1	0.140437711516643	1	0.388886947491096	0.394214165949879	-8.79092123296115	1	0.175034836331389	1	0.0893707972980501	0.0905950547952837	45.6173879480752
6	genus	Paenibacillus	117	1.17775608285214e-204	0.999999904884748	0.000222404853986275	0.490265898619861	0.494492328780377	-53.8741995719756	2.16641394039401e-17	0.999999757502738	6.36653007404742e-05	0.220288372844806	0.222187410541744	-7.07359019723798	1.86869575000076e-29	0.999999619538993	0.0166973353637899	0.0663614516810588	0.0669335331610679	63.1159461266941
7	genus	Sphingomonas	58	1.35635903550341e-82	0.999999904884748	0.0896141894889702	0.498609571428989	0.507357107769848	-20.8674716585952	5.6524332430444e-125	0.999999877591069	0.109094094905124	0.230473429300802	0.234516822797307	1.5114746204029	3.5863398849641e-63	0.999999767016167	0.0589929884824212	0.061721184649297	0.0628040124501619	39.7192169869005
8	family	Acetobacteraceae	57	3.09952161694256e-158	0.999999932743361	0.000555634559283811	0.486446832763763	0.495133383348831	-27.7372372218421	1.27026765606996e-203	0.999999917627776	0.0127648941239977	0.189914861765826	0.193306198583073	-0.931512923370736	8.04886039235441e-202	0.999999883508083	1.24367062081251e-05	0.0815980631845317	0.0830551714556841	23.1444419960156
9	family	Bacillaceae	239	0.44905353818598	1.06326125546419e-07	3.81197525285898e-30	0.532038404071806	0.534273859551099	-125.972815945227	0.439193476181192	9.17250388819104e-07	9.72726303557458e-29	0.245586110175902	0.246617984588406	-34.6236018110647	0.524848998055998	4.53763673964606e-10	2.2219929905616e-27	0.0773324989546467	0.0776574254208427	112.905738518265
10	family	Burkholderiaceae	67	0.767234691137539	0.000339780411193972	0.0182391165584627	0.755563129022413	0.767011055219722	-30.1333487328396	0.796323879870376	0.000175671067114076	0.0254555956607968	0.359342651412421	0.364787237039882	-3.84995043428112	0.678317128255026	0.00214427453099548	0.00824292194811908	0.0774173560565424	0.0785903462998234	42.3891010355716
11	family	Chitinophagaceae	73	0.745203689508377	0.196568777318767	0.0194546034573773	1.03509124581232	1.04946751311527	-52.6565988445613	0.980996018337473	0.00753971356761555	0.387620817779656	0.84322099911285	0.854932401878307	-35.0602870107191	2.45528070886455e-210	0.999999809769497	6.97264184793275e-08	0.0646703129862147	0.06556851177769	38.3890792031379
