lambda	pval0	pval1	sigsq	sigsq_unb	lnL
log_volume	0.832956915358247	0	5.92595100906735e-128	0.685192109856985	0.685319492662313	-3791.52858720435
log_surface	0.848427800746839	0	3.59050467357053e-118	0.341722148999583	0.341785677936002	-1815.57510452729
svratio	1	0	1	0.82309956394125	0.823252584867805	-2669.25520233661
volume	1	0	1	27531894163.8856	27537012567.7086	-67856.7695327386
surface	1	0	1	587220447.371559	587329616.445248	-57506.4562613522
genome	0.999939761124267	0	0.927898786514959	2529164573560.14	2529634765895.81	-80017.5092834867
gc	1	0	1	65.3225368661797	65.3346808589044	-14435.356127023
proteins	0.999134298006264	0	0.591282546333387	2004940.91727244	2005313.65215202	-42242.4333803986
coding	0.957996792949535	0	4.40572754998462e-65	10.5764352123153	10.5784014579395	-10098.3514676775
rrnas	0.757836072015798	0	0	4.20978392025141	4.21056655343978	-9120.74148705134
log_svratio	0.829668474994755	0	3.89142566251913e-129	0.0808637051874818	0.0808787384102346	1935.25966978426
log_genome	0.998903629652635	0	0.298438827710026	0.025856801018162	0.0258616080084982	6621.16639246559
log_proteins	0.991294825239628	0	1.24435290817508e-08	0.0236894690814549	0.0236938731470956	6738.09084851502
MILC	0.993503433390221	0	0.045031380723041	0.0579048584917765	0.057915623477553	4367.11957829497
ENCprime	1	0	1	0.006463341625328	0.00646454321328585	10368.9883986543
log_coding	0.954220689397651	0	3.63816461849834e-75	0.000266721295192934	0.000266770880858521	18341.2463592816
log_rrnas	7.12457640674129e-218	1	1	0.01	0.0100018590816137	-1e+200
hash	0.0172083034884281	0.0208299159161237	0	0.590682301575232	0.590792114235871	-6067.50891854544
