lambda	pval0	pval1	sigsq	sigsq_unb	lnL
log_volume	0.725765991591844	5.34487435711379e-121	7.72380851349159e-75	0.592658241429491	0.593093379639057	-1057.56784670517
log_surface	0.748959582970675	4.73336479746943e-112	1.46124786172833e-71	0.298662970271801	0.298882252922514	-561.98674932942
svratio	0.463948078264407	8.52282965954998e-89	1.11341637524204e-10	0.0510550896981103	0.0510925750796801	372.258436682742
volume	0.0281503824104339	0.0121224809530529	1.60391390282463e-91	195032.162716657	195175.358137154	-10182.1116526447
surface	1.07523534125755e-163	1	1.49313767017927e-45	8704.82700181356	8711.21821106599	-8068.97991070864
genome	0.998319894405553	1.16722285271392e-286	0.378888295292778	4753077098926.01	4756566876531.68	-20734.2606650518
gc	1	0	1	128.084164102738	128.17820533923	-4139.88901627484
proteins	0.996498150222502	7.37498805250896e-263	0.494884094425795	3702380.37658719	3705098.71753916	-11157.7539588418
coding	0.942030906220645	1.15403852433276e-254	3.19570619192224e-23	21.4629765157093	21.4787349419323	-3129.02430562924
rrnas	0.213913298602026	9.98950537408e-12	1.41441505201507e-155	4.08545805463044	4.08845765672635	-2764.0221052829
log_svratio	0.762307572858176	1.34798918724357e-164	4.61352225427654e-67	0.0769429535516461	0.0769994461753992	379.526323383644
log_genome	0.993933900815611	0	0.0598952307274018	0.0485671786283007	0.0486028373497606	1199.04820669083
log_proteins	0.982557124532845	4.68313776296903e-310	5.54809671333812e-06	0.0441312434803916	0.04416364527443	1216.92241629808
ENCprime	1	9.66243875719422e-314	1	0.0120100271946386	0.0120188451294365	2180.81968691067
arc_coding	0.946383901570382	7.9262374782038e-245	2.64712977601922e-22	0.00489961570817662	0.00490321307653798	2597.29885151897
arc_gc	1	0	1	0.0133487278777806	0.0133585287058847	2108.79931904172
hash	2.0127428911958e-217	1	4.26962092003418e-159	0.584671650526999	0.585100924866593	-1520.89765231792
