lambda	pval0	pval1	sigsq	sigsq_unb	lnL	n
0.0_0.2	0.842788489602314	9.07130949768623e-311	4.8500439781732e-48	0.0923026418052864	0.0923649663439801	560.03903827905	1482
0.2_0.4	0.865532573710804	0	9.74801547687955e-78	0.0937084632290954	0.0937319490594786	1536.65443190919	3991
0.4_0.6	0.837680059089271	0	6.34646132540731e-114	0.0838337315969897	0.0838507226248773	1830.58288642942	4935
0.6_0.8	0.841815881776359	0	2.34751106313102e-117	0.0843731189584018	0.0843895755839057	1878.27925890635	5128
0.8_1.0	0.841443103477771	0	9.61063312790613e-116	0.0846463321136164	0.0846630738723415	1845.83832603647	5057
1.0_1.2	0.833428496948381	0	1.11409352288124e-125	0.0817154009195576	0.0817308949280748	1906.99993640718	5275
1.2_1.4	0.829299825342998	0	3.23571187132543e-129	0.0807666632812729	0.0807816840481097	1936.02579273726	5378
1.4_1.6	0.829671379480024	0	3.89142553238845e-129	0.0808647026951143	0.0808797361033119	1935.25966981764	5380
1.6_1.8	0.829668475003452	0	3.89142566251824e-129	0.0808637051886325	0.0808787384113855	1935.25966978426	5380
1.8_2.0	0.829668474997818	0	3.89142566251913e-129	0.0808637051878865	0.0808787384106395	1935.25966978426	5380
2.0_2.2	0.840497122860704	0	1.55810458914989e-113	0.0829197867438987	0.0829365687286677	1766.34329653139	4942
2.2_2.4	0.68102189437576	5.22504064415869e-319	8.07319247547684e-94	0.0487718400087144	0.0487883784420846	1237.70405511705	2950
2.4_2.6	0.622210193846061	1.09673003875437e-130	3.85842865059556e-30	0.0441548394079061	0.0442298051793966	180.826648865222	590
2.6_2.8	0.771295005043003	1.99172136468788e-62	1.43004027736931e-07	0.0354445655206064	0.0356109719315013	87.1683209093178	214
