sample_size	lambda	pval0	pval1	sigsq	sigsq_unb	lnL
10	4175	0.838607545194368	0	7.1585492551212e-105	0.0880461813881681	0.0880672753463349	1363.72567635607
20	4720	0.841703615926409	0	9.78654221468045e-111	0.0862469069354502	0.0862651834573691	1628.45097894885
30	4984	0.838602928631241	0	3.64884202838946e-116	0.0843107506264994	0.0843276703035266	1758.18499373314
40	5102	0.8384276570281	0	2.33097412199934e-118	0.0839842154001191	0.0840006796650475	1804.73307458067
50	5181	0.832884725660599	0	4.78266942656094e-123	0.0821220883197808	0.0821379420047846	1850.88432197037
60	5237	0.833615100392398	0	8.24191277352719e-124	0.0820042697191868	0.0820199313444196	1876.77970845712
70	5277	0.83118400622324	0	7.38240431976673e-126	0.0813244109653127	0.0813398249931681	1893.83443735986
80	5304	0.831546606032978	0	9.59381580039586e-126	0.0814657432745753	0.0814811054739482	1899.68398765823
90	5324	0.830109660249706	0	5.31887644776496e-127	0.080897574312516	0.0809127720533224	1916.7191316738
100	5344	0.83045734857815	0	5.30401196623548e-128	0.0812753895886995	0.0812906011532866	1914.17482091695
110	5364	0.83045774782949	0	3.31806587344905e-128	0.0810487505356338	0.0810638631126496	1928.24604198154
119	5380	0.829669979850013	0	3.89142556291312e-129	0.0808643029256785	0.0808793362595557	1935.25966980981
