lambda	pval0	pval1	sigsq	sigsq_unb	lnL
100	0.794837596627656	0.00573077626392899	0.0508148163862317	0.0630645119153491	0.0637015271872214	26.6491245562682
500	0.764165464479528	4.63929258341644e-45	4.87815591512947e-12	0.0758714909283826	0.0760235380043914	109.348214183035
1500	0.792659141241253	6.45784225602884e-166	9.03855211887918e-31	0.0691133605161207	0.0691594668273389	509.181878061539
2000	0.802873479975928	5.53747637749489e-250	1.7117377129126e-36	0.0689674363265424	0.06900193729519	731.565955610687
2500	0.797804095302842	1.48219693752374e-323	2.21586532263915e-67	0.0705743603276518	0.0706026013681991	900.830899590741
3000	0.806658428989958	0	3.71994899213186e-77	0.0737470782736462	0.0737716688299229	1065.00995435416
3500	0.823993681309692	0	5.1875180530381e-85	0.0771193746160326	0.0771414150203241	1263.66120955621
4000	0.837651315564605	0	5.16902535577626e-85	0.0815492082345077	0.0815696006346664	1419.65613965684
4500	0.832531197648974	0	8.51868495031966e-99	0.0801527131447112	0.0801705288177818	1624.7344218204
5000	0.835167641935659	0	3.74768563171855e-113	0.0821140259225503	0.0821304520129529	1779.61059233501
5380	0.829668475003585	0	3.89142566251824e-129	0.0808637051886498	0.0808787384114028	1935.25966978426
