Name,Shape,Length,Width,Diameter,Subspecies,File #,Notes
Thermoproteus tenax,rod,1-100,0.4,,No,7,
Thermoproteus neutrophilus,rod,1-100,0.4,,No,7,
Thermoproteus uzoniensis,rod,1.0-20.0,0.3-0.4,,No,7,
Caldivirga maquilingensis,rod,3.0-20.0,0.4-0.7,,No,7,
Pyrobaculum islandicum,rod,1.5-8,0.5-0.8,,No,7,
Pyrobaculum aerophilum,rod,1.5-8,0.5-0.8,,No,7,
Pyrobaculum organotrophum,rod,1.5-8,0.5-0.8,,No,7,
Thermocladium modestius,rod,5.0-20.0,1.0-3.0,,No,7,
Thermofilum pendens,rod,1-100,0.15-0.35,,No,7,
Desulfurococcus mucosus,spherical,0.2-5,0.2-5,,No,7,
Ignicoccus islandicus,spherical,0.2-5,0.2-5,,No,7,
Ignicoccus pacificus,spherical,1.0-2.0,1.0-2.0,,No,7,
Staphylothermus marinus,spherical,0.5-15,0.5-15,,No,7,
Stetteria hydrogenophila,spherical,0.5-15,0.5-15,,No,7,
Sulfophobococcus zilligii,spherical,40,3.0-5.0,,No,7,
Pyrodictium occultum,disk,0.1-0.2,0.3-2.5,,No,7,
Pyrodictium abyssi,disk,1.0-2.0,,,No,7,
Pyrodietium broekü,disk,0.2,0.3-2.5,,No,7,
Hyperthermus butylicus,spherical,1.5,1.5,,No,7,
Pyrolobus fumarii,spherical,0.7-2.5,0.7-2.5,,No,7,
Sulfolobus acidocaldarius,spherical,0.7-2.0,0.7-2.0,,No,7,
MetaIlosphaera sedula,spherical,0.6-1.5,0.6-1.5,,No,8,
Metallosphaera prunae,spherical,0.6-1.5,0.6-1.5,,No,8,
Stygiolobus azoricus,spherical,0.5-1.8,0.5-1.8,,No,8,
Sulfurisphaera ohwakuensis,spherical,1.2-1.5,1.2-1.5,,No,8,
Sulfurococcus mirabilis,spherical,0.8-2.5,0.8-2.5,,No,8,
Sulfurococcus yellowstonensis,spherical,0.8-1,0.8-1,,No,8,
Methanobacterium formicicum,rod,2.0-15.0,0.4-0.8,,No,8,
Methanobacterium alcaliphilum,rod,2.0-25.0,0.5-0.6,,No,8,
