Name,Date Modified,Shape,Length,Width,Diameter,Subspecies,File #
Fusobacterium nucleatum,07/04/2022,rod,3,0.4-0.7,,No,8
Fusobacterium nucleatum subsp. nucleatum,07/04/2022,rod,3,0.4-0.7,,Yes,8
Fusobacterium nucleatum subsp. animalis,07/04/2022,rod,3,0.4-0.7,,Yes,8
Fusobacterium nucleatum subsp. fusiforme,07/04/2022,rod,3,0.4-0.7,,Yes,8
Fusobacterium nucleatum subsp. polymorphum,07/04/2022,rod,3,0.4-0.7,,Yes,8
Fusobacterium nucleatum subsp. vincentii,07/04/2022,rod,3,0.4-0.7,,Yes,8
Fusobacterium canifelinum,07/04/2022,rod,4-10,0.4-0.7,,No,8
Fusobacterium equinum,07/04/2022,rod,4-10,0.4-0.7,,No,8
Fusobacterium gonidiaformans,07/04/2022,spheroid,0.7-3.0,0.4-0.7,,No,8
Fusobacterium mortiferum,07/04/2022,,1.5-10,0.8-1.0,,No,8
Fusobacterium naviforme,07/04/2022,concave,4-10,,,No,8
Fusobacterium necrogenes,07/04/2022,rod,1.5-4.0,0.7-0.8,,No,8
Fusobacterium necrophorum,07/04/2022,rod,1.8,0.5-0.7,,No,8
Fusobacterium necrophorum subsp. necrophorum,07/04/2022,rod,1.8,0.5-0.7,,Yes,8
Fusobacterium necrophorum subsp. funduliforme,07/04/2022,rod,1.8,0.5-0.7,,Yes,8
Fusobacterium perfoetens,07/04/2022,oval,0.8-1.0,0.6-0.8,,No,8
Fusobacterium peridonticum,07/04/2022,rod,4.0-7.0,0.5-1.0,,No,8
Fusobacterium russii,07/04/2022,,1.5-4.0,,,No,8
Fusobacterium simiae,07/04/2022,spindle,4-10,0.4-0.7,,No,8
Fusobacterium ulcerans,07/04/2022,rod,0.5-4.5,,,No,8
Fusobacterium varium,07/04/2022,rod,0.7-2.0,0.3-0.7,,No,8
Cetobacterium ceti,07/04/2022,rod,4-10,0.4-0.7,,No,8
Cetobacterium somerae,07/04/2022,rod,4-10,0.4-0.7,,No,8
Ilyobacter polytropus,07/04/2022,rod,1.5-3.0,0.7,,No,8
Ilyobacter insuetus,07/04/2022,rod,1.0-1.5,0.8-1.0,,No,8
Ilyobacter tartaricus,07/04/2022,rod,1.2-2.5,1.0-1.2,,No,8
Propionigenium modestum,07/04/2022,rod,0.5-2.0,0.5-0.6,,No,8
Propionigenium maris,07/04/2022,rod,1.2-2.5,1,,No,8
Leptotrichia buccalis,07/04/2022,rod,5-15,0.8-1.5,,No,8
Leptotrichia goodfellowii,07/04/2022,rod,5-15,0.5-3.0,,No,8
Leptotrichia hofstadii,07/04/2022,rod,5-15,0.5-3.0,,No,8
Leptotrichia shahii,07/04/2022,rod,5-15,0.5-3.0,,No,8
Leptotrichia trevisanii,07/04/2022,rod,6-13,0.8-0.9,,No,8
Leptotrichia wadei,07/04/2022,rod,5-15,0.5-3.0,,No,8
Sebaldella termitidis,07/04/2022,rod,2-12,0.3-0.5,,No,8
Sneathia sanguinegens,07/04/2022,rod,,,,No,8
Streptobacillus moniliformi,07/04/2022,rod,,,,No,8
Spirochaeta plicatilis,07/04/2022,helical,80-250,0.75,,No,9
Spirochaeta africana,07/04/2022,helical,15-30,0.25-0.3,,No,9
Spirochaeta alkalica,07/04/2022,helical,9-18,0.4-0.5,,No,9
Spirochaeta americana,07/04/2022,helical,5-250,0.2-0.75,,No,9
Spirochaeta asiatica,07/04/2022,helical,15-22.5,0.2-0.25,,No,9
Spirochaeta aurantia,07/04/2022,helical,5-50,0.3,,No,9
Spirochaeta aurantia subsp. aurantia,07/04/2022,helical,5-50,,0.3,Yes,9
Spirochaeta aurantia subsp. stricta,07/04/2022,helical,5-50,,0.3,Yes,9
Spirochaeta bajacaliforniensis,07/04/2022,helical,15-45,0.2-0.3,,No,9
Spirochaeta caldaria,07/04/2022,helical,15-45,0.2-0.3,,No,9
Spirochaeta cellobiosiphila,07/04/2022,helical,10-12,0.3-0.4,,No,9
Spirochaeta halophila,07/04/2022,helical,15-30,0.4,,No,9
Spirochaeta isovalerica,07/04/2022,helical,10-15,0.4,,No,9
Spirochaeta litoralis,07/04/2022,helical,5.5-7.0,0.4-0.5,,No,9
Spirochaeta smaragdinae,07/04/2022,spiral,5-30,0.3-0.5,,No,9
Spirochaeta stenostrepta,07/04/2022,helical,15-45,0.2-0.3,,No,9
Spirochaeta thermophila,07/04/2022,helical,16-50,0.2-0.25,,No,9
Spirochaeta zuelzerae,07/04/2022,helical,0.2-0.35,8-16,,No,9
spherical,07/04/2022,helical,5-250,0.2-0.75,,No,9
Borrelia anserina,07/04/2022,helical,8-20,0.2-0.3,,No,9
Borrelia afzelii,07/04/2022,helical,3-30,0.2-0.5,,No,9
Borrelia baltazardii,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia brasiliensis,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia burgdorferi,07/04/2022,helical,4-30,0.2-0.3,,No,9
Borrelia caucasica,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia coriaceae,07/04/2022,helical,3-30,0.2-0.5,,No,9
Borrelia crocidurae,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia dugesii,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia duttonii,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia garinii,07/04/2022,helical,3-30,0.2-0.5,,No,9
Borrelia graingeri,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia harveyi,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia hermsii,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia hispanica,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia japonica,07/04/2022,helical,4-30,0.2-0.3,,No,9
Borrelia latyschewii,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia lusitaniae,07/04/2022,helical,4-30,0.2-0.3,,No,9
Borrelia mazzottii,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia miyamotoi,07/04/2022,helical,4-30,0.2-0.3,,No,9
Borrelia parkeri,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia persica,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia recurrentis,07/04/2022,helical,8-18,0.3-0.6,,No,9
Borrelia sinica,07/04/2022,helical,4-30,0.2-0.3,,No,9
Borrelia spielmanii,07/05/2022,helical,3-30,0.2-0.5,,No,9
Borrelia tanukii,07/05/2022,helical,3-30,0.2-0.5,,No,9
Borrelia theileri,07/05/2022,,20-30,0.25-0.30,,No,9
Borrelia tillae,07/05/2022,helical,8-18,0.3-0.6,,No,9
Borrelia turcica,07/05/2022,helical,10-25,0.2- 0.28,,No,9
Borrelia turdi,07/05/2022,helical,3-30,0.2-0.5,,No,9
Borrelia turicatae,07/05/2022,helical,8-18,0.3-0.6,,No,9
Borrelia valaisiana,07/05/2022,helical,3-30,0.2-0.5,,No,9
Borrelia venezuelensis,07/05/2022,helical,8-18,0.3-0.6,,No,9
Treponema pallidum,07/05/2022,helical,6-20,0.18,,No,9
Treponema pallidum subsp. pallidum,07/05/2022,helical,6-20,0.25,0.18,Yes,9
Treponema pallidum subsp. pertenue,07/05/2022,helical,6-20,0.2-0.3,0.18,Yes,9
Treponema pallidum subsp. endemicum,07/05/2022,helical,6-20,,0.18,Yes,9
Treponema amylovorum,07/05/2022,helical,7,0.25,,No,9
Treponema azotonutricium,07/05/2022,helical,10-12,0.2-0.3,,No,9
Treponema berlinense,07/05/2022,helical,6,0.3,,No,9
Treponema bryantii,07/05/2022,helical,10-12,0.2-0.3,,No,9
Treponema brennaborense,07/05/2022,helical,5-8,0.25-0.55,,No,9
Treponema carateum,07/05/2022,helical,6-20,0.18,,No,9
Treponema denticola,07/05/2022,helical,6.8-8.68,0.18-0.22,,No,9
Treponema lecithinolyticum,07/05/2022,helical,5,0.15,,No,9
Treponema maltophilum,07/05/2022,helical,5,0.2,,No,9
Treponema medium,07/05/2022,helical,5-16,0.2-0.3,,No,9
