ID,designation_header,strain_number_header,is_type_strain_header,species,Cell length (µm),Cell Width (µm),Cell Shape,Reference,NCBI ID
159837.0,OUC007,"KCTC 52933, MCCC 1K03450, OUC007",1.0,Abyssibacter profundi,1.7-1.9,0.4-0.6,rod-shaped,66716.0,2182787
132478.0,L81,"DSM 29592, JCM 30920",1.0,Abyssivirga alkaniphila,2.0-5.0,0.5,rod-shaped,43989.0,1675854
24718.0,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1.0,Acanthopleuribacter pedis,2.4-4.7,0.7-1,rod-shaped,32501.0,442870
7517.0,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141",1.0,Acaricomes phytoseiuli,1-1.5,0.5-0.8,coccus-shaped,31628.0,291968
134101.0,Z7,"JCM 12359, AS1.5012",1.0,Acetanaerobacterium elongatum,6,0.3,rod-shaped,31285.0,258515
2853.0,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1.0,Acetivibrio clariflavus,2-5,"3.5, 2-5",,,720554
,,,,,3.5,,,,
132679.0,GGR1,"DSM 101079, CECT 9155",1.0,Acetivibrio saccincola,5.0-10.0,0.2,rod-shaped,25017.0,1677857
2827.0,CSK1,"DSM 16021, IAM 15070",1.0,Acetivibrio straminisolvens,3.0-8.0,0.5-1.0,filament-shaped,23077.0,253314
12.0,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894",1.0,Acetobacter cerevisiae,2.0-4.0,1,rod-shaped,23233.0,178900
23.0,"985, R-36330","DSM 19596, LMG 24244",1.0,Acetobacter fabarum,1.2-3.0,0.8,rod-shaped,23238.0,483199
22.0,"430A, R-29337","DSM 18895, LMG 23848",1.0,Acetobacter ghanensis,1.5-2.5,0.8,rod-shaped,23237.0,431306
13.0,,"DSM 14337, CIP 108768, LMG 1746",1.0,Acetobacter malorum,1.1-1.3,0.9,ellipsoidal,23233.0,178901
132413.0,Bo7,"DSM 23824, CECT 7722",1.0,Acetobacter musti,1.2-1.7,1.2,coccus-shaped,43764.0,864732
20.0,RG1,"DSM 23921, LMG 23498, MTCC 6912, RG1",1.0,Acetobacter nitrogenifigens,1.5-2.0,0.1-0.2,rod-shaped,23235.0,1120919
19.0,B13,"DSM 23926, CECT 5830, LMG 21952",1.0,Acetobacter oeni,3.6-5.1,0.8-0.9,rod-shaped,23234.0,304077
11.0,,"DSM 11825, LTH 2458",1.0,Acetobacter pomorum,1.3-1.6,0.8-1.2,,23232.0,65959
21.0,CWBI-B418,"DSM 18889, LMG 23690",1.0,Acetobacter senegalensis,1.2-2.0,0.8,coccus-shaped,23236.0,446692
17779.0,OS1,"DSM 22491, ATCC BAA 1850",1.0,Acetomicrobium hydrogeniformans,1.7-2.7,1.7-2.7,,,592015
17777.0,NGA,"DSM 13181, ATCC BAA 54, JCM 12221",1.0,Acetomicrobium mobile,2-8,2-8,,,97477
140509.0,,"LMG 3411, CCUG 62454",1.0,Achromobacter agilis,0.9-1.5,0.4-0.7,rod-shaped,43168.0,1353888
133323.0,,"AVA-1, LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1.0,Achromobacter aloeverae,2.5-3.0,0.8-1.2,rod-shaped,25141.0,1750518
140506.0,,"LMG 3458, CCUG 62433",1.0,Achromobacter deleyi,0.9-2.0,0.4-0.7,rod-shaped,43168.0,1353891
