taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	superkingdom
1272	1.161895003862225	1.161895003862225	0.8212951818846564	4.241150082346222	sphere	Kocuria varians	Kocuria	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1274	1.2000000000000002	1.2000000000000002	0.9047786842338608	4.523893421169302	sphere	Dermacoccus nishinomiyaensis	Dermacoccus	Dermacoccaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1275	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	sphere	Kocuria rosea	Kocuria	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1276	0.938083151964686	0.938083151964686	0.4322376870047302	2.764601535159018	sphere	Kytococcus sedentarius	Kytococcus	Kytococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1381	1.5491933384829668	0.7745966692414834	0.6083668013960418	3.769911184307752	rods	Atopobium minutum	Atopobium	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
1382	0.4242640687119285	0.4242640687119285	0.039985946443425305	0.5654866776461628	coccus	Lancefieldella parvula	Lancefieldella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
1575	2.316584370576538	0.28284271247461906	0.139621833306098	2.0584626349677677	rods	Leifsonia xyli	Leifsonia	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1646	1.224744871391589	0.5477225575051661	0.24555568271482825	2.107444419312217	rods	Renibacterium salmoninarum	Renibacterium	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1657	1.7320508075688772	0.5	0.3073624573190221	2.7206990463513265	rods	Actinobaculum suis	Actinobaculum	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
1661	0.8660254037844386	0.42426406871192857	0.10243848386409705	1.1542948471456778	rods	Trueperella pyogenes	Trueperella	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
1693	1.3964240043768943	0.3	0.09163881288197803	1.3160986180340677	rods	Bifidobacterium minimum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
1697	2.1213203435596424	0.848528137423857	1.0396346075290577	5.6548667764616285	rods	Corynebacterium ammoniagenes	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1708	2.0	0.458257569495584	0.30467320288579147	2.8793172275584813	rods	Cellulomonas fimi	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1709	2.0	0.458257569495584	0.30467320288579147	2.8793172275584813	rods	Cellulomonas biazotea	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1711	2.0	0.458257569495584	0.30467320288579147	2.8793172275584813	rods	Cellulomonas flavigena	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1712	2.0	0.458257569495584	0.30467320288579147	2.8793172275584813	rods	Cellulomonas gelida	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1713	1.1	0.4	0.12147491593880534	1.3823007675795091	rods	Oerskovia turbata	Oerskovia	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1714	2.0	0.458257569495584	0.30467320288579147	2.8793172275584813	rods	Cellulomonas uda	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1717	2.8284271247461903	0.4898979485566356	0.5023647566551193	4.353118474162122	rods	Corynebacterium diphtheriae	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1718	1.7320508075688772	0.8366600265340756	0.7989187083031155	4.552600272623071	rods	Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1719	1.7320508075688772	0.5477225575051661	0.3650868278811078	2.9803764797388297	rods	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1724	3.0000000000000004	0.7	1.0647381101791404	6.5973445725385655	rods	Corynebacterium renale	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1727	2.213594362117865	0.938083151964686	1.3138077494302345	6.523628911694571	rods	Corynebacterium variabile	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1750	3.872983346207418	0.2449489742783178	0.17866239092832692	2.98037647973883	rods	Arachnia propionica	Arachnia	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
1764	1.4142135623730951	1.4142135623730951	1.4809609793861225	6.283185307179588	coccus-bacilli	Mycobacterium avium	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1766	3.464101615137755	0.7071067811865476	1.267789461964031	7.6952989809711845	rods	Mycolicibacterium fortuitum	Mycolicibacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1769	2.8284271247461903	0.3872983346207417	0.3180070503269765	3.4414423257272864	rods	Mycobacterium leprae	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1773	2.0	0.4242640687119285	0.2627503656013687	2.66572976289502	rods	Mycobacterium tuberculosis	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1774	2.449489742783178	0.316227766016838	0.18410365096944953	2.433467205584167	rods	Mycobacteroides chelonae	Mycobacteroides	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1775	1.630950643030009	0.8	0.6857639228085355	4.0990260468085005	rods	Mycobacterium cookii	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
