taxid	length	width	volume	surface	class	phylum	superkingdom
1236	1.8850282492956323	0.6221823527632975	0.5011858499771331	3.6845582310781526	Gammaproteobacteria	Proteobacteria	Bacteria
1760	1.3030073422253787	0.5855664420571712	0.28944252525447584	2.3970269428601245	Actinomycetia	Actinobacteria	Bacteria
28211	1.7235722334785952	0.6408720716957123	0.47745297887682386	3.4701696552046406	Alphaproteobacteria	Proteobacteria	Bacteria
28216	1.6252035626232937	0.6086194503326524	0.40712048911620696	3.1074451089820627	Betaproteobacteria	Proteobacteria	Bacteria
28221	2.7320416084490895	0.7180795827882711	0.997551504332951	6.163249661754366	Deltaproteobacteria	Proteobacteria	Bacteria
29547	1.8649384418857948	0.4601550959878978	0.2809764738393064	2.6959920661778645	Epsilonproteobacteria	Proteobacteria	Bacteria
31969	1.0	0.3499999999999999	0.08498662626429886	1.0995574287564276	Mollicutes	Tenericutes	Bacteria
32061	2.519881573914738	0.648074069840786	0.7318136894710898	5.1304404230184755	Chloroflexia	Chloroflexi	Bacteria
67799	1.4217842556092037	0.5240921009721671	0.2660863837585448	2.340944877914135	Thermodesulfobacteria	Thermodesulfobacteria	Bacteria
68337	2.308667154536208	0.40453913208906467	0.2781350157885499	2.9340785426920473	Deferribacteres	Deferribacteres	Bacteria
84992	1.1025456661427564	0.4752649522728906	0.1652950661644268	1.6461986766426209	Acidimicrobiia	Actinobacteria	Bacteria
84995	1.7507820337135667	0.7258168354521544	0.6194141116644308	3.9921696762592678	Rubrobacteria	Actinobacteria	Bacteria
84998	1.4252296737366719	0.49730840283704025	0.2429571487938033	2.2266939340762244	Coriobacteriia	Actinobacteria	Bacteria
91061	2.619412856743389	0.6900148231198562	0.8714076238392127	5.678220430703378	Bacilli	Firmicutes	Bacteria
117743	2.188004898198584	0.4679294223746627	0.3433743307672529	3.216462675544548	Flavobacteriia	Bacteroidetes	Bacteria
117747	1.7014141897006823	0.5355846751762564	0.3376231227825088	2.862780597411169	Sphingobacteriia	Bacteroidetes	Bacteria
118001	3.741657386773941	0.12247448713915889	0.043599406408210535	1.4396586137792406	Chrysiogenetes	Chrysiogenetes	Bacteria
134549	1.4	0.9	0.6997897635871264	3.9584067435231387	Spartobacteria	Verrucomicrobia	Bacteria
171536	0.4472135954999579	0.4472135954999579	0.04683209820693818	0.6283185307179586	Methanonatronarchaeia	Euryarchaeota	Archaea
183924	1.1164350423896134	1.1164350423896134	0.728616498468221	3.915766546929732	Thermoprotei	Crenarchaeota	Archaea
183925	3.7470171859448733	0.4195087760643951	0.49427149362742967	4.938290206482548	Methanobacteria	Euryarchaeota	Archaea
