taxid	length	width	volume	surface	class	phylum	superkingdom
1236	1.9132881479378028	0.6284455036399018	0.5189362652917977	3.777442630370484	Gammaproteobacteria	Proteobacteria	Bacteria
1760	1.3488432451112295	0.5960959226841938	0.30901760622559454	2.525966027604532	Actinomycetia	Actinobacteria	Bacteria
28211	1.7210794481323652	0.6408114193098021	0.4766066539051608	3.4648228401735213	Alphaproteobacteria	Proteobacteria	Bacteria
28216	1.6185517662551785	0.6086115530850897	0.40494065373059657	3.094686489380367	Betaproteobacteria	Proteobacteria	Bacteria
28221	2.7554601569971355	0.7247780621242818	1.0247596542192292	6.274065492568264	Deltaproteobacteria	Proteobacteria	Bacteria
29547	1.8028723526050439	0.46989213509366456	0.2796439513257725	2.661417617980544	Epsilonproteobacteria	Proteobacteria	Bacteria
31969	0.7808480349797149	0.19683540873713257	0.020633477430148966	0.48285821081307584	Mollicutes	Tenericutes	Bacteria
32061	2.519881573914738	0.648074069840786	0.7318136894710898	5.1304404230184755	Chloroflexia	Chloroflexi	Bacteria
67799	1.4217842556092037	0.5240921009721671	0.2660863837585448	2.340944877914135	Thermodesulfobacteria	Thermodesulfobacteria	Bacteria
68337	2.308667154536208	0.4045391320890646	0.27813501578854993	2.9340785426920473	Deferribacteres	Deferribacteres	Bacteria
84992	0.9619336342228159	0.4676199144696193	0.13496138673076583	1.4131490829694167	Acidimicrobiia	Actinobacteria	Bacteria
84995	1.8100124406342848	0.7647271805608441	0.7100053045406407	4.348484827477516	Rubrobacteria	Actinobacteria	Bacteria
84998	1.136812979638036	0.484966323187552	0.17704891050730878	1.732010329608853	Coriobacteriia	Actinobacteria	Bacteria
91061	2.6012926440642588	0.694002574743932	0.8730684998677181	5.671529132465184	Bacilli	Firmicutes	Bacteria
117743	2.188809717433223	0.4671184794223803	0.34247040699897896	3.212069468561805	Flavobacteriia	Bacteroidetes	Bacteria
117747	1.7014141897006823	0.5355846751762563	0.33762312278250867	2.8627805974111693	Sphingobacteriia	Bacteroidetes	Bacteria
118001	3.741657386773941	0.12247448713915889	0.043599406408210535	1.4396586137792406	Chrysiogenetes	Chrysiogenetes	Bacteria
134549	2.2222631579063203	0.8520643448402686	1.0953987424640343	5.948640880763629	Spartobacteria	Verrucomicrobia	Bacteria
171536	0.4472135954999579	0.4472135954999579	0.04683209820693818	0.6283185307179586	Methanonatronarchaeia	Euryarchaeota	Archaea
183924	1.9652031693479093	0.9047943208253904	0.9509680420314098	5.58608055882806	Thermoprotei	Crenarchaeota	Archaea
