taxid	length	width	volume	surface	class	phylum	superkingdom
1236	4.476330269419016	1.0178712905848872	3.212990599563322	14.314126787086112	Gammaproteobacteria	Proteobacteria	Bacteria
1760	2.8284271247461903	0.316227766016838	0.21386532335308825	2.8099258924162913	Actinomycetia	Actinobacteria	Bacteria
28211	0.9058701547490592	0.36073846541860377	0.07920361569784184	1.0266165886660714	Alphaproteobacteria	Proteobacteria	Bacteria
28216	1.2276529879838798	0.6080795147379505	0.2819959614605464	2.345232321087259	Betaproteobacteria	Proteobacteria	Bacteria
29547	1.122462048309373	0.6299605249474366	0.26163873393309206	2.221441469079183	Epsilonproteobacteria	Proteobacteria	Bacteria
31969	0.2449489742783178	0.2449489742783178	0.0076952989809711825	0.18849555921538763	Mollicutes	Tenericutes	Bacteria
91061	1.6439130697031787	0.8164204015463301	0.6733284718868613	4.2164074278842625	Bacilli	Firmicutes	Bacteria
186801	34.64101615137755	7.544600578097611	1436.1782382127349	821.0635039172734	Clostridia	Firmicutes	Bacteria
200643	2.8284271247461903	1.6124515496597098	4.678186865358453	14.327866957180287	Bacteroidia	Bacteroidetes	Bacteria
203692	20.45710474562765	0.3458238264468214	1.9071022045561914	22.2253676314394	Spirochaetia	Spirochaetes	Bacteria
2885752	0.4	0.4	0.03351032163829113	0.5026548245743669	Nanoarchaeia	Nanoarchaeota	Archaea
