taxid	length	width	volume	surface	family	order	class	phylum	superkingdom
1268	1.1174570110900541	0.7985394271120898	0.4080080538431033	2.8033483099014105	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1653	1.7209393704587224	0.5588263669704062	0.37118407370011136	3.021289434958048	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1762	1.8788100060644535	0.6133622432245721	0.4812420922567678	3.620343476379114	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
2049	1.9684696914562185	0.6441897610049596	0.5614821403721817	3.9837531761502105	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
31953	2.2145523726199894	0.7920956547102256	0.9082592067607561	5.510784891134937	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
31957	1.0424106423464479	0.7909368977733697	0.3548173885501388	2.5901835772307544	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
83778	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	Kineosporiaceae	Kineosporiales	Actinomycetia	Actinobacteria	Bacteria
84994	0.4242640687119285	0.4242640687119285	0.039985946443425305	0.5654866776461628	Acidimicrobiaceae	Acidimicrobiales	Acidimicrobiia	Actinobacteria	Bacteria
84997	2.0	0.8944271909999159	1.0693086686081643	5.619851784832581	Rubrobacteraceae	Rubrobacterales	Rubrobacteria	Actinobacteria	Bacteria
85015	1.4072383354279308	0.5992478955318569	0.32329107082180125	2.6492567388561477	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
85016	1.797488252131884	0.43930185664351706	0.2499552636771894	2.480726991936758	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
85017	0.945778295688213	0.5678213617530261	0.1870299226118488	1.6871393038168372	Promicromonosporaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
85018	2.449489742783178	2.449489742783178	7.6952989809711845	18.849555921538755	Dermatophilaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
85019	1.485644419470856	0.8806795605732417	0.7074164781298465	4.110386548761579	Brevibacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
85020	1.2247448713915892	0.8344089674985024	0.49246351904486363	3.2105132386522217	Dermabacteraceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
85021	1.5590174071591776	0.8595246268518865	0.700448191280958	4.209777683029204	Intrasporangiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
85022	2.449489742783178	0.3872983346207417	0.2733645417515184	2.98037647973883	Jonesiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
85023	1.3652400281541464	0.40782194060935983	0.15697642796010056	1.7491597397572558	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
85025	1.1714825251458683	0.5064840987762569	0.1977280950925394	1.8640240116137914	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
85026	1.1069711536646667	0.4188568541790524	0.13275128408556303	1.4566385626591007	Gordoniaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
