taxid	length	width	volume	surface	family	order	class	phylum	superkingdom
31	4.242640687119285	0.648074069840786	1.3282486597321002	8.637951682675443	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
39	7.869506442680767	0.8467731452101834	4.263051656240985	20.934589250781272	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
49	4.450366701536198	1.0738057663070295	3.7007919033894976	15.013135418392546	Polyangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
126	1.3587578145006554	1.2339288839360185	1.1218018685938518	5.267227272413621	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
137	21.112287818337236	0.28666138562258914	1.3540949686655375	19.013162777398055	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
170	9.011631050735595	0.11607023265101211	0.09489156796879246	3.2860497208057793	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
403	2.124076826380524	1.2659670602152426	2.1192686297791163	8.447778131564696	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
433	1.538686785655664	0.7564391033842136	0.5586646174821275	3.656571482855121	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
444	1.4182181902032591	0.6245847735921135	0.3671700895305783	2.7828148784573536	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria
468	1.35278821195211	0.812428474546852	0.5485370486899579	3.4527474989785056	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria
481	1.0488957405092545	0.7298835718675298	0.32489894663939295	2.4051146471696287	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
506	1.3842958855392926	0.6555501946023607	0.3848058940031962	2.8509181666715766	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
543	2.361833381728733	0.8382797109249086	1.136087647831301	6.2199670523120005	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
641	1.96630363211104	0.7461329248919657	0.7420098741821771	4.609105604108051	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
712	0.9306048591020996	0.3256777812163153	0.06835791104850766	0.952145499893453	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
772	1.2728803992068294	0.5121069099588174	0.22667973138521633	2.0478498352658128	Bartonellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
775	1.1762057847982872	0.37837050802802574	0.11710844765453392	1.398139359336975	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
809	0.5477225575051662	0.5477225575051662	0.08603605814318219	0.9424777960769384	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria
815	2.2021439736613817	0.7963357445659011	0.9492300974812178	5.5092412677826825	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
972	6.499999999999999	0.65	2.085003049355901	13.273228961416875	Halanaerobiaceae	Halanaerobiales	Clostridia	Firmicutes	Bacteria
1046	2.345135384534753	1.0081651564706893	1.553809961465909	7.427616560201033	Chromatiaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
1106	5.2915026221291805	0.6	1.4395884510072787	9.974247458479299	Chloroflexaceae	Chloroflexales	Chloroflexia	Chloroflexi	Bacteria
1162	3.5990497094963234	3.5990497094963234	24.40968402219386	40.69354856275646	Nostocaceae	Nostocales		Cyanobacteria	Bacteria
1268	1.1400030942179535	0.7672793558556912	0.392380807127895	2.747953732420356	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
