taxid	length	width	volume	surface	family	order	class	phylum	superkingdom
137	141.42135623730945	0.75	62.36759470112425	333.2162203618773	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
170	12.649110640673515	0.10000000000000002	0.09908408327016188	3.9738353063184406	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
481	0.8572321289096398	0.8572321289096398	0.3298328764027055	2.308589694291355	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
506	0.8	0.4	0.08377580409572784	1.005309649148734	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
543	3.8400321447786614	0.5477225575051662	0.8544368122608141	6.6076245775973055	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
641	2.5664664965748822	0.5517848352762241	0.5655531489792847	4.448926516334614	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
712	0.9306048591020996	0.3256777812163153	0.06835791104850766	0.952145499893453	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
815	2.8284271247461903	1.6124515496597098	4.678186865358453	14.327866957180287	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
1300	0.6546877610394286	0.6546877610394286	0.1469268909341146	1.3465370793018316	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
1762	2.8284271247461903	0.316227766016838	0.21386532335308825	2.8099258924162913	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
2092	0.2449489742783178	0.2449489742783178	0.0076952989809711825	0.18849555921538763	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
31979	4.898979485566356	1.0392304845413265	3.8616259527184966	15.994378577370117	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
32033	1.4315691227432643	0.5692425097622216	0.3156562598120044	2.5601152703688013	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
33958	4.898979485566356	1.0392304845413265	3.8616259527184966	15.994378577370117	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
72294	1.122462048309373	0.6299605249474366	0.26163873393309206	2.221441469079183	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
82115	1.43	0.84	0.6373034857072254	3.7736810954920585	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
90964	0.9306048591020996	0.9306048591020996	0.4219826254481655	2.7206990463513265	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
119060	2.1779385873464316	0.531829589694499	0.44233772210101613	3.638882220012094	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
135617	1297.5181636327682	72.08434242404262	4321316.367328074	293835.4970059436	Thiotrichaceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
135621	1.7976796252524603	0.6119179841783745	0.46169974934172314	3.455853997094729	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
186803	244.94897427831785	54.77225575051659	534129.3945012478	42148.88838624434	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
186817	3.571308584574835	0.8458631925746786	1.8469866441095748	9.490243979646953	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
186820	1.4142135623730951	1.0	0.8489213467404422	4.442882938158366	Listeriaceae	Bacillales	Bacilli	Firmicutes	Bacteria
1643685	39.04106441505677	1.0954451150103321	36.391539547647916	134.35757151942175	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
1655514	0.5738466694161429	0.15491933384829668	0.009843368003314685	0.2792874102115765	Pelagibacteraceae	Pelagibacterales	Alphaproteobacteria	Proteobacteria	Bacteria
1890941	0.4	0.4	0.03351032163829113	0.5026548245743669	Nanoarchaeaceae	Nanoarchaeales	Nanoarchaeia	Nanoarchaeota	Archaea
1892254	62.71363488110063	62.71363488110063	129147.06532496898	12355.883906568648	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria
1903411	1.3416407864998738	0.6324555320336759	0.35525829542380294	2.66572976289502	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
2845253	8.19276122713727	0.1873184797572156	0.22381267414139813	4.821262689890538	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
2881426	0.5916079783099616	0.5916079783099616	0.1084178245770483	1.0995574287564276	Prochlorococcaceae	Synechococcales		Cyanobacteria	Bacteria
