taxid	length	width	volume	surface	genus	family	order	class	phylum	superkingdom
1269	0.5438786529686386	0.5438786529686386	0.08423734341250742	0.9292956392318426	Micrococcus	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1380	1.0194265469082735	0.48205705136679106	0.15667463401835235	1.5438469762258258	Atopobium	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
1645	1.224744871391589	0.5477225575051661	0.24555568271482825	2.107444419312217	Renibacterium	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1654	2.4260383164256543	0.6862229903916658	0.7931364822418904	5.230133717371018	Actinomyces	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
1663	0.9446814327232405	0.8282833936809761	0.35326640050775066	2.4581829751640867	Arthrobacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1678	2.916716640086798	0.8789574682185516	1.5284815953384447	8.054006440759311	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
1696	1.485644419470856	0.8806795605732417	0.7074164781298465	4.110386548761579	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1707	2.0	0.45825756949558405	0.30467320288579147	2.8793172275584813	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1716	1.7209393704587224	0.5588263669704062	0.37118407370011136	3.021289434958048	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1763	1.9587481442858108	0.6341457111488412	0.5344226663270206	3.9022719332141564	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1817	1.1596161117637551	0.509840363047602	0.20031399672004152	1.857369579391934	Nocardia	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1827	2.2583179581272432	0.316227766016838	0.16908905411323116	2.243545908724752	Rhodococcus	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1839	1.8488428463283393	0.6092825170470703	0.4630747506965986	3.53890240903477	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
2038	1.5811388300841898	0.223606797749979	0.05916417052329199	1.1107207345395915	Tropheryma	Tropherymataceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
2040	1.1031073130764355	0.44242895707496716	0.14483547731729915	1.5332436699260443	Aeromicrobium	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
2044	1.7320508075688772	0.4472135954999579	0.24865385553166358	2.433467205584167	Pimelobacter	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
2053	1.1069711536646667	0.4188568541790524	0.13275128408556303	1.4566385626591007	Gordonia	Gordoniaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
2060	2.3643540225079396	0.7952707287670506	1.0405314020242264	5.907141525153634	Tsukamurella	Tsukamurellaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
28048	10.000000000000002	0.4	1.2398819006167718	12.566370614359172	Acidothermus	Acidothermaceae	Acidothermales	Actinomycetia	Actinobacteria	Bacteria
29404	0.9093356434212737	0.9093356434212737	0.39370530429335	2.5977556723416964	Microlunatus	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
32207	0.9138686796852821	0.9138686796852821	0.3996225643700818	2.6237198401921624	Rothia	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
