taxid	length	width	volume	surface	genus	family	order	class	phylum	superkingdom
6	2.75	1.0	1.8980455615438327	8.639379797371925	Azorhizobium	Xanthobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
10	2.006220914929266	0.6467843638084008	0.5882760570009087	4.076506493965472	Cellvibrio	Cellvibrionaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
13	13.160740129524926	0.41195342878142355	1.7339583919197203	17.032496497858244	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria
16	1.5032912570449788	0.2840133325699615	0.08864264715032245	1.3413179366037948	Methylophilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
18	2.0	0.5	0.3599741582238304	3.1415926535897927	Pelobacter	Desulfuromonadaceae	Desulfuromonadales	Deltaproteobacteria	Proteobacteria	Bacteria
20	1.3922079515121712	0.5308715925393103	0.264522656190687	2.3218997726586905	Phenylobacterium	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
22	2.1229972082093256	0.6643427515784072	0.6524794822591236	4.430895388780677	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
42	4.7	0.8	2.2284363889463603	11.812388377497626	Cystobacter	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
53	2.5495097567963922	1.284523257866513	2.74905324874709	10.288416165848044	Nannocystis	Nannocystaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
64	1.2	0.7	0.3720169300625912	2.638937829015426	Herpetosiphon	Herpetosiphonaceae	Herpetosiphonales	Chloroflexia	Chloroflexi	Bacteria
68	2.0844753555825473	0.4938696795950442	0.36241817321264264	3.234141384446078	Lysobacter	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
75	1.9287301521985911	0.8470511463814236	0.9262794720669792	5.132523862412882	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
81	1.75	0.65	0.508807110187647	3.5735616434583894	Hyphomicrobium	Hyphomicrobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
99	1.125138085954425	0.5119317722322865	0.19574372082760488	1.809538312662131	Ancylobacter	Xanthobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
101	4.048658389661706	0.5474176738710271	0.902944114400365	6.962734285567693	Flectobacillus	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
105	6.76641361597642	1.0235546239926345	5.284724678597215	21.75802337625311	Runella	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
