taxid	length	width	volume	surface	genus	family	order	class	phylum	superkingdom
1125	3.24037034920393	3.24037034920393	17.814866446946194	32.98672286269284	Microcystis	Microcystaceae	Chroococcales		Cyanobacteria	Bacteria
1129	1.3413593739251242	1.3413593739251242	1.2636711431608707	5.6524947798131695	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Bacteria
1142	2.934197480175152	2.934197480175152	13.22716105841043	27.047588612108385	Synechocystis	Merismopediaceae	Synechococcales		Cyanobacteria	Bacteria
1152	1.9617803881404023	1.9617803881404023	3.953209115242667	12.090677853059685	Pseudanabaena	Pseudanabaenaceae	Pseudanabaenales		Cyanobacteria	Bacteria
1154	2.0	2.0	4.188790204786391	12.566370614359172	Spirulina	Spirulinaceae	Spirulinales		Cyanobacteria	Bacteria
1158	6.320480493235325	6.320480493235325	132.20531286017334	125.50183138924629	Oscillatoria	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria
1177	3.415004240694717	3.415004240694717	20.85318347081664	36.638051377484324	Nostoc	Nostocaceae	Nostocales		Cyanobacteria	Bacteria
1190	6.324555320336758	6.324555320336758	132.4611768772814	125.66370614359175	Fischerella	Hapalosiphonaceae	Nostocales		Cyanobacteria	Bacteria
13034	5.656854249492381	5.656854249492381	94.78150268071181	100.53096491487341	Dactylococcopsis	Synechococcaceae	Synechococcales		Cyanobacteria	Bacteria
28070	5.259585282553352	5.259585282553352	76.18213273707423	86.90662321584075	Gloeothece	Aphanothecaceae	Chroococcales		Cyanobacteria	Bacteria
28073	12.45265494158937	12.45265494158937	1011.0775902429725	487.16242198256566	Lyngbya	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria
33071	1.095445115010332	1.095445115010332	0.6882884651454569	3.7699111843077513	Gloeobacter	Gloeobacteraceae	Gloeobacterales	Gloeobacteria	Cyanobacteria	Bacteria
35823	8.866084564688924	8.866084564688924	364.917112852122	246.95260474199534	Arthrospira	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria
43988	3.350368958834508	3.350368958834508	19.691397137447154	35.264290075617	Cyanothece	Cyanothecaceae	Oscillatoriales		Cyanobacteria	Bacteria
44474	5.889571373308532	5.889571373308532	106.96696899960668	108.97258447470017	Pleurocapsa	Hyellaceae	Pleurocapsales		Cyanobacteria	Bacteria
47251	1.6981006867588608	1.6981006867588608	2.563828288917553	9.058926748841122	Leptolyngbya	Leptolyngbyaceae	Pseudanabaenales		Cyanobacteria	Bacteria
52605	6.68740304976422	6.68740304976422	156.592558187968	140.4962946208145	Myxosarcina	Hyellaceae	Pleurocapsales		Cyanobacteria	Bacteria
52607	16.622345273697963	16.622345273697963	2404.780931553495	868.0294718791517	Xenococcus	Xenococcaceae	Pleurocapsales		Cyanobacteria	Bacteria
54298	5.146551493923856	5.146551493923856	71.37524134131945	83.21134036131201	Chroococcidiopsis	Chroococcidiopsidaceae	Chroococcidiopsidales		Cyanobacteria	Bacteria
54302	11.40175425099138	11.40175425099138	776.0927935139324	408.4070449666733	Dermocarpella	Dermocarpellaceae	Pleurocapsales		Cyanobacteria	Bacteria
63132	2.5112989078186527	2.5112989078186527	8.292659732649081	19.81283798634435	Geitlerinema	Coleofasciculaceae	Oscillatoriales		Cyanobacteria	Bacteria
70190	26.964614574706776	26.964614574706776	10265.527558706595	2284.2219821682534	Chroococcus	Chroococcaceae	Chroococcales		Cyanobacteria	Bacteria
76023	4.4721359549995805	4.4721359549995805	46.83209820693819	62.83185307179587	Halothece	Aphanothecaceae	Chroococcales		Cyanobacteria	Bacteria
102115	25.508490012515825	25.508490012515825	8690.662321584063	2044.1811296521212	Stanieria	Dermocarpellaceae	Pleurocapsales		Cyanobacteria	Bacteria
102231	4.407252919191191	4.407252919191191	44.823167625703924	61.02191335177076	Gloeocapsa	Chroococcaceae	Chroococcales		Cyanobacteria	Bacteria
102234	1.933907960581372	1.933907960581372	3.7870934826479825	11.749556524425827	Cyanobacterium	Geminocystaceae	Chroococcales		Cyanobacteria	Bacteria
105591	5.47722557505166	5.47722557505166	86.03605814318216	94.24777960769383	Symploca	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria
110103	5.916079783099617	5.916079783099617	108.41782457704832	109.95574287564277	Anabaenopsis	Aphanizomenonaceae	Nostocales		Cyanobacteria	Bacteria
159191	7.483314773547884	7.483314773547884	219.4222493593946	175.92918860102844	Nodularia	Aphanizomenonaceae	Nostocales		Cyanobacteria	Bacteria
167375	0.9888299771583009	0.9888299771583009	0.5062482023520575	3.071801304852711	Cyanobium	Prochlorococcaceae	Synechococcales		Cyanobacteria	Bacteria
217161	4.541589259952082	4.541589259952082	49.048099583628435	64.79859376470242	Chamaesiphon	Chamaesiphonaceae	Synechococcales		Cyanobacteria	Bacteria
669357	3.912251473896752	3.912251473896752	31.35298616520277	48.08431110483909	Geminocystis	Chroococcaceae	Chroococcales		Cyanobacteria	Bacteria
669368	4.743416490252568	4.743416490252568	55.882058995103066	70.68583470577032	Coleofasciculus	Coleofasciculaceae	Oscillatoriales		Cyanobacteria	Bacteria
1501433	4.4721359549995805	4.4721359549995805	46.83209820693819	62.83185307179587	Kamptonema	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria
2546365	3.0000000000000004	3.0000000000000004	14.137166941154067	28.274333882308138	Rippkaea	Aphanothecaceae	Chroococcales		Cyanobacteria	Bacteria
2596745	8.944271909999161	8.944271909999161	374.6567856555056	251.32741228718353	Limnospira	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria
2862346	2.23606797749979	2.23606797749979	5.854012275867273	15.707963267948964	Baaleninema	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria
2881385	1.296148139681572	1.296148139681572	1.1401514526045566	5.277875658030852	Thermostichus	Thermostichaceae	Thermostichales		Cyanobacteria	Bacteria
2886347	3.741657386773941	3.741657386773941	27.42778116992432	43.982297150257104	Allocoleopsis	Coleofasciculaceae	Oscillatoriales		Cyanobacteria	Bacteria
