taxid	length	width	volume	surface	order	class	phylum	superkingdom
29	4.772786293262515	0.9859321078047493	3.3705644037254285	14.783214265299032	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
112	1.7	1.05	1.168966991446677	5.607742886657782	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
136	12.135256430367265	0.2576704886813382	0.6150805309821054	9.823438072170427	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
356	1.8485856117271562	0.6790702492901579	0.5777056117808211	3.9437024945714163	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
766	1.1762057847982872	0.3783705080280257	0.11710844765453392	1.398139359336975	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
1118	3.4278273002005224	1.161895003862225	3.223834918186189	12.512257982166126	Chroococcales		Cyanobacteria	Bacteria
1385	2.7613501035664685	0.6763504597923328	0.8950398658060862	5.867365398498554	Bacillales	Bacilli	Firmicutes	Bacteria
2037	1.5302900368222225	0.5715940869589309	0.33664153520054024	2.74796597387081	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
2085	1.0	0.3499999999999999	0.08498662626429886	1.0995574287564276	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
2158	3.7470171859448733	0.4195087760643951	0.49427149362742967	4.938290206482548	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea
2191	3.483826468915286	0.6607759132153711	1.0288480974408833	7.232036189891375	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea
2231	2.2	0.4	0.2597049926967563	2.7646015351590183	Archaeoglobales	Archaeoglobi	Euryarchaeota	Archaea
2235	1.8395385859347035	0.9028986465443013	0.9435849581827124	5.217924329712637	Halobacteriales	Halobacteria	Euryarchaeota	Archaea
2258	1.15	1.15	0.7963282878380625	4.1547562843725006	Thermococcales	Thermococci	Euryarchaeota	Archaea
2281	1.197911219236287	1.197911219236287	0.900062192755325	4.508158092028629	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea
2419	2.6310539914302646	0.5573904351649863	0.5936582850035951	4.607222059006754	Thermotogales	Thermotogae	Thermotogae	Bacteria
31932	0.7208434242404262	0.2736785217080362	0.03680294950362839	0.6197713966545495	Nitrosopumilales		Thaumarchaeota	Archaea
32003	1.530378286348801	0.41869274048356747	0.18971803809228785	2.0130015010528277	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
32064	5.2915026221291805	0.6	1.4395884510072787	9.974247458479299	Chloroflexales	Chloroflexia	Chloroflexi	Bacteria
32069	2.028443348998134	0.4356461325496245	0.27898139282665413	2.7761735919719763	Aquificales	Aquificae	Aquificae	Bacteria
48461	1.4724329092748214	0.7142169636042999	0.4855154263577363	3.303813696085137	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
53433	8.205607902977762	0.648715411671635	2.5896733463709034	16.72302539080645	Halanaerobiales	Clostridia	Firmicutes	Bacteria
68295	3.206617986163919	0.518039907875816	0.6311618891958415	5.218675756700019	Thermoanaerobacterales	Clostridia	Firmicutes	Bacteria
68933	3.061388897676031	0.42156396638791416	0.40536802132159144	4.054449146499528	Thermales	Deinococci	Deinococcus-Thermus	Bacteria
69541	2.3028760286808923	0.5285235789610623	0.46486719485368494	3.823708698382372	Desulfuromonadales	Deltaproteobacteria	Proteobacteria	Bacteria
72273	1.6284687151147346	0.5462182868727449	0.33650136631500255	2.7944447546383704	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
72274	1.955290298874491	0.5985990692648265	0.48840460845724026	3.677029850002871	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
80840	1.61870577289174	0.6338079403488581	0.43736523930672166	3.2231124965906406	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
84993	1.1025456661427564	0.4752649522728906	0.1652950661644268	1.6461986766426209	Acidimicrobiales	Acidimicrobiia	Actinobacteria	Bacteria
84996	1.7507820337135667	0.7258168354521544	0.6194141116644308	3.9921696762592678	Rubrobacterales	Rubrobacteria	Actinobacteria	Bacteria
84999	1.6507226655885423	0.5946035575013605	0.4031482705080664	3.083553518159808	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
85001	2.1213203435596424	1.224744871391589	2.018165466403381	8.162097139053978	Sphaerobacterales	Thermomicrobia	Chloroflexi	Bacteria
85004	1.830160578281278	0.6512423520594303	0.528578344527261	3.7443954189916715	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
85006	1.250653206112641	0.5705425057120199	0.2630301189462826	2.241685995201156	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
85007	1.3303063481124648	0.6250746844275286	0.33710132221501377	2.6123625335915865	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
85008	1.0835873995636014	0.5961401575554758	0.24370301960088772	2.029374490517689	Micromonosporales	Actinomycetia	Actinobacteria	Bacteria
85009	1.4074186685047991	0.5452963139284112	0.27752292056579453	2.411047364223464	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
