taxid	length	width	volume	surface	order	class	phylum	superkingdom
112	1.284740272800446	1.284740272800446	1.1103109856884716	5.185379531700565	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
136	11.399659332689644	0.3107576204497149	0.855509302163985	11.129189390362122	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
2085	0.49443933524866757	0.17448225355350408	0.01031036189595755	0.2710279925452007	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
48461	2.9418844388682923	0.652898900937385	0.8691635980703787	6.034223881167392	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
51291	0.5477225575051662	0.5477225575051662	0.08603605814318219	0.9424777960769384	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria
186328	1.501516971219534	0.20460204169192645	0.042008096126754074	0.9651394797370844	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria
186329	3.1622776601683795	0.3	0.2164596525098353	2.9803764797388297	Acholeplasmatales	Mollicutes	Tenericutes	Bacteria
186332	0.8714947155090512	0.8714947155090512	0.34657154017254344	2.3860491682048117	Anaeroplasmatales	Mollicutes	Tenericutes	Bacteria
203487	17.32050807568877	0.34641016151377546	1.6215366316253903	18.849555921538762	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria
203491	3.1411645246617432	0.6651665793200763	0.9812979981076458	6.5640363452124015	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
204433	1.3362039971366577	0.5383563270955295	0.2615934497582088	2.2599168526405893	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria
218872	1.2649110640673518	0.34641016151377546	0.1083322630041479	1.376576930290914	Fibrobacterales	Fibrobacteria	Fibrobacteres	Bacteria
219686	2.8284271247461903	0.7	0.9987091298336916	6.220036113421714	Gemmatimonadales	Gemmatimonadetes	Gemmatimonadetes	Bacteria
278082	0.8062257748298549	0.8062257748298549	0.27439023856185624	2.042035224833366	Victivallales	Lentisphaeria	Lentisphaerae	Bacteria
415000	0.7135242690016328	0.7135242690016328	0.19020628804255652	1.5994378577370123	Opitutales	Opitutae	Verrucomicrobia	Bacteria
574975	1.5650845800732873	0.24322992790977876	0.06764483107828849	1.1959270701511662	Holophagales	Holophagae	Acidobacteria	Bacteria
1643686	4.69041575982343	0.28284271247461906	0.28878366994931715	4.1677936304377265	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria
1643687	4.4721359549995805	0.2449489742783178	0.20689679244073625	3.4414423257272846	Brevinematales	Spirochaetia	Spirochaetes	Bacteria
1643688	8.56647862020274	0.10887289708566034	0.07936826984920106	2.9300294640089497	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
1963360	0.7848967451330752	0.6262654187808268	0.17040778483310154	1.5442614575491136	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
2691354	1.778279410038923	1.120263379657263	1.380147674944089	6.258496478852291	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
2691355	2.0493901531919194	2.0493901531919194	4.506844334724896	13.194689145077128	Gemmatales	Planctomycetia	Planctomycetes	Bacteria
2691356	2.783157683713741	2.783157683713741	11.287871585478298	24.334672055841672	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria
