taxid	length	width	volume	surface	order	class	phylum	superkingdom
29	4.772786293262513	0.9859321078047493	3.370564403725427	14.783214265299044	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
112	1.3587578145006554	1.2339288839360185	1.1218018685938518	5.267227272413621	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
136	11.412834125441444	0.30171137398170234	0.8034034465531306	10.817703170626642	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
356	1.8415403663344418	0.6817764873540155	0.5795745591383473	3.944329022678209	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
766	1.1762057847982872	0.37837050802802574	0.11710844765453392	1.398139359336975	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
1118	5.17304786150469	4.854093536161246	64.90180585673754	78.8868309678701	Chroococcales		Cyanobacteria	Bacteria
1150	5.952942081915834	5.952942081915834	110.45708906843242	111.33025070475816	Oscillatoriales		Cyanobacteria	Bacteria
1161	5.016334382799447	5.016334382799447	66.093394481317	79.05381432459357	Nostocales		Cyanobacteria	Bacteria
1385	2.758596743295113	0.6799569044315462	0.9025315000656625	5.8927698559222685	Bacillales	Bacilli	Firmicutes	Bacteria
2037	1.648871074664486	0.5900673517652735	0.3886702603904871	3.056596827997544	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
2085	0.4930099783374665	0.17592971133661725	0.010422296716391563	0.27248636294287765	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
2158	2.7198880646440715	0.4751256712146734	0.438652520428708	4.059844505101647	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea
2182	1.317027913795693	1.317027913795693	1.1961442626354453	5.449288887984799	Methanococcales	Methanococci	Euryarchaeota	Archaea
2191	1.730810322215965	0.859691530372578	0.7547197726647541	4.674573550101284	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea
2231	2.2	0.4	0.2597049926967563	2.7646015351590183	Archaeoglobales	Archaeoglobi	Euryarchaeota	Archaea
2235	1.8656320974540253	0.7787909715306159	0.7327269778499826	4.564537567821572	Halobacteriales	Halobacteria	Euryarchaeota	Archaea
2258	1.15	1.15	0.7963282878380625	4.1547562843725006	Thermococcales	Thermococci	Euryarchaeota	Archaea
2266	5.885661912765424	0.5802531803146307	1.494645367386573	10.729085684655496	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea
2281	1.0996977297284893	1.0996977297284893	0.696335614089318	3.7992382557409146	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea
2419	2.631053991430265	0.5573904351649864	0.5936582850035951	4.607222059006754	Thermotogales	Thermotogae	Thermotogae	Bacteria
31932	0.7208434242404262	0.2736785217080362	0.03680294950362839	0.6197713966545495	Nitrosopumilales		Thaumarchaeota	Archaea
32003	1.5303782863488011	0.4186927404835675	0.18971803809228785	2.0130015010528277	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria
32064	5.2915026221291805	0.6	1.4395884510072787	9.974247458479299	Chloroflexales	Chloroflexia	Chloroflexi	Bacteria
32069	2.028443348998134	0.4356461325496245	0.2789813928266541	2.776173591971976	Aquificales	Aquificae	Aquificae	Bacteria
48461	1.7172491657108802	0.7001111596242284	0.5525895898962783	3.7770278491300164	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
51291	0.5477225575051662	0.5477225575051662	0.08603605814318219	0.9424777960769384	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria
52604	11.7813358746002	11.7813358746002	856.2138226453516	436.0526675882107	Pleurocapsales		Cyanobacteria	Bacteria
53433	8.205607902977762	0.648715411671635	2.5896733463709034	16.72302539080645	Halanaerobiales	Clostridia	Firmicutes	Bacteria
54526	0.5738466694161429	0.15491933384829668	0.009843368003314685	0.2792874102115765	Pelagibacterales	Alphaproteobacteria	Proteobacteria	Bacteria
68295	3.206617986163919	0.518039907875816	0.6311618891958415	5.218675756700018	Thermoanaerobacterales	Clostridia	Firmicutes	Bacteria
68933	3.06138889767603	0.42156396638791416	0.40536802132159133	4.054449146499526	Thermales	Deinococci	Deinococcus-Thermus	Bacteria
69541	2.3028760286808927	0.5285235789610623	0.4648671948536849	3.823708698382372	Desulfuromonadales	Deltaproteobacteria	Proteobacteria	Bacteria
72273	2.841562777577727	0.8204884299260637	1.3163537081317904	7.324527082281428	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
72274	1.949359803014811	0.5990753876941567	0.4874129889859954	3.668794248734745	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
80840	1.6180184837250922	0.6318487653719725	0.4346526494703066	3.211785199472046	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
84993	0.9619336342228159	0.4676199144696193	0.13496138673076583	1.4131490829694167	Acidimicrobiales	Acidimicrobiia	Actinobacteria	Bacteria
84996	1.8100124406342848	0.7647271805608441	0.7100053045406407	4.348484827477516	Rubrobacterales	Rubrobacteria	Actinobacteria	Bacteria
84999	1.0722417789120997	0.5248959617395942	0.19065872314529855	1.768136662379606	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
85001	2.1213203435596424	1.224744871391589	2.018165466403381	8.162097139053978	Sphaerobacterales	Thermomicrobia	Chloroflexi	Bacteria
85004	1.9502402532610352	0.6951645776485121	0.6331056372904547	4.259176358690091	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
85006	1.2575089244742967	0.5797022998450132	0.27014632165477226	2.2901607748760546	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
85007	1.5481555321327707	0.5972048979209673	0.36851392405294575	2.904609962378899	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
85008	1.0835873995636014	0.5961401575554759	0.24370301960088772	2.029374490517689	Micromonosporales	Actinomycetia	Actinobacteria	Bacteria
85009	1.3799191539495408	0.5721674234957249	0.2929895127215699	2.4804281023550425	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
85010	1.4824455255468103	0.5192549035925386	0.2729737447639572	2.4182946928784337	Pseudonocardiales	Actinomycetia	Actinobacteria	Bacteria
85011	0.8801576558777033	0.6261839017961628	0.20511291366220658	1.7314591191648965	Streptomycetales	Actinomycetia	Actinobacteria	Bacteria
85012	1.2321896125859393	0.6537886189477581	0.33349151647196545	2.5308404798624116	Streptosporangiales	Actinomycetia	Actinobacteria	Bacteria
91347	2.100422670668711	0.8296302374038869	0.9737267876641528	5.474458175983996	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
94695	1.3745881429326605	1.1167830971080441	0.9414578024262269	4.822711672316586	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea
114380	1.4636222901496256	1.08927598523607	0.9608312840660848	5.008605391526142	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea
118964	1.8858719600600038	1.2894573752553757	1.842920946230139	7.63957267190439	Deinococcales	Deinococci	Deinococcus-Thermus	Bacteria
118969	1.4182181902032591	0.6245847735921135	0.3671700895305783	2.7828148784573536	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria
119069	2.280350850198276	0.3741657386773941	0.23699366986663353	2.680498461852394	Hydrogenophilales	Hydrogenophilalia	Proteobacteria	Bacteria
135613	2.373161217092583	0.6738774694938398	0.7405092553997291	5.024097412896213	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
135614	1.7911078878998048	0.4779723454043449	0.2899723589203214	2.689517590281139	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
135618	1.948529139608345	1.187817110914375	1.6966151242955876	7.27120442563219	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
135619	1.8454311830732488	0.6111688574242958	0.47388304035342577	3.543308318620104	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
135622	1.9150769022401564	0.6335995848269265	0.5308166920758092	3.8119831737503502	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
135623	1.96630363211104	0.7461329248919657	0.7420098741821771	4.609105604108051	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
135624	2.00921733328244	0.7353514386346955	0.7448635921970886	4.641643004785337	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
135625	0.9306048591020996	0.3256777812163153	0.06835791104850766	0.952145499893453	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
171549	2.1667613271275417	0.6953947289445723	0.719166424073917	4.733608571916755	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
186328	1.5393766420134922	0.19866096909480177	0.04075809764982895	0.9607431901368174	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria
186329	3.1622776601683795	0.3	0.2164596525098353	2.9803764797388297	Acholeplasmatales	Mollicutes	Tenericutes	Bacteria
186332	0.8714947155090512	0.8714947155090512	0.34657154017254344	2.3860491682048117	Anaeroplasmatales	Mollicutes	Tenericutes	Bacteria
186802	3.533162699205304	0.6533019772098312	1.0899349394654136	7.251493834728372	Eubacteriales	Clostridia	Firmicutes	Bacteria
186826	2.0222125810617415	0.757608957800966	0.7572304390679059	4.813065608353713	Lactobacillales	Bacilli	Firmicutes	Bacteria
188710	1.4217842556092037	0.5240921009721671	0.2660863837585448	2.340944877914135	Thermodesulfobacteriales	Thermodesulfobacteria	Thermodesulfobacteria	Bacteria
189769	3.741657386773941	0.12247448713915889	0.043599406408210535	1.4396586137792406	Chrysiogenales	Chrysiogenetes	Chrysiogenetes	Bacteria
189772	1.2	0.7	0.3720169300625912	2.638937829015426	Herpetosiphonales	Chloroflexia	Chloroflexi	Bacteria
191393	2.308667154536208	0.4045391320890646	0.27813501578854993	2.9340785426920473	Deferribacterales	Deferribacteres	Deferribacteres	Bacteria
200644	2.188809717433223	0.4671184794223803	0.34247040699897896	3.212069468561805	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
200666	1.7014141897006823	0.5355846751762563	0.33762312278250867	2.8627805974111693	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
203487	13.160740129524926	0.41195342878142355	1.7339583919197203	17.032496497858244	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria
203491	2.7171431064822897	0.5960181201464558	0.6731091276568134	5.087704142369624	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
204433	1.742391751708568	0.6426590910199163	0.4889728607713823	3.517842039964417	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria
204441	1.9630104978259195	0.7333298766279541	0.702205345095165	4.522430212421612	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
204455	1.7293200729360572	0.6701158521061293	0.5207380119989458	3.640618292234467	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
204457	1.3890365017422177	0.5358744685919979	0.2684806227561231	2.3384419697106575	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
204458	1.9050450383804478	0.5579978337517342	0.4152297062698879	3.339547562786037	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
206351	1.6127398098919723	0.5915311670554096	0.3786443604951655	2.99703497538022	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
206389	1.6680713299183703	0.5275544673967227	0.32381256720048446	2.7645967663307878	Rhodocyclales	Betaproteobacteria	Proteobacteria	Bacteria
213113	1.736848756754007	0.5425826830234938	0.3582048587077918	2.9605868348728586	Desulfurellales	Deltaproteobacteria	Proteobacteria	Bacteria
213115	2.473043613575478	0.6035042882224252	0.6446313815465808	4.68880324028681	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
213118	2.797449193095081	0.8906151897187219	1.5331996373930605	7.8271233536187115	Desulfobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
213462	2.0	1.1989578808281798	1.806317768827334	7.533274540746791	Syntrophobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
213481	0.95	0.5	0.15380714033200027	1.4922565104551515	Bdellovibrionales	Oligoflexia	Proteobacteria	Bacteria
213849	1.8997308214964148	0.46044242728057533	0.28472947987060054	2.748003466422256	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
218872	1.2649110640673518	0.34641016151377546	0.1083322630041479	1.376576930290914	Fibrobacterales	Fibrobacteria	Fibrobacteres	Bacteria
219686	2.8284271247461903	0.7	0.9987091298336916	6.220036113421714	Gemmatimonadales	Gemmatimonadetes	Gemmatimonadetes	Bacteria
225057	1.3643500455889714	1.0298835719535588	0.8352306945089237	4.414320004923944	Acidithiobacillales	Acidithiobacillia	Proteobacteria	Bacteria
235899	1.347094970635097	0.5185373883718335	0.24522659207112418	2.1944624979653735	Nautiliales	Epsilonproteobacteria	Proteobacteria	Bacteria
255473	1.4295196269765478	0.6563046383179032	0.4050166959725954	2.947443364072816	Parvularculales	Alphaproteobacteria	Proteobacteria	Bacteria
278081	0.8	0.8	0.26808257310632905	2.010619298297468	Lentisphaerales	Lentisphaeria	Lentisphaerae	Bacteria
278082	0.8062257748298549	0.8062257748298549	0.27439023856185624	2.042035224833366	Victivallales	Lentisphaeria	Lentisphaerae	Bacteria
292629	100.00000000000004	0.30476168981692753	7.2870452596425785	95.74370858244701	Anaerolineales	Anaerolineae	Chloroflexi	Bacteria
307595	1.095445115010332	1.095445115010332	0.6882884651454569	3.7699111843077513	Gloeobacterales	Gloeobacteria	Cyanobacteria	Bacteria
332160	1.05	0.65	0.2765256033628516	2.144136986075034	Bryobacterales	Acidobacteriia	Acidobacteria	Bacteria
362534	2.022853836677498	0.5334119473886841	0.40226808270492026	3.389823725681576	Kordiimonadales	Alphaproteobacteria	Proteobacteria	Bacteria
388448	1.4142135623730951	0.8366600265340756	0.6241785562578653	3.7171825569273693	Ktedonobacterales	Ktedonobacteria	Chloroflexi	Bacteria
414714	1.440195172070992	0.6471915127526414	0.3822174209267934	2.9282222529949826	Catenulisporales	Actinomycetia	Actinobacteria	Bacteria
415000	0.6251506518108881	0.6251506518108881	0.12792419340073338	1.2277763098879202	Opitutales	Opitutae	Verrucomicrobia	Bacteria
415001	0.9329199906264262	0.8362150777608833	0.3526734904727329	2.4508247979955002	Puniceicoccales	Opitutae	Verrucomicrobia	Bacteria
475963	100.00000000000004	0.5	19.60222916146132	157.0796326794897	Caldilineales	Caldilineae	Chloroflexi	Bacteria
485256	3.831547161967765	0.4188859364120028	0.5050848500678834	5.042197212564458	Natranaerobiales	Clostridia	Firmicutes	Bacteria
510684	0.85	0.25	0.037633661996127735	0.667588438887831	Sneathiellales	Alphaproteobacteria	Proteobacteria	Bacteria
526525	3.0800702882410227	0.6467843638084009	0.9406307164926795	6.258496478852291	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
533206	3.358571124749333	0.8366600265340756	1.6931449571926307	8.82781945618518	Acanthopleuribacterales	Holophagae	Acidobacteria	Bacteria
570264	1.9078784028338915	0.5291502622129179	0.38077563408368215	3.1716085517589128	Methanocellales	Methanomicrobia	Euryarchaeota	Archaea
574975	1.5650845800732873	0.24322992790977876	0.06764483107828849	1.1959270701511662	Holophagales	Holophagae	Acidobacteria	Bacteria
588673	1.2423221948388086	0.5514387293364482	0.25153673101294877	2.152193828352622	Solirubrobacterales	Thermoleophilia	Actinobacteria	Bacteria
596497	2.25	0.4	0.2659881780039359	2.827433388230814	Nitriliruptorales	Nitriliruptoria	Actinobacteria	Bacteria
622450	1.45	0.55	0.3009383962751223	2.50542014123786	Actinopolysporales	Actinomycetia	Actinobacteria	Bacteria
622452	1.239665540532398	1.0358989814322275	0.7399386858598059	4.034333605374324	Kineosporiales	Actinomycetia	Actinobacteria	Bacteria
649776	2.9705101942901346	0.7142571613250063	1.0701338315016036	6.665542828398362	Synergistales	Synergistia	Synergistetes	Bacteria
693072	4.95	0.3	0.3428262983229862	4.665265090580842	Caldisericales	Caldisericia	Caldiserica	Bacteria
742030	1.2365396592744562	0.5594122904254923	0.25545341164140667	2.1731511116097613	Salinisphaerales	Gammaproteobacteria	Proteobacteria	Bacteria
768507	2.5609480522712165	0.5874405036180578	0.6293703384433579	4.726226482005185	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
768667	1.4142135623730951	0.8660254037844386	0.6629968605077357	3.847649490485592	Thermogemmatisporales	Ktedonobacteria	Chloroflexi	Bacteria
795748	4.723156822715971	0.2719393264843193	0.26768467331013107	4.035099571200831	Ignavibacteriales	Ignavibacteria	Ignavibacteriae	Bacteria
871006	0.938083151964686	0.938083151964686	0.4322376870047302	2.764601535159018	Acidilobales	Thermoprotei	Crenarchaeota	Archaea
908621	2.7108060108295344	0.526429605180997	0.5512144676663944	4.4832052033071115	Euzebyales	Nitriliruptoria	Actinobacteria	Bacteria
909929	6.9713266119873465	0.691653996551613	2.512508887262527	15.147961536022189	Selenomonadales	Negativicutes	Firmicutes	Bacteria
1077263	2.7386127875258306	0.5916079783099616	0.6986065964643196	5.089961841984629	Chthonomonadales	Chthonomonadetes	Armatimonadetes	Bacteria
1100069	2.29128784747792	0.5	0.4171683933311191	3.5991465344481024	Bacteroidetes Order II. Incertae sedis		Bacteroidetes	Bacteria
1202465	0.65	0.15	0.01060287520586555	0.3063052837250048	Dehalococcoidales	Dehalococcoidia	Chloroflexi	Bacteria
1240482	1.2884187516294856	0.6223329772884784	0.316426825999363	2.51900903019051	Orbales	Gammaproteobacteria	Proteobacteria	Bacteria
1313208	1.0	1.0	0.5235987755982988	3.1415926535897927	Oligosphaerales	Oligosphaeria	Lentisphaerae	Bacteria
1485951	1.4168718272132785	0.5921666895600207	0.334240713099645	2.6358725753409242	Desulfurobacteriales	Aquificae	Aquificae	Bacteria
1495647	4.0	0.3	0.2756747553525044	3.769911184307752	Thermoflexales	Thermoflexia	Chloroflexi	Bacteria
1617890	3.0740852297878796	0.55	0.6864027611005262	5.311637965925772	Arenicellales	Gammaproteobacteria	Proteobacteria	Bacteria
1643682	1.4581343067485213	1.0666142563460326	0.9569749454511077	4.886014876544574	Geodermatophilales	Actinomycetia	Actinobacteria	Bacteria
1643683	10.000000000000002	0.4	1.2398819006167718	12.566370614359172	Acidothermales	Actinomycetia	Actinobacteria	Bacteria
1643684	1.2765575633606778	0.9061739875158198	0.6112775980078948	3.6341417835074807	Nakamurellales	Actinomycetia	Actinobacteria	Bacteria
1643686	4.69041575982343	0.28284271247461906	0.28878366994931715	4.1677936304377265	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria
1643687	4.4721359549995805	0.2449489742783178	0.20689679244073625	3.4414423257272846	Brevinematales	Spirochaetia	Spirochaetes	Bacteria
1643688	9.011631050735595	0.11607023265101211	0.09489156796879246	3.2860497208057793	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
1643822	1.1656633756096266	0.4687973630505341	0.171517696361738	1.7167544597557796	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria
1643946	1.7320508075688774	0.9082951062292475	0.9258406586480957	4.9423952586469815	Kosmotogales	Thermotogae	Thermotogae	Bacteria
1643947	3.831182689217526	0.7093380449936764	1.3758737941624226	8.537603626970114	Petrotogales	Thermotogae	Thermotogae	Bacteria
1644055	2.1014724645534346	0.8303408832405269	0.9546324286563617	5.481885979863743	Haloferacales	Halobacteria	Euryarchaeota	Archaea
1644060	2.6504622272466807	0.7181861727038621	0.9391342578395349	5.980101170289638	Natrialbales	Halobacteria	Euryarchaeota	Archaea
1692040	2.683281572999748	0.3872983346207417	0.30090749286193164	3.2648388556215924	Acidiferrobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
1706369	1.9291394351599103	0.4833444663501419	0.3178465700278748	2.9293431064343234	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
1737405	4.844863163397833	0.8209414768059966	2.366625312076219	12.495210777042235	Tissierellales	Tissierellia	Firmicutes	Bacteria
1747768	1.1401754250991378	0.34641016151377546	0.09657620599344682	1.2408296766961773	Egibacterales	Nitriliruptoria	Actinobacteria	Bacteria
1748771	2.4459875888944125	0.6915457968880453	0.8153671381430486	5.314043043462315	Blastocatellales	Blastocatellia	Acidobacteria	Bacteria
1755823	0.6324555320336759	0.6324555320336759	0.13246117687728132	1.2566370614359177	Egicoccales	Nitriliruptoria	Actinobacteria	Bacteria
1769716	1.0669676460233537	0.5803009260803007	0.2308128579804856	1.9451557741677217	Mesoaciditogales	Thermotogae	Thermotogae	Bacteria
1775403	1.0950160501334156	0.5283143910324359	0.1970555512947428	1.8174513667569474	Nevskiales	Gammaproteobacteria	Proteobacteria	Bacteria
1804992	4.415880433163924	0.5656854249492381	1.06244105089634	7.84769593338055	Longimicrobiales	Longimicrobia	Gemmatimonadetes	Bacteria
1836787	1.4	0.9	0.6997897635871264	3.9584067435231387	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria
1843488	1.6397691447073577	0.47336057855281766	0.24282172757645357	2.4385107240544777	Acidaminococcales	Negativicutes	Firmicutes	Bacteria
1843489	0.7277645464270726	0.5709367862549524	0.13577488901965465	1.305355470635473	Veillonellales	Negativicutes	Firmicutes	Bacteria
1853223	2.75039525083473	0.36475202516074723	0.2676248199740394	3.1516841960579867	Balneolales	Balneolia	Balneolaeota	Bacteria
1853224	8.563390382741252	0.5544265176609817	1.9932551819121036	14.915561581186438	Rhodothermales	Rhodothermia	Rhodothermaeota	Bacteria
1853229	2.2987659968352987	0.5218141023037285	0.44022513910494326	3.76842997063668	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
1890424	1.8219405631148864	1.8219405631148864	3.166658548156741	10.428414446438978	Synechococcales		Cyanobacteria	Bacteria
1890443	2.0	2.0	4.188790204786391	12.566370614359172	Spirulinales		Cyanobacteria	Bacteria
1890505	5.297398455921979	5.297398455921979	77.83708158156593	88.16072518904251	Chroococcidiopsidales		Cyanobacteria	Bacteria
1890940	0.4	0.4	0.03351032163829113	0.5026548245743669	Nanoarchaeales	Nanoarchaeia	Nanoarchaeota	Archaea
1921567	1.2649110640673518	0.2	0.037643957960791216	0.7947670612636881	Micropepsales	Alphaproteobacteria	Proteobacteria	Bacteria
1934945	0.56	0.3499999999999999	0.04265366525717641	0.6157521601035995	Immundisolibacterales	Gammaproteobacteria	Proteobacteria	Bacteria
1936988	2.483267027147818	0.6121682952562003	0.6606385247120355	4.775777971901473	Saprospirales	Saprospiria	Bacteroidetes	Bacteria
1962852	6.92820323027551	0.2449489742783178	0.3226362360716736	5.33145952579004	Calditrichales	Calditrichia	Calditrichaeota	Bacteria
1963360	0.7848967451330752	0.6262654187808268	0.1704077848331016	1.5442614575491136	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
1970189	7.078790657096914	0.3354291873632878	0.6134316691627285	7.45950126177943	Marinilabiliales	Bacteroidia	Bacteroidetes	Bacteria
2024973	3.5999999999999996	0.6	0.9613273519984769	6.785840131753952	Silvanigrellales	Oligoflexia	Proteobacteria	Bacteria
2066484	2.1633307652783937	0.7416198487095663	0.8277062131244416	5.040273973545884	Iodidimonadales	Alphaproteobacteria	Proteobacteria	Bacteria
2066490	1.9078784028338915	0.4898979485566356	0.3288454105332501	2.9363389458289144	Emcibacterales	Alphaproteobacteria	Proteobacteria	Bacteria
2202723	0.4472135954999579	0.4472135954999579	0.04683209820693818	0.6283185307179586	Methanonatronarchaeales	Methanonatronarchaeia	Euryarchaeota	Archaea
