taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	superkingdom
11	2.3717082451262845	1.0606601717798212	1.7831870057271044	7.902916572420815	rod-shaped	Cellulomonas gilvus	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
14	10.000000000000002	0.4898979485566356	1.854174396229992	15.39059796194237	rod-shaped	Dictyoglomus thermophilum	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria
23	1.5	0.7	0.4874704600820161	3.2986722862692828	rod-shaped	Shewanella colwelliana	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
104	1.0392304845413265	0.34641016151377546	0.08706236948324246	1.1309733552923256	ring-shaped	Cyclobacterium marinum	Cyclobacterium	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
114	2.0493901531919194	2.0493901531919194	4.506844334724897	13.194689145077128	spherical	Gemmata obscuriglobus	Gemmata	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria
119	1.1224972160321824	1.1224972160321824	0.7405500915879567	3.95840674352314	spherical	Rubinisphaera brasiliensis	Rubinisphaera	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
120	1.284523257866513	1.284523257866513	1.1097484283266326	5.18362787842316	spherical	Planctopirus limnophila	Planctopirus	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
122	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	spherical	Gimesia maris	Gimesia	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
124	1.4142135623730951	1.0246950765959597	0.884579000346265	4.552600272623071	oval	Blastopirellula marina	Blastopirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
125	2.23606797749979	1.224744871391589	2.1533493378295727	8.603605814318215	tear-drop	Pirellula staleyi	Pirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
128	2.23606797749979	2.23606797749979	5.854012275867273	15.707963267948964	spherical	Isosphaera pallida	Isosphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria
139	10.95445115010332	0.2449489742783178	0.5123686993686073	8.429777677248868	helical	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
140	12.0	0.4242640687119285	1.6764670597167757	15.99437857737011	helical	Borrelia hermsii	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
141	12.0	0.4242640687119285	1.6764670597167757	15.99437857737011	helical	Borrelia parkeri	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
142	12.0	0.4242640687119285	1.6764670597167757	15.99437857737011	helical	Borrelia turicatae	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
143	12.649110640673515	0.2449489742783178	0.5922276464572805	9.73386882233667	helical	Borrelia anserina	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
144	9.486832980505138	0.31622776601683805	0.7368152963798776	9.424777960769381	helical	Borrelia coriaceae	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
147	15.811388300841893	0.3	1.1105725964314843	14.901882398694154	helical	Spirochaeta aurantia	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
148	41.7473652557061	0.2449489742783178	1.9630087556246019	32.1258457310467	helical	Sediminispirochaeta bajacaliforniensis	Sediminispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
149	21.213203435596427	0.4	2.6489746020758744	26.657297628950204	helical	Spirochaeta halophila	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
150	12.247448713915894	0.4	1.5223046353750915	15.39059796194237	helical	Spirochaeta isovalerica	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
151	6.2048368229954285	0.4472135954999579	0.9512374398888244	8.717565823576443	helical	Oceanispirochaeta litoralis	Oceanispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
152	25.980762113533153	0.2449489742783178	1.2204669213676111	19.992973221712646	helical	Treponema stenostreptum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
154	28.28427124746191	0.223606797749979	1.107793728401658	19.869176531592203	helical	Spirochaeta thermophila	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
156	11.31370849898476	0.26457513110645897	0.6171550188276325	9.403810686831198	helical	Treponema zuelzerae	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
158	8.289525201649111	0.1773816942221055	0.203362469916381	4.619429330939323	helical	Treponema denticola	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
159	4.69041575982343	0.28284271247461906	0.2887836699493171	4.167793630437726	helical	Brachyspira hyodysenteriae	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria
160	10.95445115010332	0.15540120384668107	0.2067798967193108	5.348042803869422	helical	Treponema pallidum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
162	9.486832980505138	0.31622776601683805	0.7368152963798776	9.424777960769381	helical	Treponema phagedenis	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
163	10.95445115010332	0.2449489742783178	0.5123686993686073	8.429777677248868	helical	Treponema bryantii	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
164	10.246950765959596	0.2898275349237888	0.669653009827062	9.33005417013257	helical	Treponema pectinovorum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
165	15.491933384829666	0.648074069840786	5.039021665938965	31.541339914940327	helical	Treponema saccharophilum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
167	5.656854249492381	0.3	0.392790880963676	5.33145952579004	helical	Treponema succinifaciens	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
172	8.48528137423857	0.10000000000000002	0.06638144468457634	2.6657297628950194	rod	Leptospira biflexa	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
173	10.360080256445404	0.10000000000000002	0.08110082979057741	3.2547152024249546	rod	Leptospira interrogans	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
174	8.48528137423857	0.10000000000000002	0.06638144468457634	2.6657297628950194	rod	Leptospira borgpetersenii	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
183	16.522711641858308	0.14142135623730953	0.25879766706753005	7.340847364572286	rod	Leptonema illini	Leptonema	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
195	0.31622776601683805	0.31622776601683805	0.016557647109660175	0.31415926535897937	sphere/rod	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
197	1.118033988749895	1.118033988749895	0.7317515344834091	3.9269908169872414	sphere/spiral	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
198	1.7320508075688772	0.31622776601683805	0.12775612876273623	1.7207211628636432	rod-shaped	Campylobacter hyointestinalis	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
199	4.0	0.7071067811865476	1.4782362655832644	8.885765876316732	spiral	Campylobacter concisus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
204	3.1622776601683795	0.6324555320336759	0.9272282381409694	6.283185307179588	rod-shaped	Campylobacter showae	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
210	3.5355339059327378	0.7071067811865476	1.2958408569628572	7.853981633974482	rod-shaped	Helicobacter pylori	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
287	7.415443344804141	0.6587867636800242	2.45279683576658	15.347295621083548	rod-shaped	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
294	2.23606797749979	0.5	0.4063259972151518	3.5124073655203647	rod	Pseudomonas fluorescens	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
305	1.5	0.5	0.2617993877991494	2.3561944901923453	rod	Ralstonia solanacearum	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
316	1.7320508075688772	0.5	0.3073624573190221	2.7206990463513265	rod	Pseudomonas stutzeri	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
317	1.5	0.916515138991168	0.7880494799516908	4.318975841337722	rod	Pseudomonas syringae	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
346	1.7320508075688772	0.6123724356957945	0.4500115479020361	3.3321622036187737	rod	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
347	1.1832159566199232	0.5291502622129179	0.22141403886860744	1.9669481246914031	rod	Xanthomonas oryzae	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
384	1.43	0.84	0.6373034857072254	3.7736810954920585	rod	Rhizobium leguminosarum	Rhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
436	2.449489742783178	0.14142135623730953	0.037736014415162875	1.0882796185405308	rod-shaped	Komagataeibacter hansenii	Komagataeibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
446	1.55	0.7	0.5067127150852536	3.408628029144926	ovoid-shaped	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria
485	0.7745966692414834	0.7745966692414834	0.2433467205584167	1.884955592153876	sphere	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
487	0.9486832980505138	0.9486832980505138	0.4470564719608244	2.827433388230814	sphere	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
520	0.8	0.4	0.08377580409572784	1.005309649148734	rod	Bordetella pertussis	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
521	1.4142135623730951	0.4472135954999579	0.1987280978044492	1.9869176531592203	rod-shaped	Bordetella avium	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
536	1.75	0.4	0.20315632493214	2.1991148575128547	rod-shaped	Chromobacterium violaceum	Chromobacterium	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
550	7.372923436466704	0.6	2.0280963215489267	13.897633262090283	rod	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
562	2.85	0.65	0.8738209066266112	5.819800390775093	rod-shaped	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
573	2.0	0.5	0.3599741582238304	3.1415926535897927	rod	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
615	1.3416407864998738	0.6324555320336759	0.35525829542380294	2.66572976289502	rod	Serratia marcescens	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
666	3.0740852297878796	0.3794733192202055	0.3333650415760313	3.664772526228933	rod	Vibrio cholerae	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
670	1.833030277982336	0.6324555320336759	0.5096328570730556	3.6420802180984566	rod	Vibrio parahaemolyticus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
672	3.0000000000000004	0.7	1.0647381101791404	6.5973445725385655	rod	Vibrio vulnificus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
727	1.0	0.3	0.0636172512351933	0.9424777960769379	oval	Haemophilus influenzae	Haemophilus	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
747	0.8660254037844386	0.3535533905932738	0.07345183754702489	0.961912372621398	oval	Pasteurella multocida	Pasteurella	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
781	1.095445115010332	0.4	0.12090253220994587	1.376576930290914	rod-shaped	Rickettsia conorii	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria
813	0.5477225575051662	0.5477225575051662	0.08603605814318219	0.9424777960769384	spherical	Chlamydia trachomatis	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria
826	4.898979485566356	0.3872983346207417	0.5619382535379379	5.960752959477659	rod	Sebaldella termitidis	Sebaldella	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
849	1.4491376746189435	0.5291502622129179	0.2798932789673064	2.4090096280091	spheroid	Fusobacterium gonidiaformans	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
851	3.0000000000000004	0.5291502622129179	0.620945717137548	4.9871237292396495	rod	Fusobacterium nucleatum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
852	0.8944271909999159	0.6928203230275509	0.2501287376067124	1.9467737644673333	oval	Fusobacterium perfoetens	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
855	6.324555320336758	0.5291502622129179	1.3520536170951452	10.513779971646771	spindle	Fusobacterium simiae	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
856	1.1832159566199232	0.458257569495584	0.16995805849755022	1.7034270439089167	rod	Fusobacterium varium	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
858	2.449489742783178	0.7483314773547882	0.9676307326562682	5.758634455116964	rod	Fusobacterium necrogenes	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
859	1.8	0.5916079783099616	0.4405919306518683	3.345464301234634	rod	Fusobacterium necrophorum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
860	5.2915026221291805	0.7071067811865476	1.985408159304888	11.754763358538996	rod	Fusobacterium periodonticum	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
873	3.5	0.5	0.6544984694978736	5.497787143782138	vibrio-shaped	Desulfocurvibacter africanus	Desulfocurvibacter	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
923	1.0	0.5	0.16362461737446832	1.5707963267948966	rod-shaped	Guyparkeria hydrothermalis	Guyparkeria	Thioalkalibacteraceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
927	1.224744871391589	0.3872983346207417	0.12907768585830864	1.490188239869415	rod-shaped	Halothiobacillus neapolitanus	Halothiobacillus	Halothiobacillaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
940	2.449489742783178	0.3872983346207417	0.2733645417515184	2.98037647973883	rod-shaped	Hydrogenobacter thermophilus	Hydrogenobacter	Aquificaceae	Aquificales	Aquificae	Aquificae	Bacteria
979	2.7386127875258306	0.5656854249492381	0.6408977138051014	4.866934411168336	rod-shaped	Cellulophaga lytica	Cellulophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
983	3.1622776601683795	0.5916079783099616	0.8150675609686346	5.877381679269498	rod-shaped	Flavobacterium flevense	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
986	4.743416490252568	0.34641016151377546	0.4361736757754192	5.162163488590926	rod-shaped	Flavobacterium johnsoniae	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
991	4.743416490252568	0.5291502622129179	1.004343027792282	7.885334978735076	rod-shaped	Flavobacterium hydatis	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
996	5.47722557505166	0.3872983346207417	0.6300612660389651	6.66432440723755	rod-shaped	Flavobacterium columnare	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
1063	1.7320508075688772	1.3416407864998738	1.8163958159225289	7.300401616752501	ovoid-shaped	Cereibacter sphaeroides	Cereibacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
1126	3.24037034920393	3.24037034920393	17.814866446946194	32.98672286269284	sphere/spheroid	Microcystis aeruginosa	Microcystis	Microcystaceae	Chroococcales		Cyanobacteria	Bacteria
1129	1.309547246573468	1.309547246573468	1.1758776549268883	5.387561195689564	sphere/spheroid		Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Bacteria
1142	2.9594807281157647	2.9594807281157647	13.57204125170399	27.515721503640265	sphere/spheroid		Synechocystis	Merismopediaceae	Synechococcales		Cyanobacteria	Bacteria
1144	3.741657386773941	3.741657386773941	27.42778116992432	43.982297150257104	sphere/spheroid	Synechocystis sp. PCC 6701	Geminocystis	Chroococcaceae	Chroococcales		Cyanobacteria	Bacteria
1148	2.3979157616563596	2.3979157616563596	7.219388101549009	18.064157758141302	sphere/spheroid	Synechocystis sp. PCC 6803	Synechocystis	Merismopediaceae	Synechococcales		Cyanobacteria	Bacteria
1152	2.029875044783283	2.029875044783283	4.379318537407468	12.944595428163478	sphere/spheroid		Pseudanabaena	Pseudanabaenaceae	Pseudanabaenales		Cyanobacteria	Bacteria
1158	5.834878734848457	5.834878734848457	104.01455757907459	106.95806611148997	sphere/spheroid		Oscillatoria	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria
1168	3.24037034920393	3.24037034920393	17.814866446946194	32.98672286269284	sphere/spheroid	Nostoc sp. PCC 7119	Nostoc	Nostocaceae	Nostocales		Cyanobacteria	Bacteria
1177	3.24037034920393	3.24037034920393	17.814866446946194	32.98672286269282	sphere/spheroid		Nostoc	Nostocaceae	Nostocales		Cyanobacteria	Bacteria
1184	2.0346989949375804	2.0346989949375804	4.410614836186082	13.006193585861745	sphere/spheroid	Leptolyngbya boryana	Leptolyngbya	Leptolyngbyaceae	Pseudanabaenales		Cyanobacteria	Bacteria
1190	6.324555320336758	6.324555320336758	132.4611768772814	125.66370614359175	sphere/spheroid		Fischerella	Hapalosiphonaceae	Nostocales		Cyanobacteria	Bacteria
