taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	superkingdom
160	10.95445115010332	0.1341640786499874	0.15423267133193422	4.617179388582711	spiral	Treponema pallidum	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
173	12.649110640673515	0.10000000000000002	0.09908408327016188	3.9738353063184406	spiral	Leptospira interrogans	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
195	0.316227766016838	0.316227766016838	0.016557647109660175	0.31415926535897937	sphere/rod	Campylobacter coli	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
197	1.118033988749895	1.118033988749895	0.7317515344834091	3.9269908169872414	sphere/spiral	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
199	4.0	0.7071067811865476	1.4782362655832644	8.885765876316732	spiral	Campylobacter concisus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
294	2.23606797749979	0.5	0.4063259972151518	3.512407365520364	rod	Pseudomonas fluorescens	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
305	1.5	0.5	0.2617993877991494	2.3561944901923453	rod	Ralstonia solanacearum	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
316	1.7320508075688772	0.5	0.3073624573190221	2.7206990463513265	rod	Pseudomonas stutzeri	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
317	1.5	0.916515138991168	0.7880494799516908	4.318975841337722	rod	Pseudomonas syringae	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
346	1.7320508075688772	0.6123724356957945	0.4500115479020361	3.3321622036187737	rod	Xanthomonas citri	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
347	1.1832159566199232	0.5291502622129179	0.22141403886860744	1.9669481246914031	rod	Xanthomonas oryzae	Xanthomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
384	1.43	0.84	0.6373034857072254	3.7736810954920585	rod	Rhizobium leguminosarum	Rhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
485	0.7745966692414834	0.7745966692414834	0.2433467205584167	1.8849555921538759	sphere	Neisseria gonorrhoeae	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
487	0.9486832980505138	0.9486832980505138	0.4470564719608244	2.827433388230814	sphere	Neisseria meningitidis	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
520	0.8	0.4	0.08377580409572784	1.005309649148734	rod	Bordetella pertussis	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
550	7.372923436466704	0.6	2.0280963215489267	13.897633262090283	rod	Enterobacter cloacae	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
573	2.0	0.5	0.3599741582238304	3.1415926535897927	rod	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
