ID	designation	strain	type_strain	species	shape	reference	taxid	length	width	volume	surface
159837	OUC007	KCTC 52933, MCCC 1K03450, OUC007	1	Abyssibacter profundi	rod-shaped	66716	2182787	1.797220075561143	0.4898979485566356	0.307986807252134	2.7660291632093235
132478	L81	DSM 29592, JCM 30920	1	Abyssivirga alkaniphila	rod-shaped	43989	1675854	3.1622776601683795	0.5	0.5881868431373627	4.967294132898051
24718	FYK2218	DSM 28897, KCTC 12899, NBRC 101209	1	Acanthopleuribacter pedis	rod-shaped	32501	442870	3.358571124749333	0.8366600265340756	1.693144957192631	8.827819456185178
7517	CSC	DSM 14247, CCUG 49701, NBRC 107788, CIP 109141	1	Acaricomes phytoseiuli	coccus-shaped	31628	291968	1.224744871391589	0.6324555320336759	0.3185343606099185	2.433467205584167
134101	Z7	JCM 12359, AS1.5012	1	Acetanaerobacterium elongatum	rod-shaped	31285	258515	6.0	0.3	0.4170464247640451	5.654866776461628
132679	GGR1	DSM 101079, CECT 9155	1	Acetivibrio saccincola	rod-shaped	25017	1677857	7.0710678118654755	0.2	0.22004975180552513	4.442882938158366
2827	CSK1	DSM 16021, IAM 15070	1	Acetivibrio straminisolvens	filament-shaped	23077	253314	4.898979485566356	0.7071067811865476	1.8312646840311635	10.882796185405306
12		DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894	1	Acetobacter cerevisiae	rod-shaped	23233	178900	2.8284271247461903	1.0	1.9596420812800337	8.885765876316732
23	985, R-36330	DSM 19596, LMG 24244	1	Acetobacter fabarum	rod-shaped	23238	483199	1.8973665961010275	0.8	0.8196791869632613	4.768602367582128
22	430A, R-29337	DSM 18895, LMG 23848	1	Acetobacter ghanensis	rod-shaped	23237	431306	1.9364916731037085	0.8	0.8393455956805025	4.866934411168335
13		DSM 14337, CIP 108768, LMG 1746	1	Acetobacter malorum	ellipsoidal	23233	178901	1.1958260743101399	0.9	0.5698999243242512	3.3811185690214716
132413	Bo7	DSM 23824, CECT 7722	1	Acetobacter musti	coccus-shaped	43764	864732	1.42828568570857	1.2	1.162963712164891	5.3845101809394045
20	RG1	DSM 23921, LMG 23498, MTCC 6912, RG1	1	Acetobacter nitrogenifigens	rod-shaped	23235	1120919	1.7320508075688772	0.14142135623730953	0.026466509973820215	0.7695298980971185
19	B13	DSM 23926, CECT 5830, LMG 21952	1	Acetobacter oeni	rod-shaped	23234	304077	4.28485705712571	0.8485281374238571	2.2630857956490313	11.422270986930771
11		DSM 11825, LTH 2458	1	Acetobacter pomorum		23232	65959	1.4422205101855958	0.9797958971132712	0.8411590789262641	4.439327208946782
21	CWBI-B418	DSM 18889, LMG 23690	1	Acetobacter senegalensis	coccus-shaped	23236	446692	1.5491933384829668	0.8	0.644668219233769	3.8935475289346675
140509		LMG 3411, CCUG 62454	1	Achromobacter agilis	rod-shaped	43168	1353888	1.161895003862225	0.529150262212918	0.2167253164700291	1.9315047148820985
133323		AVA-1, LMG 29108, NBRC 111463, PCU 352, TISTR 2383	1	Achromobacter aloeverae	rod-shaped	25141	1750518	2.7386127875258306	0.9797958971132712	1.8186158280452935	8.42977767724887
140506		LMG 3458, CCUG 62433	1	Achromobacter deleyi	rod-shaped	43168	1353891	1.3416407864998738	0.529150262212918	0.25625347858740205	2.230309534156422
322	API 201-3-84	DSM 23807, CCUG 47057, LMG 6003, CIP 108202	1	Achromobacter insolitus	coccus-shaped	23266	217204	1.4142135623730951	1.4142135623730951	1.4809609793861225	6.283185307179587
140507		CCUG 62449, LMG 3441	1	Achromobacter kerstersii	rod-shaped	43168	1353890	1.161895003862225	0.529150262212918	0.2167253164700291	1.9315047148820985
140854		CCUG 56371, CCM 7608, CECT 7342, LMG 26219	1	Achromobacter marplatensis		43665		1.979898987322333	0.66332495807108	0.6077944225850302	4.125905194136061
140508		LMG 3431, CCUG 61959, ATCC 15445	1	Achromobacter pestifer	rod-shaped	43168	1353889	1.161895003862225	0.529150262212918	0.2167253164700291	1.9315047148820985
323	API 198-2-84	CIP 108199, DSM 23806, CCUG 47062, LMG 5911	1	Achromobacter spanius	coccus-shaped	23266	217203	1.4142135623730951	1.4142135623730951	1.4809609793861225	6.283185307179587
99	ADV 255.99, AIP 283.01	DSM 21505, CCUG 50930, CIP 108586, KCTC 15229	1	Acidaminococcus intestini	coccus-shaped	22965	187327	0.5477225575051661	0.5477225575051661	0.08603605814318212	0.9424777960769378
133383	SK-11	DSM 100508, NBRC 111227	1	Acidicapsa acidisoli	rod-shaped	25290	1615681	1.1832159566199232	0.8366600265340756	0.49718098954244094	3.1100180567108566
142	KA1	DSM 23886, LMG 25897, VKM B-2678	1	Acidicapsa borealis	rod-shaped	23352	946336	1.7320508075688772	0.7348469228349535	0.6307022062717472	3.9985946443425298
159709	4GSKX	CGMCC 1.15449, LMG 29213	1	Acidicapsa dinghuensis	rod-shaped	66598	2218256	0.8660254037844386	0.5656854249492381	0.17026517236775027	1.539059796194237
143	WH120	DSM 25248, LMG 26244, NCCB 100371, VKM B-2677	1	Acidicapsa ligni	rod-shaped	23352	542300	1.4142135623730951	0.6324555320336759	0.37805770537719596	2.809925892416291
106	ICP	DSM 10331, NBRC 103882	1	Acidimicrobium ferrooxidans	rod-shaped	22968	525909	1.224744871391589	0.3741657386773941	0.12095384158203352	1.4396586137792404
132354	DHOF10	DSM 103429, CGMCC 1.13007, KCTC 42631	1	Acidipila dinghuensis	coccus-shaped	43829	1560006	1.1832159566199232	0.812403840463596	0.47296181536084486	3.019853384952085
158421	JS278	DSM 106790, VTT E-113202	1	Acidipropionibacterium virtanenii	rod-shaped	66688	2057246	2.23606797749979	0.7	0.7707426145373806	4.917370311728509
82	TPB606	DSM 21000, VKM B-2487	1	Acidisoma sibiricum	coccus-shaped	22964	512383	2.083266665599966	0.916515138991168	1.1728505970155512	5.9983855998602955
81	WM1	DSM 19999, VKM B-2488	1	Acidisoma tundrae	coccus-shaped	22964	512382	2.7910571473905725	1.0954451150103324	2.2863651564247243	9.605262200553577
67	HS-AP3	DSM 16009, JCM 10600	1	Acidisphaera rubrifaciens	coccus-shaped	23249	50715	0.9797958971132712	0.8366600265340756	0.38534497074813406	2.5753396198427985
130138	11Fe	DSM 29468, ATCC 33020, JCM 18981	1	Acidithiobacillus ferridurans	rod-shaped	31013	1232575	1.5	1.5	1.7671458676442586	7.0685834705770345
133033	PMMR2	DSM 27394, LMG 28340	1	Acidobacterium ailaaui	rod-shaped	25069	1382359	1.4866068747318506	0.7937253933193772	0.6046623368457611	3.706946210513003
133532	AL46	NBRC 104303, DSM 108313, VTCC-D9-1	1	Acidocella aluminiidurans	rod-shaped	29361	472056	1.4	0.3	0.09189158511750144	1.319468914507713
158255	Ok2G	DSM 104037, NBRC 112502	1	Acidocella aquatica	rod-shaped	65256	1922313	1.6733200530681511	0.6928203230275509	0.5437644288155639	3.6420802180984557
2903	R-24608	DSM 19327, LMG 24103	1	Acidovorax caeni	rod-shaped	32368	343013	1.8	0.9	0.9542587685278998	5.089380098815465
158808	KNDSW-TSA6	MTCC 12652, KCTC 52819, VTCC-B-910010	1	Acidovorax kalamii	rod-shaped	65571		2.3664319132398464	0.7345747068882783	0.8991247257221376	5.461096574410287
2905	N35	DSM 23535, LMG 25767	1	Acidovorax radicis	rod-shaped	23078	999386	1.7320508075688772	0.3872983346207417	0.18884325844144845	2.107444419312218
2904	BL21	DSM 25157, JCM 15909, KCTC 22399	1	Acidovorax soli	rod-shaped	29733	592050	1.3	0.5	0.222529479629277	2.0420352248333655
23868	NF 1078	DSM 27981, CCUG 62584, LMG 26971	1	Acidovorax wautersii	rod-shaped	30860	1177982	3.0	0.45	0.45327291505075235	4.241150082346221
130449	SAP 284.1	DSM 29976, CECT 8128, LMG 26959, CCUG 68432, CIP 110548	1	Acinetobacter boissieri	ovoid-shaped	30741	1219383	1.5	1.5	1.7671458676442586	7.0685834705770345
140606	WCHA30	KCTC 52503, GDMCC 1.1101, CCTCC AB 2016203, DSM 107594	1	Acinetobacter defluvii	coccus-shaped	43264	1871111	0.8366600265340756	0.7348469228349535	0.2509535377999676	1.931504714882099
140912	114	CCUG 65204, DSM 27228	1	Acinetobacter equi	rod-shaped	43765		1.224744871391589	0.8	0.4815826319245302	3.0781195923884734
133403	BRTC-1	ACCC 19936, JCM 31367	1	Acinetobacter larvae	coccus-shaped	25280	1789224	0.7416198487095663	0.4	0.07643953791934832	0.931946987384939
130450	SAP 763.2	CCUG 68431, CIP 110549, DSM 29975, CECT 8127, LMG 26958	1	Acinetobacter nectaris	ovoid-shaped	30741	1392540	1.5	1.5	1.7671458676442586	7.0685834705770345
132918	BQ4-1	DSM 105039, CFCC 10780, JCM 18011, CCUG 69709	1	Acinetobacter puyangensis	rod-shaped	30910	1096779	0.9	0.6	0.19792033717615695	1.6964600329384882
134305	JC2129	KCTC 12704, JCM 14002	1	Actibacter sediminis	rod-shaped	32340	449463	2.8	0.8	1.2733922222550629	7.037167544041136
24522	R46	DSM 28448, CECT 7668, KCTC 23349	1	Actibacterium mucosum	ovoid-shaped	30524	1454373	1.0	0.35	0.08498662626429887	1.0995574287564276
141146	JN33	CGMCC 1.16012, KCTC 52653, DSM 109121	1	Actibacterium pelagium	rod-shaped	44067	2029103	1.9364916731037085	0.848528137423857	0.935116456739174	5.162163488590929
141055	LS-811	BCRC 80823, JCM 30681	1	Actibacterium ureilyticum	rod-shaped	43935		1.688194301613413	0.6928203230275509	0.5493718884104595	3.6744549011642853
17007	TT00-28	DSM 45447, KCTC 19537, NBRC 103682	1	Actinoallomurus amamiensis	rod-shaped	29127	478109	1.1	0.75	0.375518496874405	2.5918139392115793
132110	A3015	DSM 45445, KCTC 19535, NBCR 103678	1	Actinoallomurus caesius	rod-shaped	29127	478115	1.15	0.9	0.5407466354991431	3.2515483964654357
17008	TT04-09	DSM 45450, KCTC 19542, NBRC 103688	1	Actinoallomurus coprocola	rod-shaped	29127	478106	1.1	0.75	0.375518496874405	2.5918139392115793
17011	TT02-15	DSM 45452, KCTC 19538, NBRC 103683	1	Actinoallomurus luridus	rod-shaped	29127	478111	1.1	0.75	0.375518496874405	2.5918139392115793
17012	TTN02-30	DSM 45449, KCTC 19541, NBRC 103687	1	Actinoallomurus purpureus	rod-shaped	29127	478114	1.1	0.75	0.375518496874405	2.5918139392115793
17013	TTN02-22	DSM 45451, KCTC 19540, NBRC 103686	1	Actinoallomurus yoronensis	rod-shaped	29127	478110	1.1	0.65	0.2931171395646227	2.2462387473167023
7797	CS5-AC17	DSM 45178, JCM 16894, NBRC 107355, NRRL B-24660	1	Actinocatenispora rupis		29428	519421	1.25	0.45	0.17494744089678163	1.7671458676442586
7795	TT2-10	DSM 44816, JCM 12343, PCU 235	1	Actinocatenispora thailandica	rod-shaped	31699	227318	0.7071067811865476	0.34641016151377546	0.05576044788697018	0.7695298980971184
132014	OB1	DSM 45618, ATCC BAA 2771	1	Actinocrinis puniceicyclus	filament-shaped	25215	977794	19.364916731037084	1.224744871391589	22.33279886604086	74.50941199347075
16999		DSM 45200, CCTCC AA 208017, JCM 16896, YIM 61435	1	Actinomadura flavalba	rod-shaped	29310	561175	5.0	0.6	1.3571680263507908	9.42477796076938
140372	pika_113	DSM 104049, CGMCC 4.7372	1	Actinomyces gaoshouyii	rod-shaped	43895	1960083	1.32664991614216	0.4898979485566356	0.21928642190237876	2.041793549558854
140290	VUL4_1	DSM 104050, CGMCC 4.7370	1	Actinomyces liubingyangii	rod-shaped	43236	1921764	0.9797958971132712	0.7745966692414834	0.3400445785790627	2.3843011837910644
192	4401292, CSUR P18	DSM 23047, CCUG 53522, KCTC 15158, CSUR P18	1	Actinomyces massiliensis	rod-shaped	28916	1167628	0.9219544457292888	0.5089204259999789	0.1530343645636743	1.4740398260901304
158436	VUL4_3	DSM 103436, CGMCC 4.7369	1	Actinomyces tangfeifanii	rod-shaped	66727	1912795	1.0816653826391969	0.6928203230275509	0.3207158728857607	2.3543087800141644
193	7400942	KCTC 15137, DSM 23838, CCUG 55928, CSUR P35	1	Actinomyces timonensis	rod-shaped	29427	521393	1.7888543819998317	0.3872983346207417	0.19553527189632078	2.1765592370810616
140287	VUL7	DSM 103437, CGMCC 4.7366	1	Actinomyces vulturis	rod-shaped	43234	1857645	1.140175425099138	0.6324555320336759	0.2919660854908665	2.265434679827796
196	2298, 2298/06	DSM 24894, CCM 7951, CCUG 61299, CIP 110333, LMG 26472	1	Actinomyces weissii	rod-shaped	30418	675090	6.0	1.25	6.851780852555864	23.561944901923447
24730	H55	DSM 45460, CCUG 62965	1	Actinopolyspora mzabensis	rod-shaped	30881	995066	1.45	0.55	0.3009383962751223	2.50542014123786
17634	GE134766	DSM 44926, NRRL B-24431	1	Actinospica acidiphila	rod-shaped	31589	304899	0.6928203230275509	0.5	0.10331002884267264	1.0882796185405306
17635	GE134769	DSM 44927, JCM 14908, NRRL B-24432	1	Actinospica robiniae	rod-shaped	31589	479430	1.0954451150103321	0.6	0.25318114155083943	2.0648653954363714
133962	CF5-4	KCTC 29134, CCTCC AB 2012198	1	Actinotalea ferrariae	rod-shaped	30960	948458	1.15	0.45	0.1590431280879833	1.6257741982327178
158625	THG-T121	KACC 19191, CGMCC 4.7389	1	Actinotalea solisilvae	rod-shaped	65350		1.0954451150103321	0.6928203230275509	0.32591070960403173	2.384301183791064
133587	6515J-31	KACC 14117, NBRC 106133	1	Adhaeribacter aerolatus	rod-shaped	29671	670289	2.244994432064365	1.0954451150103321	1.7717131719642907	7.726018859528394
133589	6424S-25	KACC 14118, NBRC 106134	1	Adhaeribacter aerophilus	rod-shaped	29671	670288	2.932575659723036	0.99498743710662	2.0223249109154935	9.166777616527783
3764	MBRG1.5	DSM 16391, NCIMB 14008	1	Adhaeribacter aquaticus	rod-shaped	31334	299567	3.45	1.3	4.004090736694091	14.090043051350223
158784	17mud1-7	KCTC 52873, NBRC 112824	1	Adhaeribacter swui	rod-shaped	65538		2.23606797749979	0.7071067811865476	0.7855417801684584	4.967294132898051
140958	HY02	KCTC 52512, JCM 31652	1	Adhaeribacter terrae	rod-shaped	43858		1.857417562100671	0.7937253933193772	0.7881397775271599	4.631585599529358
133455	DNG6	CGMCC 1.6961, NBRC 104235	1	Adhaeribacter terreus	rod-shaped	29044	529703	1.5	0.4	0.17174039839624206	1.8849555921538759
22982	NR06	DSM 22242, CCUG 57646, KCTC 15365	1	Adlercreutzia caecicola	rod-shaped	30824	747645	1.5	0.5	0.2617993877991494	2.356194490192345
3077	B7	DSM 21839, CCUG 56815	1	Adlercreutzia caecimuris	rod-shaped	29529	1235794	2.0	0.5	0.35997415822383044	3.141592653589793
3073	FJC-B9	DSM 19450, CCUG 54925, JCM 14793, KCTC 15235	1	Adlercreutzia equolifaciens	ovoid-shaped	32379	446660	2.1	0.65	0.6249478636000446	4.288273972150068
3072	do03	DSM 18785, JCM 14811, AHU 1763	1	Adlercreutzia equolifaciens subsp. celatus	rod-shaped	32059	394340	2.5	0.45	0.37375135100676066	3.5342917352885173
3076	Mt1B8	DSM 19490, CCUG 54980	1	Adlercreutzia mucosicola	rod-shaped	28980	580026	2.0	0.5	0.35997415822383044	3.141592653589793
140913		ACCC 06485, JCM 30465, LAM 0050	1	Advenella alkanexedens	coccus-shaped	43767		0.6928203230275509	0.6928203230275509	0.1741247389664849	1.5079644737231006
383	WT001	DSM 17095, LMG 22965, MTCC 7002	1	Advenella kashmirensis	coccus-shaped	31452	310575	1.4	1.05	0.9091965489029709	4.6181412007769955
