	length	taxID	spname
5	1-1.2	269084	Synechococcus elongatus PCC 6301
8	4-5	118323	Oscillatoria acuminata
10	1.8-2.3	1184	Leptolyngbya boryana
11	0.8-1	59930	Cyanobium gracile
12	3.5-4-4-5	113355	Geminocystis herdmanii PCC 6308
14	1-1.2	1129	Synechococcus
15	1.3-1.5	195253	Synechococcus sp.
16	2	270636	Spirulina major
19	4 - 5	1158	Oscillatoria
20	1.8 - 2.3	272136	Leptolyngbya sp. PCC 6402
21	0.8 - 1.3	1173264	Leptolyngbya sp.
22	4 - 5	402777	Kamptonema formosum
23	1.8 - 2.3	47251	Leptolyngbya
24	3 - 3.5	1177	Nostoc
25	3 - 3.5	1177	Nostoc
26	4 - 5	1158	Oscillatoria
27	5 -6	44473	Gloeothece membranacea
28	4 - 5	272129	Kamptonema sp.
30	4 - 5	1158	Oscillatoria
31	1.2 - 1.4	1129	Synechococcus
32	2.5 - 3	1173032	Chamaesiphon minutus
33	3.5 - 4	1144	Synechocystis sp. PCC 6701
34	2.3 - 2.5	1142	Synechocystis
35	1.8 - 2.3	47251	Leptolyngbya
36	3 - 3.5	1177	Nostoc
37	0.8 - 1	1129	Synechococcus
38	1 - 1.2	1129	Synechococcus
39	0.8 - 1	1129	Synechococcus
40	1 - 1.2	1129	Synechococcus
41	1.2 - 1.4	167375	Cyanobium
42	4	1142	Synechocystis
43	6.3	118675	Chroococcidiopsis sp. PCC 6712
44	0.8 - 1	167375	Cyanobium
45	1.2 - 1.4	33070	Thermostichus lividus
46	1.2 - 1.4	32048	Synechococcus sp. PCC 6716
47	1.2 - 1.4	115741	Synechococcus sp. PCC 6717
49	3 - 3.5	1177	Nostoc
51	2 - 2.5	118173	Pseudanabaena sp.
52	2.3 - 2.5	2174229	Synechocystis sp.
53	6-7	1142	Synechocystis
54	2.3 - 2.5	1142	Synechocystis
55	2.3 - 2.5-6-7	1142	Synechocystis
56	6	1142	Synechocystis
57	1.3 - 1.8	47918	Pseudanabaena galeata PCC 6901
59	2.5 - 3	102126	Pseudanabaena sp. PCC 6903
60	0.8 - 1	167375	Cyanobium
61	2.3 - 2.5	1142	Synechocystis
63	0.8 - 1	167375	Cyanobium
64	5 - 6	197232	Gloeothece tepidariorum PCC 6909
65	5 - 6	28070	Gloeothece
66	3 - 3.5	43988	Cyanothece
67	0.8 - 1	167375	Cyanobium
69	0.8	180281	Cyanobium sp.
70	1.2 - 1.5	32049	Synechococcus sp.
71	1.8 - 2	1129	Synechococcus
