	species	length	width	Shape	reference	volume	surface
0	Campylobacter jejuni	1.118033988749895	1.118033988749895	sphere/spiral	Rodrigues, R.C., Pocheron, AL., Hernould, M. et al. Description of Campylobacter jejuni Bf, an atypical aero-tolerant strain. Gut Pathog 7, 30 (2015). https://doi.org/10.1186/s13099-015-0077-x	0.7317515344834091	3.926990816987242
1	Listeria monocytogenes	1.4142135623730951	1.0	rod	"Abdollah Jamshidi, Tayebeh Zeinali, ""Significance and Characteristics of Listeria monocytogenes in Poultry Products"", International Journal of Food Science, vol. 2019, Article ID 7835253, 7 pages, 2019. https://doi.org/10.1155/2019/7835253"	0.8489213467404422	4.442882938158366
2	Staphylococcus aureus	1.0	1.0	sphere	Monteiro, J. M., Fernandes, P. B., Vaz, F., Pereira, A. R., Tavares, A. C., Ferreira, M. T., Pereira, P. M., Veiga, H., Kuru, E., VanNieuwenhze, M. S., Brun, Y. V., Filipe, S. R., & Pinho, M. G. (2015). Cell shape dynamics during the staphylococcal cell cycle. Nature communications, 6, 8055. https://doi.org/10.1038/ncomms9055	0.5235987755982988	3.141592653589793
3	Streptococcus pneumoniae	0.7905694150420949	0.7905694150420949	sphere	Patterson MJ. Streptococcus. In: Baron S, editor. Medical Microbiology. 4th edition. Galveston (TX): University of Texas Medical Branch at Galveston; 1996. Chapter 13. Available from: https://www.ncbi.nlm.nih.gov/books/NBK7611/	0.2587132360884402	1.963495408493621
4	Campylobacter coli	0.31622776601683794	0.31622776601683794	sphere/rod	Lansing M. Prescott, John P. Harley, and Donald A. Klein, 2005. Campylobacter. Microbiology 6th Edition 430-433, 500.	0.016557647109660168	0.31415926535897937
5	Klebsiella pneumoniae	2.0	0.5	rod	Liu, L., Li, F., Xu, L., Wang, J., Li, M., Yuan, J., Wang, H., Yang, R., & Li, B. (2020). Cyclic AMP-CRP Modulates the Cell Morphology of Klebsiella pneumoniae in High-Glucose Environment. Frontiers in microbiology, 10, 2984. https://doi.org/10.3389/fmicb.2019.02984	0.35997415822383044	3.141592653589793
6	Mycobacterium tuberculosis	2.8284271247461903	0.31622776601683794	rod	Ufimtseva, E., Eremeeva, N.E., Vakhrusheva, D.V., & Skornyakov, S.N. (2019). Mycobacterium tuberculosis shape and size variations in alveolar macrophages of tuberculosis patients. Tuberculosis.	0.21386532335308825	2.809925892416291
7	Vibrio parahaemolyticus	1.833030277982336	0.6324555320336759	rod	Drake, S. L., DePaola, A., & Jaykus, L. A. (2007). Overview of Vibrio vulnificus and Vibrio parahaemolyticus. Comprehensive Reviews in Food Science and Food Safety, 6 , 120-145.	0.5096328570730556	3.6420802180984566
8	Vibrio cholerae	3.0740852297878796	0.3794733192202055	rod	Chatterjee, T., Chatterjee, B.K. & Chakrabarti, P. Modelling of growth kinetics of Vibrio cholerae in presence of gold nanoparticles: effect of size and morphology. Sci Rep 7, 9671 (2017). https://doi.org/10.1038/s41598-017-09357-0	0.33336504157603136	3.664772526228933
9	Neisseria meningitidis	0.9486832980505138	0.9486832980505138	sphere	Vazquez, J. (2006). SITUACIÓN ACTUAL DE LA EPIDEMIOLOGÍA DE LA ENFERMEDAD MENINGOCÓCICA. Programa Externo de Control de Calidad SEIMC. Volume 24, Supplement 1, October 2006, Pages 14-18	0.4470564719608244	2.827433388230814
