Table S10. Related to section “What forces may be behind a prokaryotic cell size optimum? “ Estimates of ordinary least squares regression between KEGG pathways and volume-to-surface ratio. The fraction of total number of base pairs of all genes in a pathway divided by genome size was used as a measure of ecological/evolutionary relevance of a pathway. ɑ: Intercept, β: slope, P: p-value, R2: coefficient of determination, and AIC: Akaike Information Criterion value. 								
Pathway name	ɑ	Standard error	P-value	β	Standard error	P-value	R2	AIC
Biosynthesis of secondary metabolites	0.078849933683303	0.00185336672891	4.00002081928026E-252	-0.001104043687858	0.002042037019269	0.588831918157266	-0.000520630405703	-7097.19063605367
Microbial metabolism in diverse environments	0.051264526462845	0.00167506698315	6.58916716680775E-157	-0.000978166503416	0.001845586594381	0.596196401777017	-0.000529027353466	-7372.52279847324
Carbon metabolism	0.025935906564912	0.000871075672963	2.18101415360613E-150	-0.002040011912721	0.000959750028436	0.033719352519273	0.002580112787192	-9152.38301460014
2-Oxocarboxylic acid metabolism	0.00716743507718	0.00032308287962	2.616383629655E-93	0.000547938786095	0.000355972290958	0.123970282858103	0.001005872150644	-11852.1169731429
Fatty acid metabolism	0.006424712767081	0.000427525706319	2.45872125739149E-47	-0.000832801361793	0.000471047259765	0.077288861804735	0.001560610307306	-11089.6697075518
Biosynthesis of amino acids	0.030373280108424	0.000955016506034	2.18706724121022E-166	-0.000476835020155	0.001052235927684	0.65050328385125	-0.000584637743045	-8901.95963928906
Nucleotide metabolism	0.00662525487501	0.000304391755825	2.3649474949376E-90	-0.002960265638063	0.000335378435395	3.25146202307805E-18	0.05352432831146	-12014.3300481555
Biosynthesis of nucleotide sugars	0.008681225727229	0.000308996129349	2.58682751477776E-137	-0.000523293186452	0.000340451528075	0.124512286368031	0.001000866566469	-11973.4640954916
Biosynthesis of cofactors	0.032489979910414	0.000899475530526	7.79988842511341E-201	0.001546305696219	0.00099104095407	0.118925525128908	0.001053658683684	-9065.05309956861
Degradation of aromatic compounds	0.002102260330361	0.000227059388094	7.81273459232528E-20	0.000164238150585	0.000250173734549	0.51161594057723	-0.000418566673115	-12812.1589658537
Glycolysis / Gluconeogenesis	0.008531742387575	0.000334477874521	1.35910198725626E-117	-0.00174647542349	0.000368527281322	2.37247084488886E-06	0.015533402332121	-11757.7674204579
Citrate cycle (TCA cycle)	0.00569848835262	0.000303352495986	3.58803118508221E-70	-0.001355746121523	0.000334233380274	5.26939596576742E-05	0.011235170928093	-12023.6394510214
Pentose phosphate pathway	0.005668747598883	0.000223173498429	8.62086304345849E-117	-0.000686894194737	0.000245892266438	0.005287667005016	0.004977679124411	-12859.1464456174
Pentose and glucuronate interconversions	0.002595523326988	0.000235503221358	4.08812305132995E-27	-0.000231198721819	0.000259477138911	0.373077395327896	-0.000151557870669	-12712.7706143127
Fructose and mannose metabolism	0.003612566169381	0.000243000429124	1.9640850199443E-46	-0.000993765821081	0.000267737552547	0.000214176437241	0.009307293856332	-12627.4668985218
Galactose metabolism	0.004019697747816	0.000308182641529	1.00695325708408E-36	0.000133805948646	0.000339555228268	0.693596792019476	-0.000621499863221	-11980.6396991621
Ascorbate and aldarate metabolism	0.001217497646349	0.000120202369544	2.70012230905159E-23	-0.000142728054483	0.000132438812343	0.28136313828656	0.000118674803213	-14543.4458808375
Starch and sucrose metabolism	0.008842130078342	0.000535690829789	6.32740316700592E-56	0.001364571363411	0.000590223450249	0.020928935051594	0.003184785147325	-10475.7422978223
Amino sugar and nucleotide sugar metabolism	0.009340052203332	0.000365318433423	4.88251279667399E-118	-0.000843615074229	0.000402507368474	0.036275672913203	0.002488494568872	-11517.6906648598
Pyruvate metabolism	0.011714141470045	0.000397692531525	6.87747485813132E-148	-0.000481000932569	0.000438177107096	0.272516086172388	0.000150723635577	-11286.5662456347
Glyoxylate and dicarboxylate metabolism	0.008978953263159	0.0004499249295	6.4913188324855E-78	-0.000353452645868	0.000495726694344	0.475968771846832	-0.000361625138313	-10950.6671648991
Propanoate metabolism	0.005645437978247	0.000289484434585	7.07347277614687E-75	-0.001210958761225	0.000318953568499	0.000153119075809	0.009767362903671	-12151.0125921945
Butanoate metabolism	0.006677580299922	0.000395679577245	3.68416745540567E-58	-0.00066436024245	0.000435959236722	0.127765227395604	0.000971323938727	-11300.3788645792
C5-Branched dibasic acid metabolism	0.002259452473978	0.000121416300601	4.94507142248777E-69	6.91873246244455E-05	0.000133776319982	0.605110043673358	-0.000538906429696	-14516.0941191599
Inositol phosphate metabolism	0.001237736170676	0.000111511738706	1.83293658440365E-27	-0.000117368910268	0.000122863486739	0.339606508420971	-6.42997287008118E-05	-14747.7234610287
Oxidative phosphorylation	0.008696335483258	0.000356015563747	1.51182943284934E-109	-0.000469538741281	0.000392257478926	0.231508818926988	0.000318169992044	-11587.9045059491
Photosynthesis	0.003073976436932	0.000148063486424	2.22769709359123E-83	0.001303325780522	0.000163136154202	2.87417477879393E-15	0.044156566112473	-13976.0057599126
Photosynthesis - antenna proteins	0.001349422818539	8.31499684674331E-05	2.84150209155299E-54	0.001346320024582	9.16145256699476E-05	1.75062605256431E-45	0.13648453840667	-15546.5870146898
Carbon fixation in photosynthetic organisms	0.003894309495139	0.000146466948782	9.28659213564736E-126	-0.000669777239565	0.000161377091132	3.52545668827531E-05	0.011790002838524	-14005.5159056128
Carbon fixation pathways in prokaryotes	0.008572783709528	0.000406337597877	1.07074280460665E-85	-0.000728603248041	0.000447702229809	0.103877985813929	0.00121068147974	-11228.029191749
Methane metabolism	0.00975110671873	0.000833984214331	3.68112374070886E-30	0.001628232665101	0.0009188827082	0.07662355359863	0.001570967854127	-9270.82915454858
Nitrogen metabolism	0.005971248905506	0.000259137365543	1.91242430500883E-99	0.00095346138533	0.000285517207826	0.000862288062901	0.007409190087693	-12452.4556888165
Sulfur metabolism	0.004331603434378	0.000260759067596	1.47137876995933E-56	0.000130666560504	0.00028730399701	0.649324009878331	-0.000583542334366	-12435.4742785872
Fatty acid biosynthesis	0.00400058264384	0.00018703862846	1.01656187810712E-87	8.46447382566808E-05	0.000206078914329	0.681328354250959	-0.000611618783351	-13339.9450755353
Fatty acid elongation	4.51740518426917E-06	4.17948302246514E-06	0.279954441950363	-2.02129094162968E-06	4.60494888580398E-06	0.660775624672952	-0.000593979581006	-23686.6144157273
Fatty acid degradation	0.003799651850089	0.000381276758121	1.26011237985322E-22	-0.000931679683659	0.000420090229594	0.026732743087466	0.002873099865629	-11401.308514081
Cutin, suberine and wax biosynthesis	1.88761180261473E-05	1.02280932732067E-05	0.065179806185303	3.48667639704654E-06	1.12692996883074E-05	0.757067731992811	-0.000665349827596	-21250.5588369772
Steroid biosynthesis	5.30997214499364E-05	1.71160192751864E-05	0.001959523179127	-8.90382239376946E-06	1.88584074793491E-05	0.636902138426913	-0.000571711317862	-19849.0646013434
Primary bile acid biosynthesis	3.67980255005031E-05	1.99067515238863E-05	0.064744279741206	-4.90405756876491E-05	2.19332325929221E-05	0.025519954302892	0.00293201128979	-19437.922501141
Secondary bile acid biosynthesis	4.83320967723849E-05	1.30523898119946E-05	0.000221656745171	-2.50396536419672E-06	1.43811058924633E-05	0.86180106593392	-0.000713511668474	-20586.8452270433
Steroid hormone biosynthesis	2.79006127538117E-05	1.59332264604939E-05	0.080154933635836	-2.76229980819117E-05	1.75552079149822E-05	0.115837451864577	0.001084029822203	-20043.982071108
Glycerolipid metabolism	0.003002274587707	0.000199416059014	1.71830103785753E-47	-0.000333107631785	0.000219716351002	0.12973160344987	0.000953868297558	-13165.5241439755
Glycerophospholipid metabolism	0.00332313855689	0.000144101396831	1.4108939514351E-99	-0.000860903618443	0.00015877072911	6.95506599086483E-08	0.020456196434078	-14049.8371454759
Ether lipid metabolism	0.000103912909969	4.1262339210486E-05	0.011904780916098	-0.000159605085364	4.54627909604288E-05	0.000461588206009	0.008258319907615	-17453.8805086314
Sphingolipid metabolism	0.001372671170791	0.000265268609106	2.62606686902051E-07	-0.000224492225735	0.000292272603902	0.442566016730105	-0.000301587104688	-12388.8026935906
Arachidonic acid metabolism	6.50266868222447E-05	2.31406896931111E-05	0.005024275079648	-5.07651239553024E-05	2.54963814056064E-05	0.046672945426321	0.002174940639052	-19028.1700969048
Linoleic acid metabolism	3.8768176446614E-05	1.90853700404382E-05	0.042418504007965	-6.72886757450429E-05	2.10282355569984E-05	0.001406421024417	0.006747898642606	-19552.6190658171
alpha-Linolenic acid metabolism	0.000256191891092	4.35105354826943E-05	4.91789233135508E-09	-0.000125120409554	4.79398506501385E-05	0.009155169807757	0.004255210532335	-17309.4705057135
Biosynthesis of unsaturated fatty acids	0.000309346035719	5.46270508116686E-05	1.81411933303364E-08	-0.000154579813378	6.01880125885951E-05	0.010326428960715	0.00409789877619	-16690.1444822023
Purine metabolism	0.011945295106542	0.000383160712571	2.05191001998092E-161	-0.002331356371662	0.000422165968125	4.00228573561122E-08	0.021228237058043	-11387.8917609945
Pyrimidine metabolism	0.006792440578142	0.000280404010277	4.74918804349436E-108	-0.001485677649765	0.000308948768965	1.68732375271918E-06	0.0160077502759	-12237.7629281106
Alanine, aspartate and glutamate metabolism	0.009621774302665	0.000311237233281	2.36461869167783E-159	0.000194531661583	0.000342920773434	0.570618514065379	-0.000498921475012	-11953.7930754534
Glycine, serine and threonine metabolism	0.008250773639709	0.000332694166981	2.61191601730067E-112	-0.000632067020992	0.000366561994705	0.08487904268461	0.001448816821336	-11772.3221775247
Cysteine and methionine metabolism	0.008493788843851	0.000256349389755	5.90914321605401E-177	-7.93471131323473E-05	0.000282445419777	0.778807609752091	-0.000677722886503	-12481.8994873728
Valine, leucine and isoleucine degradation	0.004696086106025	0.000503807847052	4.49605095431169E-20	-0.002072691719901	0.000555094821889	0.000196298346612	0.009426703985391	-10642.7703287967
Valine, leucine and isoleucine biosynthesis	0.003914853562349	0.000191411332157	2.86608683822398E-81	0.00027350268833	0.0002108967535	0.194900927847238	0.000501098108122	-13277.0409645148
Lysine biosynthesis	0.004465610676561	0.000162182622142	5.40218531427239E-133	0.000143659512118	0.000178692599328	0.421567756083845	-0.000260117661797	-13728.0809550386
Lysine degradation	0.002739147122433	0.000263255854133	1.89705047856177E-24	-0.000864560938778	0.000290054953126	0.002927228063793	0.005763975195378	-12409.5349241779
Arginine biosynthesis	0.00485216698041	0.000198952855699	2.89957770459141E-109	0.00013057576545	0.000219205994199	0.551490832699412	-0.00047461487151	-13171.854155917
Arginine and proline metabolism	0.00581785756374	0.000288194591204	1.80867025613292E-79	0.000716078526548	0.000317532420762	0.024283412853285	0.002995145236436	-12163.1679911625
Histidine metabolism	0.00311893992407	0.000143660828239	5.7635787406372E-90	3.72618743491775E-05	0.000158285311216	0.813926339977521	-0.000695028569193	-14058.172003483
Tyrosine metabolism	0.002668131601447	0.000146851653682	3.29420471519563E-66	0.000378109788094	0.000161800958484	0.019589940105618	0.003269436498784	-13998.3757697302
Phenylalanine metabolism	0.00356515025514	0.000266577133694	2.05579775736926E-38	-0.000473387274587	0.000293714334569	0.107253593276856	0.001173374066912	-12375.4085425079
Tryptophan metabolism	0.003561703871688	0.000311323039796	5.31208308252391E-29	-0.0012314566473	0.000343015314939	0.000342327037347	0.008665981657851	-11953.0427373852
Phenylalanine, tyrosine and tryptophan biosynthesis	0.005659725177115	0.000241865926912	4.96498701064807E-102	0.000216772178256	0.000266487559505	0.416107166938176	-0.000248820780838	-12640.2049267143
beta-Alanine metabolism	0.001970340040273	0.000164776358069	2.09492775637559E-31	7.33074848637069E-05	0.000181550374154	0.686433678024482	-0.000615788469996	-13684.8932909761
Taurine and hypotaurine metabolism	0.001504413941339	0.000102844588385	4.1281491218257E-45	-0.000175913815209	0.000113314031938	0.120788589247608	0.001035753918727	-14967.9628412658
Phosphonate and phosphinate metabolism	0.000373164445172	6.13695077416506E-05	1.55314335778774E-09	1.98579538788111E-05	6.76168427478306E-05	0.769044574963501	-0.000672326702685	-16373.347509019
Selenocompound metabolism	0.002957023972889	0.000122030757621	4.14501825607634E-108	-0.000619008561755	0.000134453327917	4.53447867206029E-06	0.014632575030076	-14502.3535090084
Cyanoamino acid metabolism	0.001450506423037	0.000140686015514	4.74548977902073E-24	-0.000521861208555	0.000155007666476	0.000782040826802	0.007541614020088	-14115.1287509431
D-Amino acid metabolism	0.003501226661261	0.000177482781722	2.23413287433543E-76	0.000307419251824	0.000195550294988	0.116166497112013	0.001080751387292	-13482.6910154578
Glutathione metabolism	0.003949647531557	0.000210112993492	2.9676040880944E-70	0.000554583039797	0.000231502219311	0.016728519262799	0.003472329785209	-13023.2940385815
N-Glycan biosynthesis	0.000267852653218	3.7681069278543E-05	1.89030024798091E-12	7.97623688093094E-05	4.15169524693474E-05	0.054915478310488	0.001974775936713	-17701.0173485873
Various types of N-glycan biosynthesis	0.00022139896578	8.33597170507484E-05	0.008001129020188	-0.000188948056156	9.18456263826063E-05	0.039854070889344	0.002370994945123	-15539.7293241717
Mucin type O-glycan biosynthesis	0	0		0	0			-inf
Mannose type O-glycan biosynthesis	9.77154358628887E-05	2.02533584518721E-05	1.5607095531632E-06	2.41711618561134E-05	2.23151236493664E-05	0.278923335112756	0.000127385186522	-19390.9362012982
