taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas
taxid1126	3.2403703492039297	3.2403703492039297	17.814866446946194	32.98672286269284	sphere/spheroid	Microcystis aeruginosa	Microcystis	Microcystaceae	Chroococcales		Cyanobacteria	Bacteria	species	N6752	4940383.776765941	42.69248022685714	4826.633908798286	81.56626147476065	1.3481945125714287
taxid1148	2.3979157616563596	2.3979157616563596	7.219388101549009	18.064157758141306	sphere/spheroid	Synechocystis sp. PCC 6803	Synechocystis	Merismopediaceae	Synechococcales		Cyanobacteria	Bacteria	species	N5888	3678120.714293772	47.631436629628574	3418.285722343914	87.16015073039804	2.0000080581999997
taxid1184	2.0346989949375804	2.0346989949375804	4.410614836186082	13.006193585861745	sphere/spheroid	Leptolyngbya boryana	Leptolyngbya	Leptolyngbyaceae	Pseudanabaenales		Cyanobacteria	Bacteria	species	G000353285	7262454.0	47.02	6812.0	87.34518662699962	3.0
taxid32046	1.095445115010332	1.095445115010332	0.6882884651454569	3.7699111843077513	sphere/spheroid	Synechococcus elongatus	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Bacteria	species	N1298	2727716.6718114293	55.455144762799996	2714.6718114294667	89.09117010661267	2.0051447628
taxid32049	1.3416407864998738	1.3416407864998738	1.2644666515873306	5.6548667764616285	sphere/spheroid	Synechococcus sp. PCC 7002	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Bacteria	species	G000019485	3409935.0	49.19	3233.0	87.89481324424072	2.0
taxid33072	1.095445115010332	1.095445115010332	0.6882884651454569	3.7699111843077513	sphere/spheroid	Gloeobacter violaceus	Gloeobacter	Gloeobacteraceae	Gloeobacterales	Gloeobacteria	Cyanobacteria	Bacteria	species	G000011385	4659019.0	62.0	4517.0	89.14013872877531	1.0
taxid54299	4.999999999999999	4.999999999999999	65.44984694978734	78.53981633974483	sphere/spheroid	Chroococcidiopsis thermalis	Chroococcidiopsis	Chroococcidiopsidaceae	Chroococcidiopsidales		Cyanobacteria	Bacteria	species	G000317125	6689401.0	44.47	5973.0	84.39715304853155	3.0
taxid59930	0.8944271909999159	0.8944271909999159	0.37465678565550536	2.5132741228718345	sphere/spheroid	Cyanobium gracile	Cyanobium	Prochlorococcaceae	Synechococcales		Cyanobacteria	Bacteria	species	G000316515	3342364.0	68.71	3367.0	89.77953927220375	2.0
taxid64178	4.743416490252568	4.743416490252568	55.882058995103066	70.6858347057703	sphere/spheroid	Coleofasciculus chthonoplastes	Coleofasciculus	Coleofasciculaceae	Oscillatoriales		Cyanobacteria	Bacteria	species	G000155555	8679041.0	45.43	7194.0	81.85806473318885	4.0
taxid65093	4.4721359549995805	4.4721359549995805	46.83209820693819	62.83185307179586	sphere/spheroid	Halothece sp. PCC 7418	Halothece	Aphanothecaceae	Chroococcales		Cyanobacteria	Bacteria	species	G000317635	4179170.0	42.92	3848.0	86.65792489896319	3.0
taxid70799	7.483314773547884	7.483314773547884	219.4222493593946	175.92918860102844	sphere/spheroid	Nodularia spumigena	Nodularia	Aphanizomenonaceae	Nostocales		Cyanobacteria	Bacteria	species	G000340565	5462271.0	41.23	4771.0	81.43805021757434	6.0
taxid82654	1.5297058540778357	1.5297058540778357	1.8742279425964488	7.351326809400117	sphere/spheroid	Pseudanabaena sp. PCC 7367	Pseudanabaena	Pseudanabaenaceae	Pseudanabaenales		Cyanobacteria	Bacteria	species	G000317065	4885680.0	46.22	3980.0	78.91978189320626	2.0
taxid91464	1.997498435543818	1.997498435543818	4.17309206308994	12.534954687823276	sphere/spheroid	Synechococcus sp. PCC 7335	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Bacteria	species	G000155595	5973558.0	48.24	5270.0	83.94790843246186	1.0
taxid92938	6.324555320336758	6.324555320336758	132.4611768772814	125.66370614359177	sphere/spheroid	Fischerella muscicola	Fischerella	Hapalosiphonaceae	Nostocales		Cyanobacteria	Bacteria	species	N6756	6925936.267608038	41.14205248214445	5920.9342747043665	80.8605311403482	1.8231635932555552
taxid102116	30.000000000000004	30.000000000000004	14137.16694115406	2827.4333882308138	sphere/spheroid	Stanieria cyanosphaera	Stanieria	Dermocarpellaceae	Pleurocapsales		Cyanobacteria	Bacteria	species	G000317575	5544990.0	36.22	4986.0	83.81831166512472	2.0
taxid102125	15.0	15.0	1767.1458676442585	706.8583470577032	sphere/spheroid	Xenococcus sp. PCC 7305	Xenococcus	Xenococcaceae	Pleurocapsales		Cyanobacteria	Bacteria	species	G000332055	5929641.0	39.68	5361.0	86.24307947142162	1.0
taxid102129	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	sphere/spheroid	Leptolyngbya sp. PCC 7375	Leptolyngbya	Leptolyngbyaceae	Pseudanabaenales		Cyanobacteria	Bacteria	species	G000316115	9422968.0	47.62	8518.0	84.42868531443595	3.0
taxid102232	6.48074069840786	6.48074069840786	142.51893157556958	131.94689145077135	sphere/spheroid	Gloeocapsa sp. PCC 73106	Gloeocapsa	Chroococcaceae	Chroococcales		Cyanobacteria	Bacteria	species	G000332035	4025114.0	41.11	4099.0	90.3288950325382	1.0
taxid102235	1.9339079605813718	1.9339079605813718	3.7870934826479834	11.749556524425829	sphere/spheroid	Cyanobacterium stanieri	Cyanobacterium	Geminocystaceae	Chroococcales		Cyanobacteria	Bacteria	species	G000317655	3163381.0	38.66	2886.0	87.13395572648379	3.0
taxid103690	3.2403703492039297	3.2403703492039297	17.814866446946194	32.98672286269284	sphere/spheroid	Nostoc sp. PCC 7120 = FACHB-418	Nostoc	Nostocaceae	Nostocales		Cyanobacteria	Bacteria	species	G000009705	7211789.0	41.27	6159.0	82.71693750330189	4.0
taxid111781	1.5297058540778357	1.5297058540778357	1.8742279425964488	7.351326809400117	sphere/spheroid	Leptolyngbya sp. PCC 7376	Leptolyngbya	Leptolyngbyaceae	Pseudanabaenales		Cyanobacteria	Bacteria	species	G000316605	5125950.0	43.87	4720.0	85.87615954115823	2.0
taxid118163	4.898979485566356	4.898979485566356	61.56239184776946	75.39822368615499	sphere/spheroid	Pleurocapsa sp. PCC 7327	Pleurocapsa	Hyellaceae	Pleurocapsales		Cyanobacteria	Bacteria	species	G000317025	4986817.0	45.19	4607.0	84.24570221846922	3.0
taxid118173	2.23606797749979	2.23606797749979	5.854012275867273	15.707963267948966	sphere/spheroid	Pseudanabaena sp. PCC 6802	Pseudanabaena	Pseudanabaenaceae	Pseudanabaenales		Cyanobacteria	Bacteria	species	G000332175	5621883.0	47.83	5327.0	86.458149342489	2.0
taxid118322	15.491933384829665	15.491933384829665	1946.773764467333	753.9822368615503	sphere/spheroid	Lyngbya aestuarii	Lyngbya	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria	species	G000478195	6867625.0	41.16	5949.0	84.1482608616516	1.0
taxid118323	4.4721359549995805	4.4721359549995805	46.83209820693819	62.83185307179586	sphere/spheroid	Oscillatoria acuminata	Oscillatoria	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria	species	G000317105	7804270.0	47.61	6006.0	81.04348004361714	3.0
taxid118562	8.48528137423857	8.48528137423857	319.8875715474024	226.19467105846505	sphere/spheroid	Arthrospira platensis	Arthrospira	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria	species	N5454	6603697.671612188	44.261612187366666	6258.338278854033	81.86390522541642	2.0049455207
taxid147322	8.944271909999163	8.944271909999163	374.6567856555056	251.32741228718356	sphere/spheroid	Limnospira indica	Limnospira	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria	species	N5892	6197258.503020584	44.68302058375	5767.00302058375	82.26408603621596	1.5030205837500001
taxid180281	0.8	0.8	0.26808257310632905	2.010619298297468	sphere/spheroid	Cyanobium sp. PCC 7001	Cyanobium	Prochlorococcaceae	Synechococcales		Cyanobacteria	Bacteria	species	G000155635	2834252.0	68.74	2825.0	90.056141796848	2.0
taxid195253	1.3964240043768943	1.3964240043768943	1.42577350287024	6.126105674500098	sphere/spheroid	Synechococcus sp. PCC 6312	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Bacteria	species	G000316685	3720499.0	48.5	3706.0	86.88060391899046	1.0
taxid270636	2.0	2.0	4.188790204786391	12.56637061435917	sphere/spheroid	Spirulina major	Spirulina	Spirulinaceae	Spirulinales		Cyanobacteria	Bacteria	species	G001890765	5050153.0	53.48	4470.0	86.04951176726725	2.0
taxid272129	4.4721359549995805	4.4721359549995805	46.83209820693819	62.83185307179586	sphere/spheroid	Kamptonema sp. PCC 6506	Kamptonema	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria	species	G000180455	6676705.0	43.4	5664.0	84.31050945039506	1.0
taxid272131	5.47722557505166	5.47722557505166	86.03605814318216	94.24777960769384	sphere/spheroid	Nostoc punctiforme	Nostoc	Nostocaceae	Nostocales		Cyanobacteria	Bacteria	species	G000020025	9059191.0	41.35	7754.0	81.54794396100048	4.0
taxid292566	5.656854249492381	5.656854249492381	94.78150268071181	100.53096491487341	sphere/spheroid	Dactylococcopsis salina	Dactylococcopsis	Synechococcaceae	Synechococcales		Cyanobacteria	Bacteria	species	G000317615	3781008.0	42.44	3600.0	83.42767325538587	3.0
taxid331992	4.4721359549995805	4.4721359549995805	46.83209820693819	62.83185307179586	sphere/spheroid	Kamptonema formosum	Kamptonema	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria	species	G000332155	6894060.0	43.43	5762.0	83.81637235533198	1.0
taxid374982	1.3416407864998738	1.3416407864998738	1.2644666515873306	5.6548667764616285	sphere/spheroid	Synechococcus sp. PCC 73109	Synechococcus	Synechococcaceae	Synechococcales		Cyanobacteria	Bacteria	species	G001521855	3298676.0	49.34	3144.0	88.08133930098015	2.0
taxid395961	3.2403703492039297	3.2403703492039297	17.814866446946194	32.98672286269284	sphere/spheroid	Cyanothece sp. PCC 7425	Cyanothece	Cyanothecaceae	Oscillatoriales		Cyanobacteria	Bacteria	species	G000022045	5786110.0	50.65	5440.0	86.96936283617146	2.0
taxid482564	7.483314773547884	7.483314773547884	219.4222493593946	175.92918860102844	sphere/spheroid	Oscillatoria nigro-viridis	Oscillatoria	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria	species	G000317475	8272254.0	45.78	7022.0	81.14660163964984	2.0
taxid669359	4.090623489235048	4.090623489235048	35.83992942722274	52.56889985823389	sphere/spheroid	Geminocystis herdmanii	Geminocystis	Chroococcaceae	Chroococcales		Cyanobacteria	Bacteria	species	G000332235	4263418.0	34.28	4122.0	84.14628825979531	1.0
taxid927669	2.23606797749979	2.23606797749979	5.854012275867273	15.707963267948966	sphere/spheroid	Pseudanabaena biceps	Pseudanabaena	Pseudanabaenaceae	Pseudanabaenales		Cyanobacteria	Bacteria	species	G000332215	5476421.0	43.18	4838.0	82.27754951637209	1.0
taxid927677	3.2403703492039297	3.2403703492039297	17.814866446946194	32.98672286269284	sphere/spheroid	Synechocystis sp. PCC 7509	Synechocystis	Merismopediaceae	Synechococcales		Cyanobacteria	Bacteria	species	G000332075	4908825.0	41.67	4817.0	86.67516157125178	2.0
taxid1173025	1.7320508075688772	1.7320508075688772	2.7206990463513265	9.424777960769378	sphere/spheroid	Geitlerinema sp. PCC 7407	Geitlerinema	Coleofasciculaceae	Oscillatoriales		Cyanobacteria	Bacteria	species	G000317045	4681111.0	58.46	3838.0	83.72653414969223	3.0
taxid1173026	3.2403703492039297	3.2403703492039297	17.814866446946194	32.98672286269284	sphere/spheroid	Gloeocapsa sp. PCC 7428	Gloeocapsa	Chroococcaceae	Chroococcales		Cyanobacteria	Bacteria	species	G000317555	5882710.0	43.36	5250.0	84.24362241211959	2.0
taxid1173032	2.7386127875258306	2.7386127875258306	10.754507267897766	23.56194490192345	sphere/spheroid	Chamaesiphon minutus	Chamaesiphon	Chamaesiphonaceae	Synechococcales		Cyanobacteria	Bacteria	species	G000317145	6761765.0	45.67	6357.0	83.00891852940762	3.0
