taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	kingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime	hash
taxid11	2.3717082451262845	1.0606601717798212	1.7831870057271044	7.902916572420815	rod-shaped	Cellulomonas gilvus	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G000218545	3526441.0	73.81	3206.0	91.77278167988632	2.0	-0.262004997284534	0.10083561681642199	1.88
taxid14	10.000000000000002	0.4898979485566356	1.854174396229992	15.39059796194237	rod-shaped	Dictyoglomus thermophilum	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria	species	G000020965	1959987.0	33.74	1890.0	93.7772546450563	2.0	-0.0644293985559321	0.0302048386939695	0.58
taxid23	1.5	0.7	0.4874704600820161	3.2986722862692828	rod-shaped	Shewanella colwelliana	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000518705	4575622.0	45.39	4094.0	87.38313610695988	0.0	-0.653363230736463	0.24898651938515398	1.25
taxid104	1.0392304845413265	0.34641016151377546	0.08706236948324246	1.1309733552923256	ring-shaped	Cyclobacterium marinum	Cyclobacterium	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	species	G000222485	6221273.0	38.15	5114.0	87.12131745383941	3.0	-0.200637839820349	0.102721805908089	1.33
taxid114	2.0493901531919194	2.0493901531919194	4.506844334724897	13.194689145077126	spherical	Gemmata obscuriglobus	Gemmata	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria	species	G000171775	9161841.0	67.18	8067.0	84.0831880841416	3.0	-0.15418753793048998	0.0564756040241402	1.0
taxid119	1.1224972160321824	1.1224972160321824	0.7405500915879567	3.95840674352314	spherical	Rubinisphaera brasiliensis	Rubinisphaera	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	species	G000165715	6006602.0	56.45	4860.0	86.27536833637389	2.0	-0.27658312807288693	0.12414219013509699	0.28
taxid120	1.284523257866513	1.284523257866513	1.1097484283266326	5.18362787842316	spherical	Planctopirus limnophila	Planctopirus	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	species	G000092105	5460085.0	53.68	4288.0	85.07576347254667	2.0	-0.24440061970980997	0.0927114737337082	1.5
taxid122	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	spherical	Gimesia maris	Gimesia	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	species	G000181475	7777997.0	50.45	6071.0	86.99328374644527	2.0	-0.215807653011797	0.0968721019119301	1.71
taxid124	1.4142135623730951	1.0246950765959597	0.884579000346265	4.552600272623071	oval	Blastopirellula marina	Blastopirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria	species	G000153105	6663851.0	57.04	5421.0	87.14298984175966	1.0	-0.197288933764634	0.0837222251125807	0.92
taxid125	2.23606797749979	1.224744871391589	2.1533493378295727	8.603605814318215	tear-drop	Pirellula staleyi	Pirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria	species	G000025185	6196199.0	57.46	4719.0	86.33825350025072	1.0	-0.32555222962932395	0.117004226234345	0.84
taxid128	2.23606797749979	2.23606797749979	5.854012275867273	15.707963267948966	spherical	Isosphaera pallida	Isosphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria	species	G000186345	5529304.0	62.49	3792.0	84.79088869051151	3.0	-0.0660777714512351	0.0273066351457804	1.31
taxid139	10.95445115010332	0.2449489742783178	0.5123686993686073	8.429777677248868	helical	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	N946	1278391.0	28.255	1663.0	82.9343084570263	0.5	-0.07417588678171115	0.03446777475721165	1.61
taxid140	12.0	0.4242640687119285	1.6764670597167757	15.99437857737011	helical	Borrelia hermsii	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	N1339	1377933.0	30.03	1343.0	87.40915095094867	1.0	-0.0705740057282211	0.0272557041307685	0.53
taxid141	12.0	0.4242640687119285	1.6764670597167757	15.99437857737011	helical	Borrelia parkeri	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000568735	1053291.0	29.32	1080.0	91.82619048297195	1.0	-0.0637883254862301	0.0248257716734241	0.2
taxid142	12.0	0.4242640687119285	1.6764670597167757	15.99437857737011	helical	Borrelia turicatae	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000012085	917330.0	29.12	832.0	93.85804454231301	1.0	-0.0679276257781714	0.0283365114311395	0.68
taxid143	12.649110640673516	0.2449489742783178	0.5922276464572805	9.733868822336671	helical	Borrelia anserina	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G001936255	1042690.0	29.37	952.0	91.32666468461383	1.0	-0.0713082474289091	0.0305364000463788	2.43
taxid144	9.486832980505136	0.31622776601683805	0.7368152963798776	9.424777960769381	helical	Borrelia coriaceae	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000568755	1730484.0	29.22	1807.0	85.25505003224531	1.0	-0.0765024456210823	0.0296669253202061	1.52
