taxid	length	width	volume	surface	genus	family	order	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
txid6	2.75	1.0	1.8980455615438327	8.639379797371925	Azorhizobium	Xanthobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N9369	5593643.0	68.115	5075.5	88.7874815452411	2.5	-0.22318230543185452	0.0980926606487055
txid10	2.006220914929266	0.6467843638084008	0.5882760570009087	4.076506493965471	Cellvibrio	Cellvibrionaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N8629	4585976.0	48.265	3888.5	90.03776250653904	2.0	-0.501253547618635	0.208650901865648
txid13	13.160740129524925	0.4119534287814236	1.7339583919197203	17.032496497858244	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria	genus	N35	1907773.5	33.85	1854.0	93.99825999406664	2.0	-0.06658187947679231	0.03379489805280345
txid16	1.5032912570449788	0.2840133325699615	0.08864264715032245	1.3413179366037948	Methylophilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria	Bacteria	genus	N5764	2940342.0	49.61	2755.0	90.34705002042514	1.0	-0.527066422589137	0.206355161875756
txid20	1.3922079515121712	0.5308715925393103	0.264522656190687	2.3218997726586905	Phenylobacterium	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N7043	4379231.0	67.96	4273.0	91.33725666237295	1.0	-0.378461493787208	0.14679545360593801
txid22	2.1229972082093256	0.6643427515784072	0.6524794822591236	4.430895388780677	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N6292	4961143.0	45.245000000000005	4251.5	85.45548102719445	5.5	-0.666326794378909	0.2484233631449305
txid42	4.7	0.8	2.2284363889463603	11.812388377497625	Cystobacter	Archangiaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	genus	G000335475	12282374.0	68.62	10038.0	90.16672184058227	1.0	-0.271564135139307	0.0983646264030318
txid53	2.549509756796392	1.284523257866513	2.74905324874709	10.288416165848043	Nannocystis	Nannocystaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria	genus	G900112715	11612870.0	72.2	9208.0	85.53614222840693	1.0	-0.126827309383736	0.055452152244418004
txid64	1.2	0.7	0.3720169300625912	2.638937829015426	Herpetosiphon	Herpetosiphonaceae	Herpetosiphonales	Chloroflexia	Chloroflexi	Bacteria	genus	N2054	6462921.0	50.825	5531.0	88.44638408313003	2.5	-0.396433435463136	0.1739018877602595
txid68	2.0844753555825477	0.4938696795950442	0.3624181732126425	3.234141384446078	Lysobacter	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N7078	3274734.0	67.24	3060.5	89.7201310267989	1.0	-0.279179033679236	0.09936530544722741
txid75	1.9287301521985911	0.8470511463814236	0.9262794720669792	5.1325238624128815	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N7044	5151448.5	68.075	4660.0	89.3024428374562	2.0	-0.4530516425635305	0.17125707723219252
txid81	1.75	0.65	0.508807110187647	3.573561643458389	Hyphomicrobium	Hyphomicrobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N7443	4108307.0	60.81	3928.0	87.47106776587047	1.0	-0.264053240681775	0.0991441718459126
txid99	1.125138085954425	0.5119317722322865	0.19574372082760488	1.809538312662131	Ancylobacter	Xanthobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	G900100155	4505084.0	67.85	4154.0	89.56767509773401	1.0	-0.24676363298118803	0.108266107233937
txid101	4.048658389661706	0.5474176738710271	0.902944114400365	6.962734285567692	Flectobacillus	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	genus	G000427405	6221030.0	37.77	4969.0	85.87452560106607	2.0	-0.6731940853102281	0.269918275999291
txid105	6.766413615976419	1.0235546239926343	5.284724678597215	21.75802337625311	Runella	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	genus	N8819	7555966.0	44.27	6262.0	90.24711622740944	1.0	-0.422155106854811	0.18143368101011398
txid107	3.4329382923008764	0.9310953341146008	2.110495582617796	10.04176422098027	Spirosoma	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	genus	N9309	8129284.0	49.47	6831.0	88.28280194626853	1.0	-0.294853533269174	0.129834992121164
txid113	2.0493901531919194	2.0493901531919194	4.506844334724897	13.194689145077126	Gemmata	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria	genus	G000171775	9161841.0	67.18	8067.0	84.0831880841416	3.0	-0.15418753793048998	0.0564756040241402
txid118	1.5427248620541512	1.5427248620541512	1.9224898602787268	7.476990515543709	Planctomyces	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	genus	G001610895	6784659.0	69.28	5290.0	86.27337055554302	4.0	-0.106359185119613	0.043560357181766
txid127	2.23606797749979	2.23606797749979	5.854012275867273	15.707963267948966	Isosphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria	genus	G000186345	5529304.0	62.49	3792.0	84.79088869051151	3.0	-0.0660777714512351	0.0273066351457804
txid133	1.7735996572958743	0.8347144322764583	0.8158870792543947	4.6509684282022015	Methylocystis	Methylocystaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N9135	4475912.0	62.82	4333.0	86.64222083051085	1.0	-0.351914406735117	0.11900694116796302
txid138	12.075656224019305	0.386416918284236	1.4006612958194429	14.659418594529992	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N596	1383969.5	29.27	1352.5	87.16969605736955	1.0	-0.07268527544127425	0.0290017183756728
txid146	21.135955086426364	0.32393506012374385	1.7316152739752568	21.509469793033805	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N949	2516433.5	61.400000000000006	2270.5	94.2261578512547	2.0	-0.0507294052662155	0.0232046342126976
txid157	8.132693659618651	0.2581059143166201	0.4200438293674382	6.594505618530625	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	N952	2830702.0	48.715	2561.0	91.25057008033882	1.0	-0.1957309160594985	0.0788657794925122
txid171	8.98963947693608	0.10849639136436376	0.08277210285410556	3.0641317949861966	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	genus	N593	4320371.5	39.019999999999996	3907.0	82.56883191273826	1.0	-0.1971898744676145	0.09193106088109326
txid187	7.020683727387241	0.99498743710662	5.201009553348113	21.945570690241752	Aquaspirillum	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	genus	G000420525	2612795.0	49.77	2484.0	91.44724327779257	0.0	-0.548894659547609	0.23556507606821803
txid191	2.884363016304707	1.1368189533329636	2.531083259941119	10.301277740819367	Azospirillum	Azospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N8204	6716963.5	68.245	6009.0	88.30622601008993	9.0	-0.27311647504331	0.110586619930969
txid194	1.5322471662815291	0.434556971702934	0.1977436507322068	2.091825348130235	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	genus	N2178	1751734.0	31.74	1786.0	92.7263059388888	3.0	-0.19202326803295397	0.0874896195899703
txid209	4.0511851967299295	0.665378247633105	1.3229639473891377	8.468384502141808	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	genus	N1621	1809093.0	38.765	1789.0	91.28463383268718	2.0	-0.09646989411235848	0.04345376241280715
txid222	1.4784020999978331	0.7516678957692213	0.5310347627860518	3.491149486210204	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	genus	N7851	6756717.5	67.505	6175.5	90.44621300115534	2.0	-0.680343338889529	0.28480953893024696
txid226	1.8379658352372958	0.6877515653124759	0.5812004275333766	3.9711737996269383	Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N7924	4653032.5	44.6	3939.0	88.21913281816813	5.0	-0.601345273852313	0.2402584385755695
txid234	1.024557438478498	0.5931747706559563	0.2273813100713843	1.9092766199615607	Brucella	Brucellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N10169	4673590.0	53.84	4768.5	87.29126252728344	2.0	-0.5882038335855075	0.203325251963008
txid237	1.9412794608454544	0.4712727332608956	0.3070542839485401	2.8741553977611347	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	genus	N8152	3800950.0	34.599999999999994	3342.0	89.96040755237209	1.0	-0.493533747393993	0.2033681146209545
txid265	1.2411031450433991	0.6873548511818226	0.3703698654919367	2.6800244183117647	Paracoccus	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N7431	4213283.0	67.36	4057.0	90.00040862771826	1.0	-0.29958801187470097	0.124626205647068
txid270	3.02303396371331	0.4687968537533953	0.4943428382031813	4.45222995731957	Thermus	Thermaceae	Thermales	Deinococci	Deinococcus-Thermus	Bacteria	genus	N918	2263010.0	68.04	2411.0	94.25010491215731	2.0	-0.141066250230668	0.0503968262088931
txid283	1.528879655836097	0.6059042544825615	0.3749969973518895	2.910229082636952	Comamonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	genus	N8597	4938914.5	63.45	4543.5	88.03039666421245	4.0	-0.810884192265901	0.291291705903023
