#genome	scope	assembly_level	total_length	gc	proteins	protein_length	coding_density	completeness	contamination	strain_heterogeneity	16s_copies
G000005825	Monoisolate	Complete Genome	4249248	39.86	4260	1228222	85.14412432505705	98.68	1.32	0.0	7
G000006175	Multispecies	Complete Genome	1936387	28.59	1727	526927	80.16703272641264	99.05	0.0	0.0	2
G000006605	Monoisolate	Complete Genome	2476822	61.35	2137	751284	89.37868768930508	100.0	0.68	0.0	3
G000006725	Monoisolate	Complete Genome	2731750	52.62	2664	765931	82.59298984167658	99.59	0.18	0.0	2
G000006745	Monoisolate	Complete Genome	4033464	47.49	3594	1184587	86.53316355370967	99.86	0.03	0.0	8
G000006785	Monoisolate	Complete Genome	1852433	38.51	1776	539188	85.75127953345681	100.0	0.0	0.0	6
G000006845	Monoisolate	Complete Genome	2153922	52.69	2142	609210	83.31778030959339	99.82	0.21	0.0	4
G000006865	Monoisolate	Complete Genome	2365589	35.33	2383	693662	86.37848755637603	100.0	0.0	0.0	6
G000006925	Monoisolate	Complete Genome	4828820	50.65	5003	1415151	86.32972444613797	99.7	0.21	0.0	7
G000006965	Monoisolate	Complete Genome	6691694	62.17	6303	1956944	86.157242097442	99.28	0.31	0.0	3
G000006985	Monoisolate	Complete Genome	2154946	56.53	2009	639065	87.37541451154692	98.9	0.55	0.0	2
G000007005	Monoisolate	Complete Genome	2992245	35.79	3281	874971	86.12513347002	100.0	0.0	0.0	1
G000007025	Monoisolate	Complete Genome	1268755	32.44	1435	347621	80.68602685309615	99.46	0.33	0.0	1
G000007085	Monoisolate	Complete Genome	2689445	37.57	2674	812453	88.9950157002653	99.04	0.6	0.0	4
G000007105	Monoisolate	Complete Genome	2056363	46.33	1753	604103	86.56244058077294	100.0	0.0	0.0	3
G000007145	Monoisolate	Complete Genome	5076188	65.07	4292	1472146	85.45315894525577	99.64	0.0	0.0	2
G000007185	Monoisolate	Complete Genome	1694969	61.16	1814	523004	90.89635267665662	96.74	1.6	0.0	1
G000007205	Monoisolate	Complete Genome	1225935	40.58	1055	372698	89.58386863903878	99.49	0.0	0.0	1
G000007225	Monoisolate	Complete Genome	2222430	51.36	2631	675358	89.49771196393137	100.0	0.74	0.0	1
G000007265	Monoisolate	Complete Genome	2160267	35.65	2106	643747	87.7915091051245	100.0	0.18	0.0	7
G000007305	Monoisolate	Complete Genome	1908256	40.77	2102	594193	91.72212742944343	99.5	0.0	0.0	1
G000007325	Monoisolate	Complete Genome	2174500	27.15	2022	670780	90.88916992412048	99.95	0.0	0.0	5
G000007345	Monoisolate	Complete Genome	5751492	42.68	4884	1470904	75.34008566820575	99.84	0.03	0.0	3
G000007365	Monoisolate	Complete Genome	641454	25.33	600	191650	88.02720070340196	98.77	0.0	0.0	1
G000007385	Multiisolate	Complete Genome	4941439	63.69	4831	1427680	85.11399209825316	99.82	0.0	0.0	2
G000007465	Monoisolate	Complete Genome	2032925	36.83	1897	591301	85.69248742575353	100.0	0.0	0.0	5
G000007485	Monoisolate	Complete Genome	927303	46.33	934	278179	88.37435013151041	76.27	0.0	0.0	1
G000007525	Monoisolate	Complete Genome	2260266	60.13	1833	667063	86.96799403256077	100.0	0.0	0.0	4
G000007565	Multiisolate	Complete Genome	6181873	61.52	5584	1861131	88.70670749787321	99.97	1.2	0.0	7
