taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas
txid11	2.3717082451262845	1.0606601717798212	1.7831870057271044	7.902916572420815	rod-shaped	Cellulomonas gilvus	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G000218545	3526441.0	73.81	3206.0	91.77278167988632	2.0
txid14	10.000000000000002	0.4898979485566356	1.854174396229992	15.39059796194237	rod-shaped	Dictyoglomus thermophilum	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria	species	G000020965	1959987.0	33.74	1890.0	93.7772546450563	2.0
txid23	1.5	0.7	0.4874704600820161	3.2986722862692828	rod-shaped	Shewanella colwelliana	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000518705	4575622.0	45.39	4094.0	87.38313610695988	0.0
txid104	1.0392304845413265	0.34641016151377546	0.08706236948324246	1.1309733552923256	ring-shaped	Cyclobacterium marinum	Cyclobacterium	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	species	G000222485	6221273.0	38.15	5114.0	87.12131745383941	3.0
txid148	67.0820393249937	0.2449489742783178	3.1573189794778407	51.62163488590928		Sediminispirochaeta bajacaliforniensis	Sediminispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	genus	G000143985	4653970.0	48.97	4288.0	93.30079480529528	2.0
txid198	1.7320508075688772	0.31622776601683805	0.12775612876273626	1.7207211628636432	rod-shaped	Campylobacter hyointestinalis	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	G001643955	1753385.0	33.96	1786.0	91.63612098883014	3.0
txid204	3.1622776601683795	0.6324555320336759	0.9272282381409694	6.283185307179588	rod-shaped	Campylobacter showae	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	genus	N2178	1736381.657732327	33.64677994635714	1791.2767799463572	92.57635800404829	2.5624942320714283
txid210	3.5355339059327378	0.7071067811865476	1.2958408569628572	7.853981633974483	rod-shaped	Helicobacter pylori	Helicobacter	Helicobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	species	N4165	1642649.2151060326	38.851106032699995	1564.0151060327	91.16027878303152	1.8151060327
txid287	7.4154433448041415	0.6587867636800242	2.45279683576658	15.347295621083546	rod-shaped	Pseudomonas aeruginosa	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N6276	5154426.661885116	61.69983966154773	4716.320976025184	89.15439255632474	3.502794207002273
txid436	2.449489742783178	0.14142135623730953	0.03773601441516288	1.0882796185405308	rod-shaped	Komagataeibacter hansenii	Komagataeibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000164395	3636659.0	59.5	3145.0	86.11219803671447	1.0
txid446	1.55	0.7	0.5067127150852536	3.4086280291449262	ovoid-shaped	Legionella pneumophila	Legionella	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N7894	3437894.1783821937	38.283033356779065	3097.596986845152	88.51353973480651	1.3411728916627905
txid521	1.4142135623730951	0.4472135954999579	0.1987280978044492	1.9869176531592203	rod-shaped	Bordetella avium	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	genus	N7451	4558055.735753499	66.55908683206665	4348.735753498734	90.96967212647972	3.4024201654
txid536	1.75	0.4	0.20315632493214	2.1991148575128547	rod-shaped	Chromobacterium violaceum	Chromobacterium	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	species	G000007705	4751080.0	64.83	4298.0	88.58223814374838	8.0
txid562	2.85	0.65	0.8738209066266112	5.819800390775093	rod-shaped	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	species	N10459	4594768.048516107	50.6910161071	4513.5485161071	87.4556241222167	5.2985161071
txid781	1.095445115010332	0.4	0.12090253220994587	1.376576930290914	rod-shaped	Rickettsia conorii	Rickettsia	Rickettsiaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria	Bacteria	species	G000007025	1268755.0	32.44	1435.0	80.68602685309617	1.0
txid873	3.5	0.5	0.6544984694978736	5.497787143782138	vibrio-shaped	Desulfocurvibacter africanus	Desulfocurvibacter	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria	species	G000212675	4200534.0	61.42	3785.0	85.1987390174678	3.0
txid927	1.224744871391589	0.3872983346207417	0.12907768585830864	1.490188239869415	rod-shaped	Halothiobacillus neapolitanus	Halothiobacillus	Halothiobacillaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000024765	2582886.0	54.71	2416.0	89.93997412197054	2.0
