taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	kingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	B	MCB	ENC	ENCprime	SCUO
taxid204516	3.0000000000000004	1.1	2.5025403479720696	10.367255756846324	rod-shaped	Phocaeicola massiliensis	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	genus	N8533	3684754.0	42.69	3081.5	90.25153938269811	0.5	0.19418568127888447	0.11009863394130301	0.26958597972513354	0.172224125391702	-0.08045656782076105	-0.8405550981487375
taxid392012	4.4721359549995805	0.648074069840786	1.4039516277307675	9.105200545246142	rod-shaped	Alicyclobacillus kakegawensis	Alicyclobacillus	Alicyclobacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	genus	N2125	3272318.0	53.91	3226.0	87.65291148354164	0.0	0.0463670531798196	-0.121775009472156	-0.0728579579952076	0.128396739775338	-0.0132770368553772	-0.764492451795162
taxid2280	2.7386127875258306	2.7386127875258306	10.754507267897766	23.56194490192345	spherical	Staphylothermus marinus	Staphylothermus	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	species	G000015945	1570485.0	35.73	1659.0	89.12864497273134	1.0	0.0103144649389291	-0.0470352807543315	0.0388851296916621	0.0254377081086327	-0.00715262102430515	-0.135740242411688
taxid1122204	0.22360679774997896	0.22360679774997896	0.005854012275867273	0.15707963267948966	coccus-shaped	Marinococcus luteus	Marinococcus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	species	G900106595	2908575.0	48.16	2934.0	87.77318790129186	1.0	0.105770826842142	-0.0454343882831184	-0.00289174720495567	0.0843351404772794	-0.0287768320478791	-0.5294791633980589
taxid38284	1.4142135623730951	0.7348469228349535	0.4959026604082686	3.2648388556215924	rods	Corynebacterium accolens	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	genus	N4707	2374587.0	55.269999999999996	2218.5	89.0181343808822	4.0	0.205690410842286	0.15530633136710598	0.045236449174611296	0.2910155798369575	-0.03043911658867675	-1.3496014829170901
taxid1935446	2.7549954627911823	0.812403840463596	1.2877138220531972	7.031414956238681		Photobacterium toruni	Photobacterium	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N7542	5078735.0	46.24	4691.0	85.31918767006168	1.0	0.20960840247402102	0.112978674517681	0.23118203780420699	0.269594643573138	-0.0636604404669024	-1.12563427457779
taxid402883	4.0	2.25	12.92225415714864	28.274333882308134	rod-shaped	Allochromatium renukae	Allochromatium	Chromatiaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	G000025485	3669074.0	64.19	3261.0	91.00446052600736	3.0	0.14752167389868698	-0.0523291456046902	0.175451874591825	0.06651124346370901	-0.0327703330343936	-0.236457127602128
taxid1237105	1.75	0.65	0.508807110187647	3.573561643458389	rod-shaped	Litoribacter alkaliphilus	Litoribacter	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	family	N8134	5137147.0	41.83	4408.0	88.80243586360021	1.0	0.0555217724583838	-0.138564818471487	-0.0774516872332845	0.131132408091439	-0.00911879141348618	-0.635639041153499
taxid504487	2.1633307652783937	0.5916079783099616	0.5404676911662721	4.020747692778592	rod-shaped	Jejuia pallidilutea	Jejuia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	species	G000764775	3773436.0	33.85	3967.0	88.76429863922432	1.0	0.10154807617657101	-0.0819839913709854	-0.0148904626450493	0.157731668318936	-0.0115102149142148	-0.318443523692969
taxid648753	0.8	0.7	0.21807889003669145	1.7592918860102842	ovoid-shaped	Nocardia callitridis	Nocardia	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	genus	N7606	7487747.5	68.305	6814.0	88.74188675773385	1.0	0.18272752032885353	0.120993955055828	-0.0714687974827887	0.14850617082019196	-0.021092965788558647	-0.47784927913308306
taxid1923877	2.1563858652847827	0.4472135954999579	0.3153082505307081	3.0296422384521087	rod-shaped	Sporolactobacillus shoreicorticis	Sporolactobacillus	Sporolactobacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	genus	N3042	3204201.0	45.28	3156.0	84.77155459348525	1.0	0.0320299083541091	-0.128427923862215	-0.0468313705563905	0.11193947969313	-0.00891878188579621	-0.6765303547939501
taxid2011011	2.7964262908219126	0.6928203230275509	0.9671655055029348	6.086587474104763	rod-shaped	Alteribacter populi	Alteribacter	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	genus	G000429705	4023079.0	42.46	3964.0	84.35814956653846	0.0	0.0959217621366744	-0.0153033578929402	-0.318600484362517	0.242663536340258	-0.0353970267066993	-1.0367060156947498
taxid333708	2.35	0.4	0.27855454861829504	2.9530970943744053	rod-shaped	Sphingosinicella soli	Sphingosinicella	Sphingosinicellaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	family	N4943	3131544.0	65.48	2933.0	92.58977273553327	1.0	0.15107725528573498	0.0579903169498756	0.0354794482386106	0.11974236846917098	-0.0150332113983124	-0.41298745114227703
taxid665133	2.9	0.55	0.645433665695328	5.010840282475717	rod-shaped	Flavobacterium ponti	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	genus	N8152	3800950.0	34.599999999999994	3342.0	89.96040755237209	1.0	0.14183786662263598	-0.0427563893062166	0.01449732409787955	0.1625940057125515	-0.032785170596149854	-0.519650333145932
taxid1783348	3.1622776601683795	1.161895003862225	2.9422759487638563	11.542948471456773	rod-shaped	Corynebacterium guangdongense	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	genus	N4707	2374587.0	55.269999999999996	2218.5	89.0181343808822	4.0	0.205690410842286	0.15530633136710598	0.045236449174611296	0.2910155798369575	-0.03043911658867675	-1.3496014829170901
taxid373890	3.0000000000000004	0.8	1.3739231871699364	7.5398223686155035	rod-shaped	Siccationidurans soli	Siccationidurans	Hymenobacteraceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	family	N7371	4891068.5	52.9	4264.0	86.23070002051168	1.0	0.10728438957977249	-0.0691506319718185	0.07024699133471496	0.07176564045314976	-0.028018323630969948	-0.2984131399516495
taxid2079460	5.138093031466052	0.4472135954999579	0.7836737169522637	7.218830323380084	rod-shaped	Solitalea longa	Solitalea	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria	genus	G000242635	5202069.0	37.31	4438.0	88.31722531938735	4.0	0.0992930878617746	-0.0653379875067208	-0.12205971871878	0.196543314700975	-0.0075960732272927	-0.8215559088764721
taxid760012	0.9539392014169455	0.5477225575051661	0.18174859996411816	1.6414633719633815	ovoid-shaped	Phenylobacterium muchangponense	Phenylobacterium	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	genus	N7043	4379231.0	67.96	4273.0	91.33725666237295	1.0	0.16356329633866398	-0.0137915418527885	0.102991468370385	0.0572594891808371	-0.0299345816198194	-0.127703779326902
taxid54298	4.999999999999999	4.999999999999999	65.44984694978734	78.53981633974483	sphere/spheroid		Chroococcidiopsis	Chroococcidiopsidaceae	Chroococcidiopsidales		Cyanobacteria	Bacteria	genus	G000317125	6689401.0	44.47	5973.0	84.39715304853155	3.0	0.0428463904956129	-0.14569601990142	0.0414427415895174	-0.0125283339576532	-0.014469408509466	-0.25732900615761606
taxid1245754	1.7291616465790582	0.6928203230275509	0.5648162136081974	3.7636227542679466	rod-shaped	Glaciimonas frigoris	Glaciimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	family	N4968	5609999.5	61.144999999999996	4975.5	88.52713429550818	1.0	0.1643828530006065	-0.06465423375397734	0.1124689415578945	0.0268772028515762	-0.027003659853648602	-0.10948319343771401
taxid171392	4.999999999999999	4.999999999999999	65.44984694978734	78.53981633974483	sphere/spheroid	Chroococcidiopsis cubana	Chroococcidiopsis	Chroococcidiopsidaceae	Chroococcidiopsidales		Cyanobacteria	Bacteria	genus	G000317125	6689401.0	44.47	5973.0	84.39715304853155	3.0	0.0428463904956129	-0.14569601990142	0.0414427415895174	-0.0125283339576532	-0.014469408509466	-0.25732900615761606
taxid218139	1.15	0.75	0.39760782021995816	2.7096236637211963	rod-shaped	Aeriscardovia aeriphila	Aeriscardovia	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	family	N4737	2092884.0	59.305	1691.5	86.88472023831355	2.0	0.1748660526020585	0.08034729730928965	0.05326514844894895	0.1369610583641495	-0.034098180027925196	-0.5747757664234616
taxid483011	10.000000000000002	2.0	29.32153143350473	62.83185307179586	rod-shaped	Lactiplantibacillus fabifermentans	Lactiplantibacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	species	G000498955	3279100.0	45.04	3173.0	82.46043121588241	1.0	0.117650672776373	0.0550883479772097	-0.24270799191520198	0.188498433457707	-0.0370563035054555	-0.655959900069423
taxid290732	3.0000000000000004	0.10000000000000002	0.023300145514124303	0.942477796076938		Aminiphilus circumscriptus	Aminiphilus	Synergistaceae	Synergistales	Synergistia	Synergistetes	Bacteria	species	G000526375	3223212.0	60.41	2811.0	86.3757953246637	5.0	0.11387832252635302	-0.0827138972440352	0.153791905453298	-0.00591183017708446	-0.0389924455563257	-0.21498798130919397
taxid1618207	1.1726039399558574	0.6324555320336759	0.3021538038949362	2.329867468462348		Psychromicrobium lacuslunae	Psychromicrobium	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G000950575	3599434.0	58.98	3397.0	91.7755958297888	2.0	0.112912824464291	0.029151809947072997	-0.11622298262722801	0.24077078261405901	-0.0121046066143436	-1.20310707601054
taxid550983	17.999999999999996	0.3499999999999999	1.7205783015394849	19.79203371761569	rod-shaped	Niastella populi	Niastella	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria	genus	N8797	8790123.5	44.69	7124.0	88.56581461554237	2.0	0.0539361571911892	-0.167433757729042	-0.0534508739572592	0.155586347718561	-0.020169797705334898	-0.821293150766114
taxid414289	1.35	0.65	0.3760748205734781	2.756747553525044	rod-shaped	Gaetbulibacter marinus	Gaetbulibacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	family	N6134	3819763.0	35.5	3429.0	90.29981488534405	1.0	0.10154807617657101	-0.108826182056736	-0.0762245700668028	0.135741253883887	-0.0186798435370286	-0.4737541732822271
taxid287535	2.449489742783178	0.2	0.07485859470731862	1.5390597961942367	rod-shaped	Balneola vulgaris	Balneola	Balneolaceae	Balneolales	Balneolia	Balneolaeota	Bacteria	species	G000375465	2857749.0	39.78	2465.0	91.92920721868856	4.0	0.0739068128661497	-0.145178383293568	-0.0238748554367483	0.115462740442458	-0.0150156228633196	-0.64307517598538
taxid1111760	0.6	0.6	0.11309733552923255	1.1309733552923256	coccus-shaped	Streptococcus troglodytae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	genus	N4854	2073661.0	39.25	1992.0	87.23205281012194	1.0	0.178447942891823	0.123592370559246	-0.131737643471914	0.282448815984908	-0.0334560983588747	-1.10216105912435
taxid58231	8.944271909999163	0.2449489742783178	0.4176412343719579	6.882884651454574	helical	Treponema medium	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000413035	2727508.0	44.26	2340.0	87.41407907877813	2.0	0.00665610405571708	-0.21605800998661398	0.005759580488581511	0.0624861587642421	-0.0122844117905986	-0.47073998690201396
taxid296199	2.5	1.0	1.7016960206944711	7.853981633974483		Vibrio gigantis	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N9610	5156544.0	45.035	4651.0	86.65773759335582	5.5	0.21289105807931402	0.137310340963197	0.1495368832499105	0.32373142452864356	-0.04077945979100305	-1.5730451589214
taxid648754	1.0	0.5	0.16362461737446832	1.5707963267948966	rod-shaped	Pseudonocardia adelaidensis	Pseudonocardia	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Bacteria	genus	N4347	7303989.0	73.22	6865.0	89.99365246190952	1.0	0.218106450892528	0.0994053114847776	0.217895402528048	0.0528439396326893	-0.0375008300571363	-0.221223092008688
taxid158	8.289525201649111	0.1773816942221055	0.20336246991638102	4.619429330939323	helical	Treponema denticola	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000008185	2843201.0	37.87	2578.0	91.79931352021894	2.0	0.0533414971561815	-0.162340979426036	0.00772672139066703	0.0197521394485062	-0.0239077213577972	-0.18521111025878
taxid512397	3.0000000000000004	0.65	0.9235955152319244	6.126105674500098	rod-shaped	Paenibacillus pueri	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	family	N3029	5982226.0	47.28	5629.0	86.29303919433326	1.0	0.11928931680908801	-0.039871623523598	-0.0169976295307748	0.18516354762617898	-0.0224743243134588	-1.00459433455524
taxid1775882	1.743559577416269	0.99498743710662	1.097812374094667	5.450097375783164	rod-shaped	Psychrobacter pocilloporae	Psychrobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N5834	3098053.0	42.8	2632.0	83.43511012305166	2.0	0.0890966557198368	-0.0790911303439154	-0.0673083667982906	0.16041131295181602	-0.0103729804836772	-0.8445300010596558
taxid262076	2.1213203435596424	0.7348469228349535	0.7957972587339581	4.897258283432388	rod-shaped	Marinobacter flavimaris	Marinobacter	Marinobacteraceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	genus	N7130	3998791.0	56.97	3668.0	91.06641850943961	1.0	0.09802674980172925	-0.05292723201190335	0.05777173307599015	0.0854292544519506	-0.022028056246161498	-0.44074250535745296
