taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	kingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime	hash	svratio	log_svratio	log_volume	log_surface	log_length	log_width	log_genome	log_proteins	arc_coding	arc_gc	is_species
taxid11	2.3717082451262845	1.0606601717798212	1.7831870057271044	7.902916572420815	rod-shaped	Cellulomonas gilvus	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G000218545	3526441.0	73.81	3206.0	91.77278167988632	2.0	-0.262004997284534	0.100835616816422	1.88	0.22563657219285058	-0.6465905065757778	0.2511968907337467	0.8977873973095244	0.37506126339170004	0.025576261223690604	6.5473366221693405	3.505963518018126	1.2798788407340738	1.0335622597796732	Cellulomonas gilvus
taxid14	10.000000000000002	0.4898979485566356	1.854174396229992	15.39059796194237	rod-shaped	Dictyoglomus thermophilum	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria	species	G000020965	1959987.0	33.74	1890.0	93.7772546450563	2.0	-0.0644293985559321	0.0302048386939695	0.58	0.12047448713915894	-0.9191049138178504	0.2681505797320865	1.1872554935499369	1.0	-0.309894379144197	6.292253190822298	3.2764618041732443	1.3186796152938085	0.6197865552978928	Dictyoglomus thermophilum
taxid23	1.5	0.7	0.4874704600820161	3.2986722862692828	rod-shaped	Shewanella colwelliana	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000518705	4575622.0	45.39	4094.0	87.38313610695988	0.0	-0.653363230736463	0.248986519385154	1.25	0.14777777777777773	-0.8303908684722392	-0.3120516967081673	0.518339171764072	0.17609125905568124	-0.1549019599857432	6.660450139453045	3.6121478383264867	1.2076659087481811	0.7392325974847382	Shewanella colwelliana
taxid104	1.0392304845413265	0.34641016151377546	0.08706236948324246	1.1309733552923256	ring-shaped	Cyclobacterium marinum	Cyclobacterium	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	species	G000222485	6221273.0	38.15	5114.0	87.1213174538394	3.0	-0.200637839820349	0.102721805908089	1.33	0.0769800358919501	-1.1136218907515314	-1.0601695172901102	0.053452373461421114	0.0167118777434749	-0.46040937697618756	6.793879259338516	3.708760723690317	1.20374063044069	0.6657598111085312	Cyclobacterium marinum
taxid114	2.0493901531919194	2.0493901531919194	4.506844334724897	13.194689145077126	spherical	Gemmata obscuriglobus	Gemmata	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria	species	G000171775	9161841.0	67.18	8067.0	84.0831880841416	3.0	-0.15418753793048998	0.0564756040241402	1.0	0.34156502553198675	-0.46652660518469324	0.6538725579073409	1.120399163092034	0.31162464519895017	0.31162464519895017	6.961982750502517	3.906712056942964	1.1604152485674646	0.9607719705284181	Gemmata obscuriglobus
taxid119	1.1224972160321824	1.1224972160321824	0.7405500915879567	3.95840674352314	spherical	Rubinisphaera brasiliensis	Rubinisphaera	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	species	G000165715	6006602.0	56.45	4860.0	86.27536833637389	2.0	-0.2765831280728869	0.124142190135097	0.28	0.187082869338697	-0.7279659778248624	-0.1304455600131655	0.5975204178116968	0.050185272558781455	0.050185272558781455	6.778628856363836	3.6866362692622934	1.191283828398758	0.8500784071833872	Rubinisphaera brasiliensis
taxid120	1.284523257866513	1.284523257866513	1.1097484283266326	5.18362787842316	spherical	Planctopirus limnophila	Planctopirus	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	species	G000092105	5460085.0	53.68	4288.0	85.07576347254667	2.0	-0.24440061970981	0.0927114737337082	1.5	0.2140872096444187	-0.6694092782766907	0.04522453863134958	0.7146338169080403	0.10874197210695315	0.10874197210695315	6.737199403646793	3.6322547766847135	1.174158918841083	0.8222314686688216	Planctopirus limnophila
taxid122	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	spherical	Gimesia maris	Gimesia	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	species	G000181475	7777997.0	50.45	6071.0	86.99328374644527	2.0	-0.215807653011797	0.0968721019119301	1.71	0.20412414523193145	-0.6901056208558032	-0.01686448910598812	0.673241131749815	0.08804562952784058	0.08804562952784058	6.8908677713026085	3.7832602328729488	1.2018334994618345	0.7898982241496628	Gimesia maris
taxid124	1.4142135623730951	1.0246950765959597	0.884579000346265	4.552600272623071	oval	Blastopirellula marina	Blastopirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria	species	G000153105	6663851.0	57.04	5421.0	87.14298984175966	1.0	-0.197288933764634	0.0837222251125807	0.92	0.194301925795167	-0.711522894932541	-0.053263374871447375	0.6582595200610936	0.1505149978319906	0.010594649534968982	6.823725277924356	3.7340794072805945	1.2040642499148855	0.856032872455672	Blastopirellula marina
taxid125	2.23606797749979	1.224744871391589	2.1533493378295727	8.603605814318215	tear-drop	Pirellula staleyi	Pirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria	species	G000025185	6196199.0	57.46	4719.0	86.33825350025072	1.0	-0.32555222962932395	0.117004226234345	0.84	0.25028451841040245	-0.6015660132638321	0.3331144911261519	0.9346805043899838	0.34948500216800943	0.08804562952784058	6.792125357314099	3.6738499773429494	1.1921984545763435	0.8602777471820626	Pirellula staleyi
