taxid	length_gmean	width_gmean	volume_gmean	surface_gmean	length_amean	width_amean	volume_amean	surface_amean	shape	length_ranges	width_ranges	sources	species	genus	family	order	class	phylum	kingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
taxid11	2.3717082451262845	1.0606601717798212	1.7831870057271044	7.902916572420815	2.625	1.125	2.2365439887372647	9.277515805132358	rod-shaped	1.5,  3.75	0.75,  1.5	bacdive	Cellulomonas gilvus	Cellulomonas	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	species	G000218545	3526441.0	73.81	3206.0	91.77278167988632	2.0	-0.262004997284534	0.100835616816422
taxid14	9.999999999999998	0.4898979485566356	1.854174396229992	15.39059796194237	12.5	0.5	2.421644337142132	19.634954084936208	rod-shaped	5.0,  20.0	0.4,  0.6	bacdive	Dictyoglomus thermophilum	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria	species	G000020965	1959987.0	33.74	1890.0	93.77725464505632	2.0	-0.0644293985559321	0.0302048386939695
taxid23	1.5	0.7	0.4874704600820161	3.2986722862692828	1.5	0.7	0.4874704600820161	3.2986722862692828	rod-shaped	1.5,  1.5	0.7,  0.7	bacdive	Shewanella colwelliana	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	species	G000518705	4575622.0	45.39	4094.0	87.38313610695988	0.0	-0.653363230736463	0.248986519385154
taxid104	1.0392304845413265	0.3464101615137754	0.0870623694832424	1.1309733552923251	1.05	0.35	0.0897971900151082	1.154535300194249	ring-shaped	0.9,  1.2	0.3,  0.4	bacdive	Cyclobacterium marinum	Cyclobacterium	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	species	G000222485	6221273.0	38.15	5114.0	87.12131745383942	3.0	-0.200637839820349	0.102721805908089
taxid114	2.04939015319192	2.04939015319192	4.5068443347248985	13.194689145077138	2.2	2.2	5.575279762570688	15.205308443374602	spherical	1.4,  3.0	1.4,  3.0	bm4	Gemmata obscuriglobus	Gemmata	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria	species	G000171775	9161841.0	67.18	8067.0	84.0831880841416	3.0	-0.15418753793049	0.0564756040241402
taxid119	1.1224972160321824	1.1224972160321824	0.7405500915879567	3.95840674352314	1.25	1.25	1.0226538585904277	4.908738521234052	spherical	0.7,  1.8	0.7,  1.8	bm4	Rubinisphaera brasiliensis	Rubinisphaera	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	species	G000165715	6006602.0	56.45	4860.0	86.27536833637389	2.0	-0.276583128072887	0.124142190135097
taxid120	1.284523257866513	1.284523257866513	1.1097484283266326	5.183627878423159	1.3	1.3	1.1503465099894628	5.309291584566751	spherical	1.1,  1.5	1.1,  1.5	bm4	Planctopirus limnophila	Planctopirus	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	species	G000092105	5460085.0	53.68	4288.0	85.07576347254667	2.0	-0.24440061970981	0.0927114737337082
taxid122	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	1.25	1.25	1.0226538585904277	4.908738521234052	spherical	1.0,  1.5	1.0,  1.5	bm4	Gimesia maris	Gimesia	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria	species	G000181475	7777997.0	50.45	6071.0	86.99328374644526	2.0	-0.215807653011797	0.0968721019119301
taxid124	1.414213562373095	1.0246950765959597	0.8845790003462648	4.552600272623069	1.5	1.1	1.0770426814057008	5.18362787842316	oval	1.0,  2.0	0.7,  1.5	bm4	Blastopirellula marina	Blastopirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria	species	G000153105	6663851.0	57.04	5421.0	87.14298984175967	1.0	-0.197288933764634	0.0837222251125807
taxid125	2.23606797749979	1.2247448713915892	2.1533493378295736	8.603605814318218	3.0	1.75	5.812764532227989	16.493361431346415	tear-drop	1.0,  5.0	0.5,  3.0	bm4	Pirellula staleyi	Pirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria	species	G000025185	6196199.0	57.46	4719.0	86.33825350025072	1.0	-0.325552229629324	0.117004226234345
taxid128	2.23606797749979	2.23606797749979	5.854012275867273	15.707963267948964	2.25	2.25	5.964117303299373	15.904312808798329	spherical	2.0,  2.5	2.0,  2.5	bm4	Isosphaera pallida	Isosphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria	species	G000186345	5529304.0	62.49	3792.0	84.79088869051151	3.0	-0.0660777714512351	0.0273066351457804
taxid139	10.95445115010332	0.2449489742783178	0.5123686993686072	8.429777677248868	17.0	0.25	0.8303949331754271	13.351768777756622	helical	4.0,  30.0	0.2,  0.3	bm4	Borreliella burgdorferi	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	N946	1278391.0	28.255	1663.0	82.93430845702628	0.5	-0.07417588678171115	0.03446777475721165
taxid140	11.999999999999996	0.4242640687119284	1.6764670597167743	15.99437857737011	13.0	0.4499999999999999	2.0437041959305846	18.378317023500287	helical	8.0,  18.0	0.3,  0.6	bm4	Borrelia hermsii	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	N1339	1377933.0	30.03	1343.0	87.40915095094867	1.0	-0.0705740057282211	0.0272557041307685
taxid141	11.999999999999996	0.4242640687119284	1.6764670597167743	15.99437857737011	13.0	0.4499999999999999	2.0437041959305846	18.378317023500287	helical	8.0,  18.0	0.3,  0.6	bm4	Borrelia parkeri	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000568735	1053291.0	29.32	1080.0	91.82619048297197	1.0	-0.0637883254862301	0.0248257716734241
taxid142	11.999999999999996	0.4242640687119284	1.6764670597167743	15.99437857737011	13.0	0.4499999999999999	2.0437041959305846	18.378317023500287	helical	8.0,  18.0	0.3,  0.6	bm4	Borrelia turicatae	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G000012085	917330.0	29.12	832.0	93.858044542313	1.0	-0.0679276257781714	0.0283365114311395
taxid143	12.649110640673516	0.2449489742783178	0.5922276464572803	9.733868822336664	14.0	0.25	0.6831327775384055	10.995574287564276	helical	8.0,  20.0	0.2,  0.3	bm4	Borrelia anserina	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria	species	G001936255	1042690.0	29.37	952.0	91.32666468461385	1.0	-0.0713082474289091	0.0305364000463788
